,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo DoorDash Score
0,76.596
1,78.558
2,78.496
3,79.558
4,79.528
5,79.838
6,78.53
7,77.722
8,80.045
9,78.453
10,76.132
11,79.623
12,83.679
13,80.526
14,81.271
15,80.065
16,80.438
17,77.215
18,79.527
19,74.115
20,81.042
21,80.393
22,78.352
23,75.932
24,75.957
25,78.945
26,76.014
27,78.197
28,83.517
29,80.128
30,81.121
31,78.883
32,81.433
33,78.228
34,78.645
35,78.155
36,75.534
37,79.345
38,79.834
39,80.517
40,77.019
41,80.474
42,79.965
43,77.768
44,78.955
45,75.288
46,79.048
47,78.873
48,79.876
49,80.271
50,77.027
51,82.271
52,79.722
53,78.0
54,77.54
55,79.547
56,80.393
57,77.883
58,76.487
59,76.648
60,75.5
61,77.917
62,81.43
63,75.226
64,80.97
65,79.075
66,81.796
67,81.318
68,77.995
69,79.971
70,77.962
71,79.981
72,78.338
73,78.568
74,76.863
75,75.922
76,79.444
77,79.419
78,76.655
79,77.143
80,78.264
81,80.641
82,78.368
83,76.154
84,79.386
85,78.161
86,79.484
87,81.119
88,77.359
89,78.841
90,82.784
91,76.936
92,77.724
93,78.041
94,78.754
95,79.182
96,80.582
97,80.725
98,81.339
99,81.047
100,80.276
101,78.626
102,78.116
103,76.869
104,79.826
105,79.779
106,83.59
107,80.519
108,78.259
109,78.729
110,81.976
111,77.904
112,78.955
113,79.402
114,81.606
115,78.376
116,79.289
117,81.011
118,81.463
119,80.414
120,80.114
121,77.245
122,77.05
123,79.657
124,76.381
125,79.659
126,79.131
127,76.491
128,76.692
129,78.106
130,77.315
131,75.762
132,77.627
133,79.248
134,81.281
135,74.584
136,72.122
137,78.64
138,79.562
139,80.296
140,78.06
141,76.093
142,81.144
143,77.775
144,75.854
145,78.899
146,75.235
147,73.412
148,80.416
149,76.955
150,78.123
151,75.073
152,75.661
153,76.907
154,74.991
155,76.827
156,77.855
157,78.489
158,82.336
159,76.576
160,77.032
161,78.332
162,81.776
163,81.971
164,82.172
165,78.997
166,76.487
167,76.375
168,77.996
169,78.076
170,78.598
171,76.462
172,80.41
173,78.142
174,77.746
175,77.203
176,75.085
177,83.805
178,78.196
179,81.19
180,78.787
