,Modified_gpt-4o-2024-08-06_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o-2024-08-06 DoorDash Score
0,79.657
1,81.476
2,78.949
3,79.516
4,80.908
5,79.971
6,79.449
7,77.492
8,79.079
9,80.813
10,75.127
11,81.446
12,84.609
13,82.617
14,80.297
15,82.51
16,82.727
17,78.662
18,80.198
19,80.773
20,81.104
21,80.267
22,80.599
23,78.545
24,80.363
25,79.14
26,76.724
27,79.195
28,83.818
29,83.217
30,83.379
31,78.808
32,81.327
33,78.974
34,77.775
35,76.464
36,75.379
37,79.748
38,80.782
39,81.2
40,76.51
41,81.155
42,80.294
43,80.546
44,79.205
45,74.866
46,79.385
47,79.937
48,80.796
49,80.93
50,78.198
51,82.041
52,83.434
53,80.111
54,81.651
55,78.195
56,79.483
57,76.266
58,79.294
59,76.677
60,76.408
61,78.865
62,81.432
63,74.758
64,81.098
65,80.722
66,81.636
67,81.883
68,77.586
69,80.12
70,78.478
71,81.243
72,80.219
73,79.154
74,76.657
75,77.433
76,78.424
77,78.968
78,82.459
79,77.723
80,79.256
81,80.649
82,81.959
83,79.765
84,80.041
85,78.908
86,79.685
87,80.477
88,79.647
89,79.246
90,82.728
91,78.231
92,77.78
93,81.755
94,79.959
95,78.637
96,78.67
97,79.842
98,79.26
99,82.153
100,81.205
101,79.801
102,79.041
103,78.847
104,81.816
105,81.317
106,83.423
107,78.446
108,79.197
109,80.286
110,82.576
111,76.648
112,79.186
113,80.173
114,82.965
115,79.625
116,80.802
117,79.155
118,80.278
119,80.228
120,80.278
121,79.256
122,78.464
123,80.087
124,76.382
125,79.912
126,78.034
127,76.722
128,78.164
129,78.975
130,77.783
131,78.058
132,80.52
133,80.741
134,81.083
135,75.089
136,76.892
137,78.34
138,80.728
139,80.619
140,78.588
141,77.089
142,82.63
143,79.166
144,75.51
145,78.946
146,79.792
147,76.213
148,79.667
149,78.213
150,79.416
151,76.499
152,76.852
153,80.291
154,74.064
155,80.179
156,80.156
157,80.38
158,81.254
159,80.728
160,76.571
161,78.457
162,82.28
163,83.284
164,82.27
165,81.64
166,78.641
167,76.547
168,79.27
169,80.967
170,81.512
171,78.035
172,80.67
173,78.449
174,79.531
175,78.164
176,77.068
177,84.67
178,79.376
179,80.68
180,80.084
181,78.216
182,78.007
183,79.538
184,76.61
185,83.322
186,77.299
187,79.304
188,78.247
189,81.749
190,78.492
191,79.77
192,79.823
193,81.502
194,81.504
195,81.198
196,80.036
197,83.915
198,82.327
199,84.487
200,77.018
201,79.381
202,80.077
203,80.871
204,78.458
205,80.219
206,76.742
207,81.199
208,80.898
209,80.006
210,80.87
211,82.882
212,78.874
213,78.824
214,77.092
215,80.709
216,80.578
217,80.22
218,79.658
219,81.478
220,79.612
221,80.411
222,83.593
223,78.186
224,79.181
225,80.134
226,79.049
227,82.215
228,79.485
229,85.172
230,77.781
231,79.728
232,76.971
233,77.538
234,80.578
235,78.785
236,77.944
237,78.482
238,80.438
239,79.27
240,80.201
241,79.995
242,81.339
243,77.562
244,80.757
245,77.776
246,79.911
247,79.261
248,80.829
249,80.465
250,79.859
251,83.842
252,79.449
253,79.248
254,83.121
255,82.109
256,79.085
257,80.647
258,79.355
259,78.48
260,84.076
261,84.001
262,81.767
263,82.825
264,81.636
265,83.103
266,83.383
267,80.509
268,84.55
269,81.853
270,83.494
271,81.493
272,81.513
273,81.584
274,83.922
275,83.517
276,80.481
277,81.663
278,77.535
279,78.864
280,81.409
281,82.168
282,84.903
283,85.264
284,82.829
285,78.864
286,81.289
287,83.109
288,80.58
289,84.034
290,78.296
291,82.594
292,83.577
293,83.767
294,78.679
295,83.051
296,83.169
297,78.126
298,84.167
299,81.364
300,80.803
301,78.571
302,79.188
303,81.315
304,81.72
305,81.61
306,82.882
307,83.636
308,80.678
309,81.599
310,83.07
311,82.067
312,78.312
313,77.798
314,78.44
315,78.51
316,82.61
317,77.81
318,82.637
319,82.85
320,81.12
321,81.267
322,79.563
323,81.862
324,80.196
325,78.786
326,81.893
327,81.832
328,81.0
329,83.757
330,82.95
331,83.938
332,83.213
333,76.189
334,83.638
335,79.655
336,83.012
337,83.193
338,81.404
339,79.702
340,81.967
341,84.718
342,82.592
343,82.817
344,79.017
345,83.379
346,78.428
347,82.4
348,80.094
349,80.783
350,81.313
351,83.117
352,83.675
353,81.962
354,82.267
355,79.989
356,80.491
357,81.875
358,83.195
359,82.385
360,83.858
361,81.044
362,82.086
363,82.436
364,80.395
365,84.133
366,84.057
367,85.859
368,83.681
369,80.626
370,79.265
371,81.743
372,75.055
373,84.138
374,84.615
375,80.821
376,81.79
377,83.636
378,81.092
379,85.141
380,82.46
381,79.155
382,83.526
383,84.43
384,80.778
385,84.139
386,78.282
387,80.869
388,82.727
389,81.547
390,79.152
391,82.014
392,84.273
393,81.553
394,79.593
395,83.165
396,83.562
397,79.547
398,80.65
399,84.577
400,82.995
401,82.454
402,82.196
403,84.727
404,79.935
405,81.408
406,82.815
407,82.154
408,83.014
409,81.453
410,81.332
411,85.721
412,82.864
413,81.625
414,80.23
415,80.013
416,82.525
417,83.52
418,85.046
419,83.261
420,83.286
421,82.43
422,77.865
423,78.847
424,84.747
425,77.982
426,79.396
427,82.44
428,82.473
429,80.146
430,80.151
431,81.357
432,81.108
433,80.74
434,83.583
435,80.515
436,83.748
437,82.247
438,80.758
439,82.723
440,79.797
441,83.868
442,80.636
443,83.863
444,82.559
445,83.699
446,84.284
447,80.783
448,79.982
449,83.456
450,80.075
451,77.384
452,81.86
453,86.854
454,81.26
455,81.843
456,83.139
457,82.554
458,81.377
459,81.624
460,85.041
461,78.99
462,78.416
463,82.724
464,84.274
465,79.151
466,81.39
467,84.136
468,82.916
469,78.447
470,81.749
471,80.651
472,78.404
473,80.043
474,82.74
475,83.995
476,76.835
477,82.749
478,75.857
479,82.863
480,81.127
481,76.39
482,81.328
483,78.495
484,79.402
485,82.179
486,82.708
487,82.41
488,81.892
489,77.638
490,79.157
491,80.298
492,79.4
493,81.643
494,81.448
495,81.373
496,82.256
497,83.186
498,80.384
499,81.512
500,81.905
501,83.07
502,84.279
503,79.934
504,80.422
505,77.921
506,82.245
507,84.101
508,81.363
509,83.871
510,82.531
511,84.038
512,79.56
513,78.541
514,84.127
515,78.435
516,82.173
517,80.874
518,80.279
519,78.742
