,CV DoorDash Score
0,79.038
1,78.951
2,82.712
3,80.269
4,78.765
5,80.951
6,81.519
7,80.911
8,81.421
9,81.739
10,80.237
11,78.353
12,82.691
13,79.841
14,79.894
15,82.429
16,82.342
17,81.45
18,80.201
19,82.33
20,84.072
21,83.86
22,80.966
23,84.51
24,83.499
25,83.092
26,86.226
27,81.308
28,81.921
29,82.022
30,83.083
31,77.689
32,81.724
33,79.967
34,83.092
35,77.724
36,79.144
37,82.69
38,79.027
39,82.082
40,80.341
41,82.509
42,80.967
43,82.276
44,76.928
45,78.741
46,77.42
47,81.297
48,78.761
49,80.768
50,83.242
51,84.517
52,79.17
53,82.506
54,81.519
55,79.939
56,81.652
57,79.027
58,82.955
59,81.015
60,76.994
61,78.842
62,77.933
63,79.918
64,80.058
65,80.726
66,81.964
67,78.503
68,74.177
69,79.653
70,80.882
71,81.608
72,79.054
73,78.679
74,83.266
75,81.467
76,81.428
77,82.351
78,77.596
79,82.115
80,75.786
81,77.985
82,83.509
83,83.045
84,80.289
85,82.085
86,80.058
87,79.671
88,83.267
89,80.623
90,84.161
91,81.763
92,80.656
93,81.245
94,81.557
95,77.256
96,82.129
97,82.058
98,80.384
99,80.357
100,80.044
101,79.56
102,72.057
103,76.812
104,78.622
105,77.931
106,81.801
107,79.739
108,82.295
109,80.354
110,81.023
111,76.728
112,80.739
113,76.891
114,81.708
115,80.016
116,81.284
117,78.464
118,82.387
119,75.648
120,81.65
121,78.619
122,80.564
123,81.924
124,80.887
125,81.647
126,80.205
127,77.55
128,74.847
129,80.9
130,82.373
131,81.108
132,78.652
133,80.616
134,78.411
135,81.291
136,81.058
137,84.639
138,83.603
139,81.619
140,79.287
141,79.189
142,84.031
143,76.918
144,79.285
145,74.3
146,83.39
147,80.344
148,79.429
149,82.072
150,78.341
151,74.243
152,80.991
153,84.184
154,80.53
155,82.216
156,79.462
157,82.06
158,82.204
159,82.083
160,80.015
161,78.869
162,82.038
163,80.903
164,83.031
165,81.297
166,78.232
167,81.38
168,82.114
169,84.148
170,81.203
171,77.179
172,80.169
173,80.571
174,81.785
175,77.354
176,79.893
177,83.082
178,79.886
179,82.928
180,83.737
181,80.214
182,79.336
183,73.249
184,79.626
185,76.122
186,83.023
187,76.132
188,81.809
189,81.053
190,81.937
191,79.714
192,79.411
193,80.135
194,80.673
195,79.544
196,82.236
197,81.648
198,83.058
199,81.753
200,79.677
201,84.553
202,82.633
203,78.456
204,85.303
205,82.639
206,81.905
207,79.472
208,85.004
209,79.314
210,76.728
211,79.832
212,81.969
213,84.886
214,82.681
215,81.642
216,79.369
217,82.133
218,82.662
219,82.397
220,79.198
221,81.122
222,82.124
223,80.98
224,83.228
225,82.047
226,77.717
227,77.719
228,82.804
229,80.048
230,80.83
231,82.617
232,79.197
233,80.258
234,80.284
235,82.443
236,79.639
237,81.154
238,80.215
239,79.951
240,79.431
241,81.419
242,75.023
243,80.096
244,79.241
245,80.155
246,79.513
247,79.347
248,82.234
249,80.784
250,79.82
251,81.051
252,78.923
253,82.165
254,78.509
255,74.458
256,77.237
257,80.419
258,80.565
259,85.761
