Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
0,78.114
1,78.879
2,82.127
3,80.725
4,81.575
5,82.423
6,81.939
7,81.5
8,82.849
9,81.882
10,81.339
11,79.139
12,83.515
13,80.226
14,80.114
15,82.901
16,81.316
17,81.349
18,80.898
19,80.836
20,82.612
21,82.997
22,80.302
23,84.525
24,83.013
25,80.222
26,85.401
27,82.063
28,82.425
29,82.656
30,83.242
31,79.125
32,81.469
33,81.064
34,84.461
35,78.675
36,78.707
37,82.519
38,78.196
39,83.015
40,82.384
41,84.598
42,81.931
43,82.566
44,78.008
45,80.595
46,81.391
47,81.538
48,80.355
49,81.241
50,81.772
51,85.433
52,80.009
53,81.532
54,80.749
55,81.593
56,80.399
57,82.314
58,83.228
59,80.342
60,81.853
61,80.333
62,79.306
63,80.53
64,79.872
65,81.442
66,83.083
67,78.954
68,76.935
69,81.425
70,80.9
71,82.365
72,81.091
73,79.798
74,82.885
75,81.863
76,82.63
77,83.23
78,81.743
79,80.582
80,78.014
81,79.52
82,85.049
83,81.635
84,78.858
85,83.555
86,82.948
87,80.147
88,85.127
89,81.504
90,80.582
91,80.732
92,79.507
93,80.369
94,82.275
6233,82.275
6239,78.016
6240,82.746
6254,81.912
6255,80.725
6342,79.355
7630,79.168
7654,81.741
8890,80.14
8916,75.988
9028,78.945
9066,81.884
9445,82.361
9542,81.81
9546,83.334
9547,81.3
9583,82.018
9587,78.912
12037,82.358
12116,77.227
12122,81.646
12124,83.361
12141,81.906
12143,80.109
12149,81.358
12161,76.159
12252,81.998
12408,79.134
12409,81.794
12410,82.91
12418,81.057
12422,82.007
12435,81.4
12436,78.425
12437,79.908
12447,81.385
12448,82.532
12449,80.582
12450,77.836
12451,81.797
12452,78.315
12453,80.739
12454,81.993
12455,84.154
12456,84.711
12457,80.382
12458,83.33
12459,79.863
12460,83.768
12461,81.52
12462,78.561
12463,74.883
12464,83.684
12465,80.748
12466,80.721
12467,80.398
12468,79.514
12469,73.907
12470,83.535
12471,82.252
12472,82.164
12473,80.69
12474,78.214
12475,80.934
12476,81.637
12477,81.543
12478,82.677
12479,79.895
12480,82.127
12481,81.623
12482,81.918
12483,80.806
12484,80.322
12485,79.796
12486,81.886
12487,83.329
12488,80.49
12489,76.87
12490,80.097
12491,81.698
12492,81.493
12493,79.203
12494,79.835
12495,81.597
12496,80.352
12497,82.323
12498,81.986
12499,80.485
12500,79.392
12501,76.554
12502,82.077
12503,79.617
12504,81.892
12505,76.273
12506,81.824
12507,77.859
12508,80.666
12509,79.537
12510,78.413
12511,79.783
12512,79.895
12513,78.74
12514,85.686
12515,83.161
12516,83.565
12518,82.224
12519,82.544
12520,83.413
12521,81.926
12523,81.364
12525,86.375
12526,82.513
12527,82.336
12528,80.256
12529,84.277
12530,79.449
12531,76.338
12532,81.33
12533,81.609
12565,85.14
12656,82.783
12674,80.703
12687,80.603
12736,82.586
13078,80.343
13080,83.459
13146,82.281
13147,80.76
13148,83.541
13149,81.649
13150,82.45
13196,85.336
13382,81.372
13461,78.424
13475,82.938
13477,80.236
13537,82.084
13893,80.497
13897,79.782
14744,81.417
14862,80.478
14882,83.358
14890,82.768
14906,80.222
14907,83.051
14914,80.142
14916,79.632
14930,82.283
14932,75.475
14939,80.31
14947,80.317
15180,82.348
15240,82.156
15339,81.313
15419,81.504
15425,82.905
15426,82.479
15474,81.842
15519,81.679
15524,83.445
15589,79.72
15679,74.897
15743,78.485
16036,84.643
16039,80.033
16064,85.317
