Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
94,81.989
6233,82.275
6239,78.89
6240,82.789
6254,80.974
6255,80.725
6342,79.576
7630,79.818
7654,81.734
8890,79.928
8916,77.411
9028,80.283
9066,81.771
9445,82.366
9542,81.83
9546,83.334
9547,80.946
9583,82.413
9587,81.998
12037,82.094
12116,78.955
12122,82.137
12124,83.361
12141,82.066
12143,80.07
12149,81.358
12161,76.137
12252,82.441
12408,78.989
12409,81.763
12410,82.654
12418,81.422
12422,82.313
12435,81.293
12436,78.661
12437,80.014
12447,81.385
12448,82.333
12449,81.316
12450,77.836
12451,81.843
12452,79.695
12453,80.739
12454,82.053
12455,84.116
12456,84.885
12457,80.041
12458,83.403
12459,79.344
12460,82.767
12461,81.041
12462,79.17
12463,74.446
12464,83.684
12465,81.234
12466,76.627
12467,80.78
12468,79.514
12469,73.907
12470,83.535
12471,82.448
12472,82.21
12473,80.999
12474,78.74
12475,81.116
12476,81.772
12477,81.543
12478,82.677
12479,81.2
12480,82.28
12481,81.502
12482,81.918
12483,80.753
12484,80.056
12485,79.796
12486,81.886
12487,83.329
12488,79.97
12489,76.526
12490,79.914
12491,81.685
12492,81.493
12493,80.281
12494,79.799
12495,81.597
12496,79.412
12497,82.329
12498,81.541
12499,80.553
12500,79.398
12501,76.42
12502,81.906
12503,79.617
12504,81.892
12505,76.273
12506,81.824
12507,77.039
12508,80.685
12509,78.99
12510,77.187
12511,80.207
12512,79.895
12513,78.04
12514,85.521
12515,82.775
12516,83.176
12518,82.224
12519,82.006
12520,83.985
12521,81.782
12523,81.576
12525,86.051
12526,82.513
12527,82.336
12528,79.951
12529,84.178
12530,79.449
12531,79.128
12532,81.422
12533,81.6
12565,85.548
12656,82.783
12674,80.496
12687,80.532
12736,83.042
13078,80.167
13080,82.333
13146,82.976
13147,80.935
13148,83.762
13149,81.161
13150,82.45
13196,85.08
13382,81.245
13461,79.27
13475,82.938
13477,79.474
13537,82.084
13893,80.54
13897,80.374
14744,81.417
14862,80.669
14882,83.358
14890,83.299
14906,80.222
14907,83.051
14914,80.142
14916,79.71
14930,82.183
14932,75.908
14939,80.31
14947,80.969
15180,82.187
15240,82.116
15339,81.313
15419,81.206
15425,82.865
15426,82.479
15474,81.024
15519,81.45
15524,82.944
15589,79.72
15679,75.167
15743,79.204
16036,84.643
16039,80.174
16064,85.317
0,77.613
1,78.879
2,82.127
3,81.061
4,81.575
5,82.423
6,82.085
7,81.5
8,82.849
9,81.882
10,81.339
11,81.143
12,83.037
13,80.246
14,81.455
15,82.576
16,81.316
17,81.642
18,81.034
19,80.753
20,82.533
21,83.277
22,80.302
23,85.092
24,82.533
25,81.092
26,85.401
27,82.867
28,82.425
29,82.883
30,82.853
31,78.413
32,80.826
33,82.525
34,84.409
35,78.675
36,78.179
37,82.881
38,78.196
39,83.019
40,83.278
41,84.598
42,81.931
43,83.272
44,78.63
45,80.911
46,82.573
47,81.538
48,80.355
49,81.241
50,81.358
51,84.579
52,80.24
53,81.659
54,80.519
55,81.27
56,80.444
57,82.314
58,83.258
59,80.209
60,81.051
61,80.352
62,79.256
63,80.256
64,79.515
65,80.807
66,82.904
67,80.134
68,79.141
69,81.425
70,79.37
71,79.094
72,81.091
73,77.847
74,82.885
75,81.164
76,82.63
77,83.223
78,82.401
79,80.613
80,78.014
81,79.113
82,85.049
83,81.635
84,78.978
85,83.555
86,82.948
87,80.394
88,85.127
89,81.504
90,81.987
91,81.051
92,79.379
93,80.369
