,resume UIUX Score
6018,85.607
6021,80.387
6026,88.592
9479,84.062
16980,75.695
17014,78.918
18230,80.142
18348,84.935
26715,85.053
26747,86.066
29788,84.459
29835,83.081
30606,82.662
30845,85.679
32072,84.105
46443,87.108
46506,79.368
50300,83.382
51419,85.009
53971,82.609
53972,79.827
53973,85.324
53974,83.727
53975,87.042
53976,78.692
53977,83.087
53978,82.654
53979,86.075
53981,86.191
54796,81.668
54797,87.077
54798,82.627
54799,83.261
54800,78.797
56453,82.841
56528,79.675
56542,82.577
56543,79.886
56544,82.571
56545,77.57
56618,86.484
56619,80.69
56629,87.981
56630,81.609
56631,81.615
56632,84.596
56633,83.571
56634,73.817
56635,83.329
56637,84.129
56638,84.674
56639,84.625
56641,80.084
56642,85.056
56643,82.836
56644,79.681
56645,84.292
56646,81.261
56647,84.961
56648,77.579
56649,82.232
56650,83.246
56651,82.117
56652,81.692
56653,78.108
56654,82.25
56656,84.56
56657,84.246
56661,83.956
56662,84.602
56725,80.974
56795,80.413
56796,85.313
56797,82.471
56798,78.463
56799,81.584
56800,82.555
56801,83.98
56802,73.889
56803,88.364
56804,86.75
56805,79.832
56807,85.502
56809,82.462
56859,82.631
56860,85.939
56861,82.061
56862,85.222
57384,88.823
57400,87.583
62042,83.225
63086,81.363
63087,82.249
83710,81.833
83711,73.533
86666,87.519
87779,76.75
97622,87.754
98134,85.555
98135,86.855
98136,83.706
98137,85.005
98138,82.49
98171,83.708
98172,82.041
98173,81.688
98245,81.223
98250,80.601
98251,80.849
98252,72.668
98253,78.467
98254,85.583
98255,83.245
98256,79.247
98257,82.03
98258,83.671
98259,79.956
98260,79.246
98261,82.727
98262,81.542
98263,79.444
98264,80.437
98265,80.49
98266,81.789
98267,78.138
98268,76.536
98269,83.241
98270,79.438
98271,84.6
98272,90.052
98273,84.736
98274,87.179
98275,84.329
98276,85.626
98277,86.282
98278,86.358
98279,83.453
98280,82.217
98281,86.529
98282,83.016
98283,85.368
98284,84.611
98285,82.442
98286,83.149
98287,87.268
98288,79.643
98289,79.699
98290,79.741
98291,83.39
98292,86.857
98293,85.508
98294,80.952
98295,85.129
98296,84.02
98297,85.132
98298,85.263
98299,83.929
98300,86.34
98301,82.621
98302,82.062
98303,83.826
98304,85.299
98305,85.22
98306,85.561
98307,83.743
98308,86.003
98309,82.188
98310,79.86
98311,85.741
98312,85.207
98313,86.491
98314,87.613
98315,85.742
98316,87.112
98317,84.956
98318,82.709
98319,83.823
98320,86.808
98321,81.653
98322,87.385
98323,87.97
98324,86.441
98325,87.08
98326,82.205
98327,77.64
98328,83.155
98329,83.17
98330,83.451
98331,78.482
98332,83.958
98333,81.24
98334,77.11
98335,79.087
98336,81.672
98337,84.542
98338,79.653
98339,85.538
98340,85.989
98341,86.918
98342,82.961
98343,85.214
98344,84.654
98345,82.567
98346,83.196
98347,80.836
98348,78.332
98349,86.919
98350,87.198
98351,85.632
98352,83.731
98353,84.831
98354,77.17
98355,82.181
98356,81.207
98357,76.337
98358,83.587
98359,79.388
98360,75.972
98361,85.634
98362,81.38
98363,81.094
98364,80.936
98365,83.133
98366,78.308
98367,82.974
98368,80.833
98369,86.564
98370,86.826
98371,83.927
98372,86.44
98373,81.774
98374,81.3
98375,82.14
98376,83.115
98377,82.37
98378,84.188
98379,87.857
98380,86.181
98381,85.374
98382,87.118
98383,84.314
98384,80.418
98385,83.591
98386,79.137
98387,84.887
98388,82.881
98389,82.922
98390,79.112
98391,82.617
98392,81.374
98393,84.019
98394,85.866
98395,87.614
98396,82.021
98397,82.078
98398,80.384
98399,80.152
98400,78.111
98401,82.964
98402,84.91
