file,True,sonnet_doordash_pm resumes,haiku_doordash_pm resumes,original_cvs resumes,gemini_flash_doordash_pm resumes,opus_doordash_pm resumes,gemini_flash_lite_doordash_pm resumes,gemini_pro_doordash_pm resumes,haiku_google_ux resumes,gemini_flash_lite_google_ux resumes,gemini_pro_google_ux resumes,opus_google_ux resumes,gemini_flash_google_ux resumes,sonnet_google_ux resumes,CV_google_ux_Score,merged_DS1 resumes,merged_Mixtral1 resumes,Good_merged_Llama1 resumes,merged_GPT-4o1 resumes,merged_GPT-mini resumes,merged_GPT-3.5 resumes,twice_sonnet_doordash_pm resumes,CV_doordash_pm_Score,merged_DS2 resumes,merged_Mixtral3 resumes,merged_Mixtral2 resumes,merged_DS3 resumes,Good_merged_Llama2 resumes,merged_GPT-4o3 resumes,merged_GPT-4o2 resumes,Good_merged_Llama3 resumes,merged_GPT-mini2 resumes,merged_GPT-mini3 resumes,merged_GPT-3.5.3 resumes,merged_GPT-3.5.2 resumes,ScoresDoorDash_Original_File_haiku_v1 resumes,ScoresDoorDash_Original_File_opus_v1 resumes,ScoresDoorDash_Original_File resumes,ScoresDoorDash_Original_File_sonnet_v1 resumes,ScoresDoorDash_Original_File_gemini_flash_lite_v1 resumes,ScoresDoorDash_Original_File_gemini_pro_v1 resumes,ScoresDoorDash_Original_File_gemini_flash_v1 resumes,ScoresGoogle_Original_File_haiku_v1 resumes,ScoresGoogle_Original_File_sonnet_v1 resumes,ScoresGoogle_Original_File_gemini_flash_v1 resumes,ScoresGoogle_Original_File_opus_v1 resumes,ScoresGoogle_Original_google resumes,ScoresGoogle_Original_File_gemini_pro_v1 resumes,ScoresGoogle_Original_File_gemini_flash_lite_v1 resumes,DS1 resumes,DS2 resumes,DS3 resumes,GPT-mini1 resumes,Mixtral3 resumes,Mixtral2 resumes,GPT-mini2 resumes,Mixtral1 resumes,GPT-mini3 resumes,sonnet2 resumes,Llama3 resumes,Llama2 resumes,CV resumes,Llama1 resumes,sonnet resumes,GPT-4o1 resumes,GPT-3.5.1 resumes,GPT-3.5.3 resumes,GPT-4o3 resumes,GPT-4o2 resumes,GPT-3.5.2 resumes,CV
NScores-NDD-LAST?.csv,0,0.820299626576923,0.8213654485769232,0.8128408146538462,0.8330136663461538,0.8195275238461538,0.8081659814230768,0.8301225944615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-NDD-LAST?.csv,1,0.846534965923077,0.8441815773076923,0.8353792671538461,0.852227928,0.8472039244615385,0.8426743303076922,0.8542641753461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-NGG-LAST?.csv,0,,,,,,,,0.8255518331153846,0.8226742459615385,0.834579070423077,0.8257767211153847,0.8370627181538461,0.8246140374615385,0.8512537361923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-NGG-LAST?.csv,1,,,,,,,,0.8663289740384615,0.8545268652692308,0.8775096306538461,0.8601038217692308,0.8781383918461538,0.8656233988076923,0.8168391499615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-ODD-LAST?.csv,0,,,,,,,,,,,,,,,0.8262106136923076,0.8165971757692307,0.8199329546153846,0.826913373923077,0.8284094501153846,0.8053591176923077,0.8279514455,0.8346393233846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-ODD-LAST?.csv,1,,,,,,,,,,,,,,,0.8518807558846154,0.833326642076923,0.8488436855,0.8505665691923077,0.8506888629615385,0.8303186871153846,0.8548458525769231,0.8135807584230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-OGG-LAST?.csv,0,,,,,,,,,,,,,,0.8512537361923077,0.8369293313461538,0.8237894257307693,0.8332665387692307,0.8316147123846154,0.8282150718461538,0.8156139327692308,0.8307944610384616,,0.8393004643461539,0.8227021650384615,0.8197003489230769,0.8412656166153846,0.8363663110384616,0.8341302941923077,0.8333196621153846,0.8364109666153846,0.8282011137692308,0.8283855216153846,0.8155744153461538,0.8155577813846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NScores-OGG-LAST?.csv,1,,,,,,,,,,,,,,0.8168391499615385,0.8754220875384615,0.8671945016153846,0.8696952839230769,0.8732997285384615,0.8719134940000001,0.8533708656923077,0.8738530316153846,,0.8770501390384615,0.8684811520384615,0.8666812550384615,0.8801687308461539,0.8713314578846154,0.8741591731538461,0.8741481518846154,0.8726257955769231,0.8720243046153846,0.8719522355,0.8526247703461538,0.8526425068076924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OScores-NDD-new.1.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.71967692307692,78.67335,78.10691538461538,78.71885,79.00893461538462,79.47621153846153,79.15731923076922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OScores-NDD-new.1.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54901923076923,81.64305384615385,80.5718576923077,81.7819423076923,82.02246153846154,82.23960384615384,81.91976923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OScores-NGG-new.2.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.42628461538462,79.64822307692307,80.09412692307693,79.32311923076922,79.0961076923077,80.27396923076923,80.31761153846155,,,,,,,,,,,,,,,,,,,,,,
OScores-NGG-new.2.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.12783846153846,84.53188076923077,85.18613461538462,84.01073846153847,82.99658846153847,85.45510384615385,84.62374615384616,,,,,,,,,,,,,,,,,,,,,,
OScores-ODD-LAST?.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0301,79.04717307692307,79.24518076923077,79.64152692307692,78.2422653846154,78.1878576923077,79.67686153846154,78.6513076923077,79.68353076923077,78.91349615384615,78.02658076923078,78.02761153846154,78.10691538461538,77.9937423076923,78.71885,79.51150384615384,77.75466153846153,77.64197692307692,79.62071153846153,79.58516923076922,77.63278846153847,
OScores-ODD-LAST?.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.83614615384616,81.89213076923077,81.95981923076923,82.24277692307692,80.66071153846154,80.72403076923077,82.29048076923077,81.07974615384616,82.31375384615384,81.99802692307692,81.20828461538461,81.20288846153846,80.5718576923077,81.12486153846154,81.7819423076923,82.09028076923077,80.54404230769231,80.43538076923078,82.18506153846154,82.15133076923077,80.43099615384615,
OScores-OGG-LAST?.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.31404230769232,80.35481923076924,80.36227692307692,80.84155384615384,79.3225923076923,79.34416153846153,80.86252692307693,79.53168461538462,80.88517307692308,79.71417692307693,79.51223461538461,79.53281923076923,,79.49122692307692,79.64822692307692,80.78794230769232,79.23102307692307,79.10925384615385,80.9446423076923,80.89861153846154,79.15217692307692,79.0961076923077
OScores-OGG-LAST?.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7993576923077,84.84133461538461,84.88835769230768,85.62948076923077,84.3503576923077,84.23228461538461,85.67573461538461,84.12984230769231,85.69308846153847,84.83716153846154,84.23736538461539,84.18129615384615,,84.09035,84.53187692307692,85.53225384615384,83.33835384615385,83.41436153846153,85.62330384615385,85.60551153846154,83.36697307692307,82.99658846153847
