,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.7187216,0.8593608,0.696116,0.848058,0.6270531,0.8135265,0.66935956,0.8346798,0.7356055,0.86780274,0.80802596,0.904013,0.7663129,0.8831564,0.8320993,0.91604966,0.8090759,0.9045379,0.828519,0.9142595
6021,0.69628143,0.8481407,0.6927433,0.84637165,0.6048344,0.80241716,0.65893173,0.82946587,0.6726577,0.83632886,0.7276497,0.86382484,0.73052275,0.8652614,0.7429718,0.8714859,0.75775397,0.878877,0.7889737,0.89448684
6026,0.7596045,0.8798022,0.74808854,0.8740443,0.69472575,0.8473629,0.6927114,0.8463557,0.7773438,0.8886719,0.8222912,0.91114557,0.7840684,0.8920342,0.8269772,0.9134886,0.7892288,0.8946144,0.834412,0.917206
9479,0.6814287,0.84071434,0.64516664,0.8225833,0.5550895,0.77754474,0.6025917,0.8012959,0.6831784,0.8415892,0.7649324,0.8824662,0.7478639,0.87393194,0.7424941,0.87124705,0.75593555,0.8779678,0.7863817,0.89319086
16980,0.7868864,0.8934432,0.78256524,0.8912826,0.74467754,0.8723388,0.7449771,0.87248856,0.77792794,0.88896394,0.81058395,0.905292,0.7635726,0.8817863,0.8078428,0.90392137,0.82636976,0.9131849,0.8247507,0.91237533
17014,0.45473516,0.7273676,0.5526476,0.7763238,0.40843493,0.70421743,0.4843333,0.74216664,0.50814676,0.7540734,0.45622152,0.7281108,0.55938,0.77969,0.52403855,0.7620193,0.617234,0.808617,0.5709588,0.7854794
18230,0.7205706,0.8602853,0.72355783,0.8617789,0.62021023,0.8101051,0.6737191,0.8368596,0.7302432,0.8651216,0.78063804,0.890319,0.7574954,0.8787477,0.7974131,0.89870656,0.76756835,0.8837842,0.7966896,0.8983448
18348,0.6527519,0.82637596,0.6807492,0.8403746,0.5726321,0.78631604,0.60559833,0.80279917,0.67383534,0.83691764,0.7685548,0.8842774,0.74369276,0.8718464,0.7806151,0.89030755,0.7636968,0.8818484,0.8080376,0.90401876
26715,0.7296667,0.86483335,0.7432003,0.87160015,0.64118326,0.8205916,0.655347,0.8276735,0.7459049,0.87295246,0.7370112,0.8685056,0.7719439,0.88597196,0.7581049,0.87905246,0.7868528,0.8934264,0.7686496,0.8843248
26747,0.82781756,0.9139088,0.78999805,0.894999,0.7304088,0.8652044,0.72868097,0.8643405,0.8030944,0.9015472,0.83052826,0.9152641,0.74533135,0.87266564,0.8538242,0.92691207,0.7782357,0.88911784,0.8136253,0.90681267
