,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Score
6018,0.65174615,0.8258731,0.65568507,0.82784253,0.560069,0.78003454,0.6492355,0.82461774,0.65778583,0.82889295,0.75180095,0.8759005,0.72333586,0.86166793,0.7814257,0.89071286,0.77090234,0.8854512,0.78236645,0.89118326
6021,0.67886984,0.8394349,0.69205403,0.846027,0.59446335,0.7972317,0.6315525,0.8157762,0.6517503,0.82587516,0.7208462,0.8604231,0.71200395,0.856002,0.7138016,0.8569008,0.74620885,0.87310445,0.7608543,0.8804271
6026,0.729663,0.8648315,0.7358927,0.8679464,0.66460073,0.83230036,0.6786435,0.83932173,0.72524345,0.8626217,0.7888989,0.8944495,0.7465648,0.87328243,0.79124075,0.89562035,0.7521835,0.8760917,0.8052857,0.90264285
9479,0.7171619,0.85858095,0.70008075,0.8500404,0.59763813,0.79881907,0.6299784,0.8149892,0.720495,0.8602475,0.80430335,0.9021517,0.7830475,0.8915237,0.78086376,0.8904319,0.78414816,0.8920741,0.82866967,0.91433483
16980,0.76333565,0.88166785,0.756109,0.8780545,0.7054417,0.85272086,0.71402514,0.85701257,0.75538254,0.87769127,0.79838717,0.8991936,0.76699126,0.8834956,0.7739867,0.88699335,0.80227095,0.90113544,0.82174236,0.91087115
17014,0.52101934,0.76050967,0.6271065,0.8135532,0.48048764,0.7402438,0.54588354,0.77294177,0.5957797,0.7978898,0.5385378,0.7692689,0.6388594,0.8194297,0.59491694,0.79745847,0.6812314,0.8406157,0.65350676,0.8267534
18230,0.6738776,0.8369388,0.69312894,0.8465645,0.5706562,0.7853281,0.64026713,0.82013357,0.68748796,0.843744,0.7293647,0.8646823,0.7560345,0.87801725,0.7379503,0.86897516,0.7383101,0.86915505,0.7499528,0.8749764
18348,0.6806102,0.8403051,0.67744684,0.8387234,0.5877913,0.79389566,0.58698475,0.7934924,0.72222435,0.8611122,0.8603725,0.9301863,0.7820579,0.89102894,0.8255286,0.9127643,0.8025122,0.9012561,0.88104045,0.9405202
26715,0.6856185,0.84280926,0.69230485,0.8461524,0.57887936,0.7894397,0.63380146,0.81690073,0.7019929,0.8509965,0.6999761,0.84998804,0.74648273,0.87324136,0.73391175,0.8669559,0.7569261,0.87846303,0.73282135,0.8664107
26747,0.80608296,0.9030415,0.7471844,0.8735922,0.6910013,0.84550065,0.69766515,0.8488326,0.7586423,0.87932116,0.7770537,0.88852686,0.740062,0.870031,0.79728353,0.89864177,0.71410966,0.8570548,0.7584684,0.8792342
29788,0.5954251,0.79771256,0.6103259,0.8051629,0.51415324,0.7570766,0.5422571,0.77112854,0.6395633,0.81978166,0.7212113,0.86060566,0.7335618,0.8667809,0.70520496,0.8526025,0.7115594,0.8557797,0.7376078,0.86880386
29835,0.72802067,0.86401033,0.71778417,0.8588921,0.61881936,0.8094097,0.6204877,0.81024384,0.71465343,0.85732675,0.8117949,0.90589744,0.7728882,0.8864441,0.83968943,0.91984475,0.80571365,0.9028568,0.84229314,0.9211466
30606,0.6224235,0.81121176,0.5652313,0.78261566,0.55385756,0.7769288,0.5690649,0.7845324,0.6051067,0.80255336,0.70242584,0.8512129,0.6202884,0.8101442,0.6584619,0.82923096,0.7098036,0.8549018,0.696002,0.848001
30845,0.65689826,0.82844913,0.6433842,0.8216921,0.5621797,0.78108984,0.60540676,0.8027034,0.68983144,0.84491575,0.7919234,0.8959617,0.73413575,0.8670679,0.76312995,0.881565,0.7822429,0.89112145,0.8000173,0.9000087
32072,0.75405365,0.8770268,0.72147655,0.8607383,0.6972409,0.8486204,0.67793167,0.83896583,0.7160548,0.8580274,0.7797078,0.8898539,0.71071374,0.8553569,0.80302215,0.9015111,0.73798186,0.8689909,0.7602871,0.8801435
46443,0.68070865,0.8403543,0.7138302,0.8569151,0.65461224,0.82730615,0.6461163,0.8230581,0.7058457,0.85292286,0.75965977,0.8798299,0.7208468,0.8604234,0.79152375,0.89576185,0.7814423,0.89072114,0.8095814,0.9047907
46506,0.4581733,0.72908664,0.49425977,0.7471299,0.42416412,0.712082,0.44526574,0.7226329,0.48247802,0.741239,0.5540956,0.7770478,0.5155958,0.7577979,0.58424884,0.7921244,0.6364995,0.81824976,0.62327754,0.8116388
50300,0.6941735,0.8470868,0.69235075,0.8461754,0.68304205,0.841521,0.6422823,0.8211411,0.7178676,0.8589338,0.7631049,0.88155246,0.6880045,0.84400225,0.7712579,0.88562894,0.7519001,0.87595004,0.7861804,0.8930902
51419,0.6648953,0.83244765,0.6363276,0.8181638,0.5756254,0.7878127,0.5827513,0.79137564,0.6385324,0.8192662,0.7325013,0.86625063,0.7012221,0.8506111,0.70925593,0.85462797,0.726937,0.8634685,0.74415433,0.87207717
53971,0.6975421,0.84877104,0.6588596,0.8294298,0.58091253,0.7904563,0.57347214,0.7867361,0.71648586,0.8582429,0.77927417,0.8896371,0.7690091,0.88450456,0.73889405,0.869447,0.7743083,0.88715416,0.78204876,0.89102435
53972,0.68604743,0.8430237,0.66016674,0.8300834,0.612447,0.8062235,0.5843258,0.7921629,0.6907468,0.8453734,0.79764783,0.8988239,0.7229824,0.8614912,0.75664985,0.8783249,0.7794186,0.8897093,0.79501534,0.89750767
53973,0.6801443,0.84007215,0.64390963,0.82195485,0.5979384,0.7989692,0.60736793,0.803684,0.71443033,0.85721517,0.8088323,0.90441614,0.7519567,0.87597835,0.81060636,0.9053032,0.7856294,0.8928147,0.81926477,0.9096324
53974,0.6524086,0.8262043,0.5942622,0.79713106,0.5683012,0.7841506,0.5765048,0.7882524,0.7112142,0.8556071,0.7893146,0.8946573,0.7405001,0.87025005,0.7299584,0.8649792,0.74133,0.870665,0.7844262,0.8922131
53975,0.63478684,0.8173934,0.59917784,0.7995889,0.59090567,0.79545283,0.5571581,0.77857906,0.6564207,0.82821035,0.78304356,0.8915218,0.70245636,0.8512282,0.70201945,0.8510097,0.7448043,0.8724022,0.7729355,0.88646775
53976,0.56036186,0.78018093,0.53369886,0.7668494,0.5258085,0.7629043,0.53116506,0.76558256,0.5813523,0.7906761,0.65867245,0.8293362,0.68206483,0.8410324,0.62847805,0.814239,0.6931542,0.8465771,0.6826577,0.84132886
53977,0.67994696,0.83997345,0.6163347,0.80816734,0.5455258,0.7727629,0.6000136,0.8000068,0.6517802,0.82589006,0.71455586,0.8572779,0.72280383,0.8614019,0.7093047,0.85465235,0.7469195,0.87345976,0.74847955,0.8742398
53978,0.63844943,0.8192247,0.62374854,0.8118743,0.58498484,0.7924924,0.6011419,0.80057096,0.66715384,0.8335769,0.7208127,0.86040634,0.68505013,0.84252506,0.71446323,0.8572316,0.72752005,0.86376,0.7527616,0.8763808
53979,0.76322776,0.88161385,0.724545,0.8622725,0.68793017,0.84396505,0.6523658,0.8261829,0.77492195,0.88746095,0.8671925,0.93359625,0.7921406,0.8960703,0.8315811,0.91579056,0.8155159,0.90775794,0.8487211,0.9243605
53981,0.6522364,0.82611823,0.6451588,0.8225794,0.56869745,0.7843487,0.59777844,0.7988892,0.6916432,0.8458216,0.78389555,0.89194775,0.76298785,0.8814939,0.76285505,0.8814275,0.75854987,0.87927496,0.7900474,0.8950237
54796,0.67824745,0.8391237,0.68106407,0.84053206,0.56215537,0.7810777,0.6221485,0.81107426,0.64456296,0.8222815,0.7098832,0.8549416,0.7060091,0.8530046,0.7485141,0.8742571,0.7517195,0.87585974,0.7373657,0.86868286
54797,0.68373144,0.8418657,0.6795825,0.83979124,0.6646531,0.83232653,0.6277814,0.8138907,0.7198025,0.85990125,0.8113539,0.90567696,0.7270298,0.8635149,0.77702487,0.88851243,0.71670014,0.85835004,0.7986617,0.89933085
54798,0.6735331,0.83676654,0.70394915,0.8519746,0.5940834,0.7970417,0.64213836,0.8210692,0.66688865,0.83344436,0.7179509,0.8589754,0.72489506,0.8624475,0.72883826,0.8644191,0.78289974,0.89144987,0.75355935,0.8767797
54799,0.62156844,0.8107842,0.61660075,0.8083004,0.5100157,0.75500786,0.5397254,0.7698627,0.6501862,0.8250931,0.73086643,0.8654332,0.7233155,0.86165774,0.69720757,0.8486038,0.7515253,0.87576264,0.77505356,0.88752675
54800,0.67789143,0.83894575,0.68227816,0.8411391,0.611616,0.805808,0.5960647,0.79803234,0.69344664,0.8467233,0.7557624,0.87788117,0.77202857,0.8860143,0.7733676,0.8866838,0.79232943,0.8961647,0.79339004,0.896695
56453,0.68679094,0.8433955,0.66406345,0.8320317,0.59770405,0.798852,0.56023,0.780115,0.7132243,0.85661215,0.76416427,0.8820821,0.77803135,0.8890157,0.7170358,0.8585179,0.74802387,0.87401193,0.76845556,0.88422775
56528,0.6686387,0.83431935,0.6429793,0.8214897,0.5552258,0.7776129,0.5600846,0.7800423,0.6691375,0.83456874,0.73503304,0.8675165,0.7152848,0.8576424,0.6809963,0.84049815,0.7177966,0.8588983,0.711714,0.855857
56542,0.70737326,0.85368663,0.68735254,0.84367627,0.61452895,0.80726445,0.6612873,0.83064365,0.69985193,0.849926,0.77427626,0.8871381,0.7252265,0.86261326,0.7883945,0.8941972,0.7839383,0.89196914,0.7998766,0.8999383
56543,0.6526727,0.8263364,0.6238289,0.81191444,0.5564818,0.7782409,0.55009454,0.7750473,0.6465316,0.8232658,0.7440335,0.8720168,0.7318323,0.86591613,0.728912,0.864456,0.7600721,0.88003606,0.75639796,0.878199
56544,0.7084439,0.85422194,0.68450123,0.8422506,0.59769905,0.7988495,0.6452951,0.8226476,0.6983278,0.8491639,0.751243,0.8756215,0.7583926,0.8791963,0.75571615,0.87785804,0.7523668,0.8761834,0.7705431,0.88527155
