,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.7189894,0.8594947,0.70127946,0.8506397,0.63261616,0.8163081,0.6815952,0.8407976,0.7324746,0.8662373,0.8015894,0.90079474,0.7530889,0.8765445,0.83430094,0.9171505,0.80162776,0.9008139,0.8198395,0.90991974
6021,0.65734684,0.8286734,0.6636963,0.83184814,0.589519,0.7947595,0.6537218,0.8268609,0.6306616,0.8153308,0.6670203,0.83351016,0.6824874,0.84124374,0.6884979,0.84424895,0.7233439,0.8616719,0.74664795,0.873324
6026,0.7175348,0.8587674,0.74119055,0.8705953,0.6504953,0.82524765,0.6883737,0.84418684,0.74011075,0.8700554,0.7804264,0.8902132,0.777765,0.8888825,0.8018909,0.9009454,0.755311,0.8776555,0.81558293,0.9077915
9479,0.62550783,0.8127539,0.61308485,0.8065424,0.5274576,0.7637288,0.5672574,0.7836287,0.64093125,0.8204656,0.73608863,0.8680443,0.72952664,0.8647633,0.702604,0.851302,0.75001633,0.87500817,0.7649212,0.8824606
16980,0.73594,0.86797,0.7480881,0.87404406,0.6856663,0.84283316,0.7238282,0.8619141,0.7344148,0.8672074,0.75192165,0.8759608,0.7262846,0.8631423,0.7449163,0.87245816,0.78740394,0.893702,0.7850746,0.8925373
17014,0.44684005,0.72342,0.5324367,0.76621836,0.40542126,0.7027106,0.46191072,0.73095536,0.48967397,0.744837,0.4370628,0.71853137,0.54383373,0.77191687,0.4929077,0.7464539,0.5674894,0.7837447,0.54347736,0.77173865
18230,0.7463404,0.8731702,0.74319756,0.8715988,0.6764648,0.8382324,0.7005824,0.8502912,0.75423425,0.87711716,0.8060243,0.90301216,0.7817749,0.89088744,0.80994654,0.90497327,0.78345585,0.8917279,0.8060461,0.90302306
18348,0.69534713,0.84767354,0.710001,0.8550005,0.6205129,0.8102565,0.62729865,0.8136493,0.7142645,0.85713226,0.8153173,0.90765864,0.7486039,0.8743019,0.8314353,0.91571766,0.7986939,0.89934695,0.8323933,0.91619664
26715,0.7131933,0.85659665,0.7066965,0.85334826,0.59623003,0.798115,0.659671,0.82983553,0.717269,0.8586345,0.7131575,0.8565787,0.7555959,0.87779796,0.738917,0.8694585,0.7714733,0.88573664,0.7422378,0.8711189
26747,0.82088935,0.9104447,0.7890359,0.89451796,0.72371125,0.8618556,0.7314996,0.86574984,0.79388535,0.8969427,0.81083786,0.90541893,0.75718963,0.8785948,0.84595346,0.92297673,0.77147985,0.8857399,0.81522924,0.9076146
