,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Score
6018,0.62551,0.812755,0.6162467,0.80812335,0.577373,0.7886865,0.630215,0.81510746,0.6228279,0.81141394,0.698473,0.8492365,0.6564401,0.82822,0.7169651,0.85848254,0.70329654,0.8516483,0.7280452,0.8640226
6021,0.6744342,0.8372171,0.5882126,0.7941063,0.57382333,0.78691167,0.5988034,0.7994017,0.6158961,0.80794805,0.7273756,0.8636878,0.6497774,0.8248887,0.6704886,0.8352443,0.6871642,0.8435821,0.69461936,0.8473097
6026,0.60104626,0.80052316,0.62186635,0.8109332,0.5260813,0.76304066,0.5898993,0.79494965,0.6283456,0.8141728,0.7168926,0.8584463,0.6901165,0.84505826,0.7192693,0.85963464,0.7078526,0.8539263,0.74350023,0.8717501
9479,0.68422556,0.8421128,0.645452,0.822726,0.56226104,0.78113055,0.5702412,0.7851206,0.70439386,0.85219693,0.78868616,0.8943431,0.7531421,0.87657106,0.75556135,0.8777807,0.7314998,0.8657499,0.7878807,0.8939403
16980,0.7575934,0.8787967,0.7652097,0.88260484,0.71618927,0.85809463,0.73752606,0.868763,0.74246764,0.8712338,0.7672311,0.88361555,0.73059875,0.86529934,0.7874666,0.89373326,0.8048675,0.90243375,0.79550385,0.8977519
17014,0.49256968,0.74628484,0.5817207,0.79086035,0.4480018,0.72400093,0.48177683,0.7408884,0.5728766,0.7864383,0.5346827,0.7673414,0.6291889,0.81459445,0.58090633,0.7904532,0.6728827,0.83644134,0.6481378,0.8240689
18230,0.6657729,0.83288646,0.6764686,0.8382343,0.5643985,0.78219926,0.6378288,0.8189144,0.6791791,0.83958954,0.7084398,0.8542199,0.6982678,0.8491339,0.73254275,0.8662714,0.6994309,0.8497155,0.7067038,0.8533519
18348,0.631623,0.8158115,0.64263606,0.82131803,0.54785335,0.7739267,0.5700466,0.78502333,0.67035174,0.8351759,0.79179573,0.89589787,0.7503637,0.87518185,0.7591166,0.8795583,0.7777062,0.8888531,0.8307369,0.91536844
26715,0.652977,0.8264885,0.6820203,0.84101015,0.5604956,0.7802478,0.6000526,0.8000263,0.69890535,0.8494527,0.6961598,0.8480799,0.7280379,0.8640189,0.7297879,0.8648939,0.7587563,0.87937814,0.70580554,0.85290277
26747,0.7603513,0.88017565,0.72311556,0.8615578,0.63249564,0.8162478,0.67661816,0.83830905,0.7578271,0.8789135,0.7946354,0.8973177,0.73552,0.86776,0.8105414,0.9052707,0.7349192,0.8674596,0.78356564,0.8917828
