,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score
6018,0.68211913,0.84105957,0.658061,0.8290305,0.59611595,0.798058,0.64195645,0.8209782,0.72006214,0.86003107,0.8029921,0.90149605,0.73342466,0.86671233,0.80165064,0.9008253,0.7849983,0.89249915,0.7960841,0.8980421
6021,0.6982173,0.84910864,0.6393025,0.81965125,0.6153377,0.80766886,0.6400124,0.8200062,0.643231,0.82161546,0.7083343,0.85416716,0.67076266,0.8353813,0.71059364,0.85529685,0.70830727,0.85415363,0.7113637,0.85568184
6026,0.6352265,0.81761324,0.6432959,0.82164794,0.5641642,0.7820821,0.64948773,0.82474387,0.6345692,0.8172846,0.68045574,0.84022784,0.6568371,0.82841855,0.696486,0.848243,0.69372666,0.8468633,0.71047497,0.8552375
9479,0.6734785,0.83673924,0.6278975,0.81394875,0.55409765,0.7770488,0.5900241,0.79501206,0.6900283,0.84501415,0.75757974,0.8787899,0.7319913,0.86599565,0.74726176,0.8736309,0.7259063,0.8629532,0.76323766,0.88161886
16980,0.7573421,0.87867105,0.73969245,0.8698462,0.68316525,0.84158266,0.70837545,0.8541877,0.7416817,0.87084085,0.7760886,0.8880443,0.72980356,0.8649018,0.77135754,0.88567877,0.79779094,0.8988955,0.8002684,0.9001342
17014,0.52478635,0.7623932,0.636968,0.818484,0.48284286,0.74142146,0.5265839,0.76329195,0.5975685,0.79878426,0.55588424,0.7779421,0.6623939,0.83119696,0.60245895,0.8012295,0.67957354,0.83978677,0.657163,0.8285815
18230,0.7013012,0.8506506,0.7101807,0.8550904,0.6025374,0.8012687,0.6525577,0.8262788,0.7108907,0.8554454,0.7124728,0.8562364,0.7136264,0.8568132,0.7534387,0.87671936,0.72447264,0.8622363,0.723198,0.86159897
18348,0.63852346,0.8192617,0.65070796,0.825354,0.55204123,0.77602065,0.5886332,0.7943166,0.66910845,0.8345542,0.77307713,0.88653857,0.7446755,0.87233776,0.75935006,0.87967503,0.76786673,0.88393337,0.795207,0.8976035
26715,0.68320704,0.8416035,0.6672348,0.8336174,0.5335399,0.76676995,0.62242615,0.8112131,0.7122569,0.85612845,0.7150532,0.8575266,0.75328064,0.8766403,0.7423657,0.87118286,0.7436274,0.8718137,0.72272444,0.8613622
26747,0.8179456,0.9089728,0.7400226,0.8700113,0.70508826,0.8525441,0.6969224,0.8484612,0.80824655,0.9041233,0.8499434,0.9249717,0.75636506,0.87818253,0.85218334,0.9260917,0.7382693,0.86913466,0.79763424,0.8988171
