,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.6840757,0.84203786,0.6618663,0.83093315,0.616891,0.8084455,0.64437145,0.82218575,0.7168584,0.8584292,0.77416736,0.88708365,0.72994304,0.8649715,0.79770726,0.89885366,0.7607127,0.8803563,0.7832737,0.89163685
6021,0.6753547,0.83767736,0.616462,0.808231,0.5999017,0.79995084,0.6051592,0.80257964,0.61889666,0.80944836,0.7263802,0.8631901,0.6458609,0.82293046,0.68057203,0.840286,0.7075373,0.85376865,0.713876,0.856938
6026,0.59718144,0.7985907,0.6392613,0.8196306,0.5346459,0.76732296,0.58456224,0.79228115,0.64033055,0.8201653,0.7351071,0.8675536,0.70071805,0.850359,0.7408618,0.8704309,0.73890257,0.8694513,0.7723799,0.88618994
9479,0.6484765,0.82423824,0.6222906,0.8111453,0.5477737,0.77388686,0.594098,0.797049,0.65900886,0.82950443,0.73890513,0.8694526,0.72146165,0.8607308,0.7324578,0.86622894,0.7498511,0.87492555,0.7899829,0.89499146
16980,0.7072698,0.8536349,0.7410082,0.87050414,0.6612926,0.8306463,0.7218011,0.8609005,0.6947833,0.8473916,0.7020323,0.85101616,0.701744,0.85087204,0.72958267,0.86479133,0.76700383,0.8835019,0.7453393,0.87266964
17014,0.4766103,0.73830515,0.589921,0.7949605,0.4544173,0.7272086,0.4889896,0.7444948,0.5569038,0.7784519,0.4812679,0.74063396,0.5899775,0.79498875,0.5460068,0.7730034,0.63159466,0.8157973,0.5755295,0.7877648
18230,0.6427939,0.82139695,0.6562391,0.8281195,0.5589043,0.77945215,0.605688,0.802844,0.67461836,0.8373092,0.71654594,0.85827297,0.70749366,0.85374683,0.73748374,0.86874187,0.7079179,0.85395896,0.71685374,0.85842687
18348,0.6379594,0.81897974,0.66960335,0.8348017,0.58308107,0.7915405,0.60969615,0.8048481,0.6777594,0.8388797,0.7762465,0.8881233,0.7299364,0.8649682,0.7892634,0.89463174,0.7849424,0.8924712,0.82310843,0.9115542
26715,0.7117456,0.8558728,0.6994941,0.84974706,0.6013807,0.80069035,0.63211745,0.81605875,0.7419325,0.87096626,0.724627,0.8623135,0.7452619,0.87263095,0.74771273,0.87385637,0.7454021,0.87270105,0.73185134,0.86592567
26747,0.81003463,0.9050173,0.7248534,0.8624267,0.6861088,0.8430544,0.69145703,0.8457285,0.7730762,0.8865381,0.851875,0.92593753,0.7389426,0.8694713,0.8317125,0.91585624,0.7576455,0.87882274,0.82207334,0.9110367
29788,0.5197257,0.75986284,0.53202105,0.7660105,0.45999798,0.729999,0.50413704,0.7520685,0.55397356,0.7769868,0.60942703,0.8047135,0.6133206,0.8066603,0.5881346,0.79406726,0.61887443,0.8094372,0.63691896,0.8184595
29835,0.6634505,0.83172524,0.6514001,0.82570004,0.55871314,0.7793566,0.60661525,0.80330765,0.6603937,0.83019686,0.76808196,0.88404095,0.74541306,0.87270653,0.7545661,0.87728304,0.74737936,0.87368965,0.77778596,0.888893
30606,0.6731804,0.8365902,0.5797693,0.7898847,0.5476533,0.77382666,0.55343556,0.7767178,0.6823028,0.84115136,0.83106506,0.9155325,0.6948135,0.84740674,0.7128279,0.85641396,0.7295741,0.86478704,0.7857643,0.8928821
