,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.6643965,0.83219826,0.6500979,0.8250489,0.5671449,0.78357244,0.65915966,0.82957983,0.6832153,0.8416077,0.7864319,0.89321595,0.7341676,0.8670838,0.79167193,0.895836,0.73899865,0.8694993,0.80401194,0.902006
6021,0.6973097,0.84865487,0.6202648,0.8101324,0.57633495,0.7881675,0.5961997,0.7980999,0.62074494,0.8103725,0.7267579,0.86337894,0.6580646,0.8290323,0.70026314,0.8501316,0.6908878,0.8454439,0.7035934,0.8517967
6026,0.6238489,0.81192446,0.6429902,0.82149506,0.50744057,0.7537203,0.59400487,0.79700243,0.6457969,0.82289845,0.7037766,0.8518883,0.69081265,0.8454063,0.7231951,0.86159754,0.6900577,0.8450289,0.73184603,0.86592305
9479,0.68718636,0.8435932,0.6453778,0.82268894,0.549091,0.7745455,0.600325,0.8001625,0.69979477,0.8498974,0.7980422,0.8990211,0.75627714,0.87813854,0.7670478,0.88352394,0.75446236,0.8772312,0.8050842,0.9025421
16980,0.77922255,0.88961124,0.7709559,0.88547796,0.7460498,0.87302494,0.7424395,0.87121975,0.7608638,0.8804319,0.8020899,0.90104496,0.73892415,0.8694621,0.81259954,0.90629977,0.81885195,0.909426,0.81588876,0.9079444
17014,0.43117094,0.7155855,0.52117544,0.7605877,0.40416735,0.7020837,0.45951366,0.72975683,0.5049359,0.752468,0.44238117,0.7211906,0.52354807,0.76177406,0.50389683,0.7519484,0.5772769,0.7886385,0.5470171,0.77350855
18230,0.65957344,0.8297867,0.67290914,0.8364546,0.54701424,0.7735071,0.6475761,0.82378805,0.6860908,0.8430454,0.7461146,0.8730573,0.7370641,0.86853206,0.74118173,0.87059087,0.7438326,0.8719163,0.76327825,0.8816391
18348,0.67702997,0.838515,0.69207466,0.8460373,0.5794105,0.7897053,0.60824764,0.8041238,0.7266581,0.86332905,0.8167856,0.9083928,0.7679677,0.88398385,0.80537695,0.9026885,0.8036537,0.90182686,0.84704506,0.92352253
26715,0.7094419,0.85472095,0.6710521,0.83552605,0.60495,0.802475,0.6241032,0.8120516,0.7246181,0.86230904,0.7288097,0.86440486,0.7431797,0.87158984,0.74122226,0.87061113,0.75256616,0.87628305,0.727878,0.863939
26747,0.7354089,0.86770445,0.71159756,0.8557988,0.6199283,0.8099642,0.6690173,0.83450866,0.7376044,0.8688022,0.785422,0.89271104,0.7326504,0.8663252,0.801049,0.9005245,0.72884417,0.8644221,0.78633094,0.89316547
29788,0.52797693,0.7639885,0.5387029,0.7693515,0.45174244,0.7258712,0.48919567,0.74459785,0.57121724,0.78560865,0.65196955,0.8259848,0.6522391,0.82611954,0.6149523,0.80747616,0.6292531,0.8146266,0.6706201,0.83531004
29835,0.73018956,0.8650948,0.7169361,0.85846806,0.61755216,0.8087761,0.63689554,0.81844777,0.74339557,0.8716978,0.8298609,0.91493046,0.7872316,0.89361584,0.8006358,0.9003179,0.8117738,0.9058869,0.8412185,0.92060924
30606,0.6267011,0.81335056,0.5586942,0.77934706,0.5452218,0.7726109,0.5791893,0.78959465,0.6340642,0.8170321,0.73750114,0.8687506,0.6175733,0.80878663,0.689445,0.8447225,0.70824015,0.8541201,0.70989096,0.8549455
30845,0.67208767,0.83604383,0.63688195,0.818441,0.59295726,0.7964786,0.631778,0.815889,0.6804682,0.8402341,0.82524157,0.9126208,0.731817,0.8659085,0.7844367,0.89221835,0.7801869,0.89009345,0.8140951,0.9070475
32072,0.76003516,0.8800176,0.7090773,0.8545387,0.7033862,0.8516931,0.6742798,0.8371399,0.7323892,0.8661946,0.81550354,0.9077518,0.7212043,0.86060214,0.8151903,0.90759516,0.76636,0.88318,0.7806872,0.8903436
46443,0.74425876,0.8721294,0.7407389,0.87036943,0.6833655,0.8416828,0.67945576,0.8397279,0.7628215,0.8814107,0.8362202,0.91811013,0.75198686,0.87599343,0.83997273,0.91998637,0.7928144,0.8964072,0.85669947,0.92834973
46506,0.4825106,0.7412553,0.5367527,0.76837635,0.4545135,0.7272568,0.49711287,0.74855644,0.51836926,0.7591846,0.5939417,0.79697084,0.5309913,0.76549566,0.6143768,0.8071884,0.6517265,0.82586324,0.6495489,0.82477444
50300,0.69607306,0.8480365,0.69797754,0.8489888,0.68345636,0.8417282,0.65542877,0.8277144,0.74439466,0.87219733,0.80029094,0.9001455,0.72112644,0.8605632,0.80969167,0.90484583,0.7786746,0.8893373,0.82728887,0.91364443
51419,0.74889094,0.87444544,0.69121253,0.84560627,0.6485223,0.8242612,0.5914974,0.7957487,0.75970286,0.87985146,0.86916417,0.9345821,0.7604333,0.88021666,0.8270018,0.9135009,0.75962543,0.8798127,0.8263248,0.9131624
53971,0.6263304,0.8131652,0.6317402,0.8158701,0.5491346,0.7745673,0.56630635,0.7831532,0.6513226,0.8256613,0.65380937,0.82690465,0.68720424,0.8436021,0.68832636,0.8441632,0.7176174,0.8588087,0.67180115,0.83590055
53972,0.61991054,0.80995524,0.64162695,0.8208135,0.5358032,0.7679016,0.5720948,0.7860474,0.6303586,0.8151793,0.67207915,0.83603954,0.6739886,0.8369943,0.68580925,0.8429046,0.70033014,0.85016507,0.67104286,0.83552146
53973,0.6852443,0.84262216,0.6443769,0.82218844,0.5976994,0.7988497,0.58904564,0.7945228,0.6977632,0.8488816,0.83233035,0.9161652,0.76289093,0.88144547,0.8014461,0.90072304,0.7888876,0.8944438,0.8277366,0.9138683
53974,0.5952149,0.7976074,0.5344966,0.7672483,0.4950918,0.7475459,0.5322546,0.7661273,0.61801505,0.8090075,0.7047174,0.8523587,0.6586345,0.8293172,0.6562674,0.8281337,0.67650676,0.8382534,0.70282143,0.85141075
