,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.6187278,0.8093639,0.6163918,0.8081959,0.56138355,0.78069174,0.63499427,0.81749713,0.6364701,0.81823504,0.70657885,0.8532894,0.6745404,0.8372702,0.72514856,0.8625743,0.70743,0.853715,0.7387527,0.86937636
6021,0.71683407,0.85841703,0.6495267,0.82476336,0.61941206,0.80970603,0.63807034,0.8190352,0.65891325,0.8294566,0.7651519,0.882576,0.67492855,0.8374643,0.7268406,0.8634203,0.7296629,0.86483145,0.73567367,0.86783683
6026,0.67200387,0.83600193,0.6828141,0.84140706,0.6109639,0.8054819,0.6222583,0.81112915,0.70178634,0.85089314,0.80560374,0.9028019,0.74641204,0.873206,0.7943344,0.8971672,0.76570135,0.88285065,0.8136618,0.9068309
9479,0.6879585,0.84397924,0.63728094,0.8186405,0.5626832,0.7813416,0.57409215,0.7870461,0.69502556,0.8475128,0.792655,0.8963275,0.7462756,0.87313783,0.75242376,0.8762119,0.7341622,0.8670811,0.79028857,0.8951443
16980,0.752239,0.8761195,0.766671,0.8833355,0.7173687,0.85868436,0.73119634,0.8655982,0.7567752,0.8783876,0.7775594,0.8887797,0.74777603,0.873888,0.79040396,0.895202,0.81681395,0.908407,0.8109183,0.90545917
17014,0.4858268,0.74291337,0.56746376,0.7837319,0.43834412,0.71917206,0.47336555,0.7366828,0.5681951,0.78409755,0.5411625,0.77058125,0.6346348,0.81731737,0.57472104,0.78736055,0.67932504,0.83966255,0.6594863,0.82974315
18230,0.6638731,0.83193654,0.6775003,0.8387501,0.5602128,0.7801064,0.63332343,0.8166617,0.67208385,0.8360419,0.72043574,0.86021787,0.707011,0.8535055,0.73672247,0.86836123,0.7151281,0.8575641,0.7240608,0.8620304
18348,0.66824037,0.83412015,0.6703181,0.83515906,0.5657058,0.7828529,0.5853839,0.79269195,0.6984813,0.84924066,0.82621825,0.9131091,0.76215255,0.8810763,0.78346103,0.89173055,0.78723276,0.8936164,0.8416371,0.92081857
26715,0.7123563,0.85617816,0.7029203,0.85146016,0.6035483,0.80177414,0.61745465,0.8087273,0.76653355,0.8832668,0.7655864,0.8827932,0.77708465,0.8885423,0.7808602,0.8904301,0.77928406,0.889642,0.76825404,0.884127
26747,0.7580826,0.8790413,0.7305678,0.8652839,0.63631094,0.81815547,0.6764571,0.8382286,0.7531973,0.87659866,0.8021624,0.9010812,0.7401928,0.8700964,0.8112184,0.9056092,0.7472844,0.8736422,0.7925883,0.8962941
29788,0.5168085,0.75840425,0.5063301,0.753165,0.42020833,0.71010417,0.46991134,0.73495567,0.546484,0.773242,0.63739884,0.8186994,0.6411024,0.82055116,0.59144604,0.795723,0.6131227,0.80656135,0.6498642,0.8249321
29835,0.6752319,0.83761597,0.6965207,0.84826034,0.57985765,0.7899288,0.61569136,0.8078457,0.6839547,0.84197736,0.79054135,0.8952707,0.7711766,0.8855883,0.8085015,0.90425074,0.7933471,0.89667356,0.8084128,0.9042064
30606,0.5685197,0.78425986,0.52332354,0.76166177,0.5331315,0.76656574,0.547542,0.773771,0.57540137,0.78770065,0.6920613,0.84603065,0.5944327,0.79721636,0.6579146,0.8289573,0.70563495,0.8528175,0.7073516,0.85367584
30845,0.7256083,0.8628042,0.66121066,0.8306053,0.61535615,0.8076781,0.6384542,0.8192271,0.72062206,0.86031103,0.8512597,0.92562985,0.7550696,0.8775348,0.79546607,0.89773303,0.7832595,0.89162976,0.82057697,0.91028845
32072,0.75904894,0.87952447,0.7075989,0.85379946,0.69336176,0.8466809,0.6778904,0.8389452,0.7392628,0.8696314,0.81477946,0.90738976,0.7358587,0.86792934,0.81547976,0.9077399,0.76339185,0.8816959,0.7918427,0.89592135
46443,0.68569124,0.8428456,0.72292656,0.8614633,0.64184976,0.8209249,0.6635499,0.83177495,0.7285012,0.8642506,0.78701186,0.89350593,0.73676157,0.8683808,0.81314874,0.90657437,0.7905464,0.8952732,0.8285698,0.91428494
46506,0.46293926,0.73146963,0.50293183,0.7514659,0.42946136,0.7147307,0.45400465,0.7270023,0.5165966,0.7582983,0.5775511,0.78877556,0.51649284,0.7582464,0.59963834,0.7998192,0.62866694,0.81433344,0.6206571,0.81032854
50300,0.6877098,0.8438549,0.67428535,0.8371427,0.65287566,0.82643783,0.5839422,0.7919711,0.7443706,0.8721853,0.81439483,0.9071974,0.7476262,0.8738131,0.76278216,0.88139105,0.73956734,0.86978364,0.8237144,0.9118572
51419,0.6607768,0.8303884,0.6468278,0.8234139,0.5935745,0.79678726,0.62180126,0.8109006,0.6540388,0.8270194,0.7469752,0.8734876,0.69626814,0.84813404,0.7414133,0.8707067,0.73423314,0.8671166,0.76860523,0.8843026
53971,0.62949395,0.814747,0.5917971,0.79589856,0.54661226,0.77330613,0.54524696,0.7726235,0.66590846,0.8329542,0.7457217,0.87286085,0.73805106,0.8690255,0.71982557,0.85991275,0.7527977,0.87639886,0.7643586,0.88217926
53972,0.5871017,0.79355085,0.6213285,0.81066424,0.52212584,0.7610629,0.5716239,0.78581196,0.59777457,0.79888725,0.6677903,0.83389515,0.64939606,0.82469803,0.6870227,0.84351134,0.6973565,0.84867823,0.6877733,0.8438866
53973,0.67752016,0.8387601,0.6211382,0.8105691,0.60070854,0.80035424,0.60749733,0.80374867,0.7062187,0.85310936,0.8194321,0.909716,0.7370186,0.8685093,0.7696801,0.88484,0.7721275,0.88606375,0.81654245,0.9082712
53974,0.5990592,0.7995296,0.5750346,0.7875173,0.5181542,0.7590771,0.57616436,0.7880822,0.6303694,0.8151847,0.706061,0.8530305,0.6933503,0.84667516,0.673095,0.8365475,0.7132364,0.85661817,0.72032136,0.8601607
