,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.68270147,0.84135073,0.681875,0.8409375,0.58117247,0.79058623,0.66872203,0.834361,0.69336843,0.8466842,0.7611989,0.88059944,0.73488057,0.8674403,0.79207647,0.89603823,0.79186845,0.8959342,0.8024003,0.9012002
6021,0.7061005,0.85305023,0.6450294,0.8225147,0.58370245,0.7918512,0.63711673,0.81855834,0.6570349,0.82851744,0.72332716,0.8616636,0.6660951,0.8330475,0.7009493,0.85047466,0.69830185,0.8491509,0.69994885,0.8499744
6026,0.7073067,0.8536533,0.7059115,0.85295576,0.6326276,0.8163138,0.65638876,0.8281944,0.73273206,0.866366,0.77519166,0.88759583,0.72627056,0.8631353,0.7871963,0.89359814,0.78063774,0.8903189,0.80738854,0.9036943
9479,0.68773437,0.8438672,0.6508815,0.82544076,0.56054974,0.78027487,0.5909176,0.7954588,0.7346338,0.8673169,0.80049306,0.9002465,0.7795228,0.8897614,0.76574063,0.8828703,0.7493131,0.87465656,0.80533195,0.902666
16980,0.7303133,0.86515665,0.75974524,0.8798726,0.683851,0.8419255,0.72489834,0.86244917,0.7358829,0.86794144,0.741825,0.8709125,0.72816926,0.8640846,0.76535195,0.882676,0.7794001,0.88970006,0.75567365,0.8778368
17014,0.5297346,0.7648673,0.607154,0.803577,0.472871,0.73643553,0.5164208,0.7582104,0.579417,0.7897085,0.5553691,0.77768457,0.6256773,0.8128387,0.5786124,0.78930616,0.65738857,0.8286943,0.64063656,0.8203183
18230,0.6742123,0.8371061,0.6463322,0.82316613,0.6028937,0.80144686,0.6261902,0.8130951,0.6753466,0.8376733,0.7185395,0.85926974,0.6530374,0.8265187,0.7394729,0.86973643,0.6975168,0.8487584,0.7156515,0.85782576
18348,0.62649775,0.8132489,0.6311075,0.8155538,0.53424644,0.7671232,0.571182,0.785591,0.66283894,0.83141947,0.77170867,0.88585436,0.73704517,0.8685226,0.74723995,0.87362,0.7521911,0.87609553,0.7924603,0.89623016
26715,0.7172405,0.8586203,0.67893326,0.83946663,0.56563646,0.7828182,0.6309924,0.8154962,0.7370689,0.86853445,0.71627223,0.8581361,0.7245022,0.8622511,0.74496174,0.87248087,0.72434103,0.8621705,0.7153579,0.85767895
26747,0.7797849,0.88989246,0.7282587,0.86412936,0.6529052,0.8264526,0.6672666,0.8336333,0.78145194,0.890726,0.8403203,0.9201602,0.7658414,0.88292074,0.8169898,0.9084949,0.73399293,0.86699647,0.7964065,0.89820325
29788,0.57260287,0.78630143,0.5665475,0.78327376,0.45734233,0.7286712,0.513869,0.7569345,0.60544777,0.8027239,0.6619557,0.83097786,0.6689633,0.83448166,0.64804494,0.8240225,0.64743596,0.82371795,0.6690366,0.8345183
29835,0.6272684,0.81363416,0.63376796,0.816884,0.53594065,0.7679703,0.5692388,0.7846194,0.6363771,0.81818855,0.7343761,0.86718804,0.70365536,0.8518277,0.7155895,0.85779476,0.73866856,0.8693343,0.7463987,0.87319934
30606,0.547136,0.77356803,0.5189388,0.7594694,0.48439804,0.742199,0.5322523,0.76612616,0.5958507,0.79792535,0.7007554,0.8503777,0.6314148,0.8157074,0.65255725,0.8262786,0.6914869,0.8457434,0.7168614,0.85843074
30845,0.7317378,0.8658689,0.68151444,0.84075725,0.63176215,0.8158811,0.648309,0.8241545,0.7261149,0.8630575,0.8434675,0.92173374,0.71940005,0.8597,0.7994055,0.8997028,0.81771195,0.908856,0.8074813,0.90374064
32072,0.7680501,0.88402504,0.6707368,0.8353684,0.6684021,0.83420104,0.6539459,0.82697296,0.7312085,0.8656043,0.85125506,0.9256275,0.72462136,0.86231065,0.8053777,0.90268886,0.7429452,0.8714726,0.801508,0.900754
46443,0.7776691,0.88883454,0.7612426,0.8806213,0.7374412,0.8687206,0.7032321,0.851616,0.80758095,0.9037905,0.8463164,0.92315817,0.7536334,0.8768167,0.8669292,0.9334646,0.79323363,0.8966168,0.85020673,0.92510337
46506,0.5633864,0.7816932,0.58949804,0.794749,0.5164866,0.7582433,0.51696396,0.758482,0.60542625,0.80271316,0.7098549,0.8549274,0.6110269,0.80551344,0.6800668,0.8400334,0.72625124,0.8631256,0.723526,0.861763
50300,0.7473798,0.8736899,0.71844995,0.859225,0.7191038,0.8595519,0.66194856,0.8309743,0.78355074,0.89177537,0.8308047,0.91540235,0.74909854,0.87454927,0.8305112,0.9152556,0.80799913,0.90399957,0.83786523,0.9189326
51419,0.7178805,0.85894024,0.6722164,0.8361082,0.6158092,0.8079046,0.5996305,0.79981524,0.7256301,0.862815,0.8252958,0.9126479,0.7666321,0.88331604,0.78741044,0.89370525,0.74887246,0.87443626,0.8216219,0.91081095
53971,0.7009369,0.85046846,0.64286005,0.82143,0.5812743,0.79063714,0.5953995,0.79769975,0.7484673,0.87423366,0.82991636,0.9149582,0.7990151,0.8995075,0.7818004,0.8909002,0.78439474,0.8921974,0.8189901,0.90949506
53972,0.6264296,0.8132148,0.655473,0.8277365,0.5539508,0.7769754,0.5985235,0.79926175,0.6392671,0.81963354,0.70617867,0.85308933,0.7021355,0.8510678,0.7345326,0.8672663,0.73263913,0.86631954,0.72024834,0.8601242
53973,0.6555872,0.8277936,0.6118314,0.8059157,0.5746968,0.7873484,0.6079179,0.80395895,0.6545569,0.82727844,0.7467052,0.8733526,0.7130562,0.8565281,0.7336439,0.86682194,0.7707194,0.8853597,0.77904403,0.889522
