,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.6916666,0.8458333,0.64999723,0.8249986,0.5896151,0.79480755,0.6153826,0.80769134,0.7275032,0.8637516,0.81798005,0.90899,0.7318582,0.8659291,0.79389334,0.89694667,0.77420294,0.8871015,0.7897331,0.8948666
6021,0.705413,0.8527065,0.65126985,0.82563496,0.6071988,0.80359936,0.6479393,0.82396966,0.64981294,0.82490647,0.71652997,0.858265,0.6884177,0.84420884,0.7143113,0.8571557,0.72271264,0.8613563,0.72201943,0.8610097
6026,0.6580845,0.82904226,0.6573635,0.8286817,0.56710565,0.7835528,0.6280126,0.8140063,0.67358917,0.8367946,0.73859453,0.86929727,0.6969892,0.8484946,0.75988114,0.87994057,0.7486266,0.8743133,0.7655212,0.88276064
9479,0.71108794,0.855544,0.6615039,0.83075196,0.5796952,0.7898476,0.61009073,0.80504537,0.7305809,0.86529046,0.78875613,0.89437807,0.78363764,0.8918188,0.7696103,0.88480514,0.78218377,0.8910919,0.8073826,0.9036913
16980,0.7746835,0.88734174,0.7685119,0.88425595,0.697618,0.848809,0.7224581,0.86122906,0.7645648,0.8822824,0.7969529,0.8984765,0.7677277,0.8838638,0.78359324,0.8917966,0.8037913,0.90189564,0.8267256,0.9133628
17014,0.54252446,0.7712622,0.6291442,0.8145721,0.4928329,0.74641645,0.54526705,0.77263355,0.5954889,0.79774445,0.57042605,0.785213,0.6320511,0.81602556,0.6032206,0.8016103,0.6812454,0.84062266,0.6572236,0.8286118
18230,0.70102584,0.8505129,0.69522667,0.84761333,0.59784794,0.79892397,0.64502716,0.8225136,0.69577205,0.847886,0.6964899,0.8482449,0.6768234,0.8384117,0.73169327,0.86584663,0.69778574,0.84889287,0.7013098,0.8506549
18348,0.63852346,0.8192617,0.65070796,0.825354,0.55204123,0.77602065,0.5886332,0.7943166,0.66910845,0.8345542,0.77307713,0.88653857,0.7446755,0.87233776,0.75935006,0.87967503,0.76786673,0.88393337,0.795207,0.8976035
26715,0.68400514,0.8420026,0.6682899,0.83414495,0.5376763,0.76883817,0.6132588,0.8066294,0.70634454,0.8531723,0.68651426,0.8432571,0.7241348,0.8620674,0.722528,0.861264,0.70731866,0.85365933,0.6816443,0.84082216
26747,0.7985331,0.89926654,0.71933675,0.8596684,0.6634942,0.8317471,0.65276647,0.82638323,0.7955793,0.89778966,0.86532503,0.9326625,0.78528917,0.8926446,0.83175516,0.9158776,0.7451943,0.87259716,0.81987095,0.9099355
29788,0.55895144,0.7794757,0.55777836,0.7788892,0.4510899,0.7255449,0.4965607,0.74828035,0.6093117,0.80465585,0.66372204,0.831861,0.68325853,0.84162927,0.6440463,0.82202315,0.6549089,0.82745445,0.6859405,0.84297025
29835,0.65684307,0.82842153,0.64897,0.824485,0.5392844,0.76964223,0.5916351,0.79581755,0.65421104,0.8271055,0.7590648,0.8795324,0.737485,0.86874247,0.7332774,0.86663866,0.760331,0.88016546,0.7728089,0.88640445
30606,0.70579755,0.8528988,0.61729443,0.8086472,0.5988003,0.79940015,0.6222212,0.8111106,0.72921765,0.8646088,0.81305856,0.9065293,0.7005745,0.85028726,0.77307904,0.8865395,0.74247086,0.87123543,0.7769049,0.8884524
30845,0.7403566,0.87017834,0.7236018,0.8618009,0.6574538,0.8287269,0.687091,0.8435455,0.74212146,0.8710607,0.8257096,0.9128548,0.7315619,0.86578095,0.82472867,0.91236436,0.81651664,0.9082583,0.81107944,0.90553975
32072,0.7573345,0.87866724,0.7263502,0.8631751,0.6897836,0.8448918,0.6635714,0.8317857,0.72823346,0.8641167,0.80537856,0.9026893,0.71846116,0.8592306,0.81378156,0.90689075,0.75204414,0.8760221,0.78095555,0.8904778
46443,0.7939333,0.89696664,0.7797463,0.88987315,0.7407665,0.87038326,0.70074487,0.85037243,0.84340465,0.9217023,0.88204515,0.9410226,0.7979939,0.89899695,0.8688605,0.93443024,0.81746864,0.9087343,0.8744075,0.93720376
46506,0.5348035,0.76740175,0.57429266,0.78714633,0.50852257,0.75426126,0.5086646,0.7543323,0.5982915,0.79914576,0.6542337,0.82711685,0.5977262,0.7988631,0.6739608,0.8369804,0.70989305,0.8549465,0.69887495,0.8494375
50300,0.7161045,0.85805225,0.6992184,0.8496092,0.68441796,0.842209,0.62690336,0.81345165,0.7600183,0.8800092,0.82504594,0.912523,0.7352715,0.8676357,0.79957336,0.8997867,0.79029226,0.89514613,0.82849264,0.9142463
51419,0.74615216,0.8730761,0.6750417,0.83752084,0.61998534,0.8099927,0.61841995,0.80920994,0.75059813,0.8752991,0.84170085,0.9208504,0.77515477,0.8875774,0.79366684,0.8968334,0.76473844,0.8823692,0.8450835,0.92254174
53971,0.6715034,0.8357517,0.60033035,0.8001652,0.53359723,0.7667986,0.5463038,0.7731519,0.69642377,0.8482119,0.79264176,0.8963209,0.7510227,0.87551135,0.7329104,0.8664552,0.73559886,0.8677994,0.7805003,0.89025015
53972,0.63249904,0.8162495,0.6045739,0.802287,0.536339,0.7681695,0.580773,0.7903865,0.62329334,0.8116467,0.72058296,0.8602915,0.6806001,0.8403001,0.7165289,0.85826445,0.72489846,0.8624492,0.72721404,0.86360705
53973,0.7144071,0.85720354,0.67073244,0.83536625,0.61118084,0.8055904,0.6089277,0.80446386,0.7062088,0.8531044,0.8302485,0.91512424,0.7611766,0.8805883,0.7821859,0.89109296,0.80325985,0.9016299,0.84171104,0.9208555
