,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.714182,0.857091,0.67899865,0.83949935,0.64745754,0.8237288,0.63300884,0.8165044,0.7524084,0.8762042,0.8278892,0.9139446,0.7617625,0.88088125,0.8205738,0.9102869,0.8128145,0.90640724,0.8451365,0.92256826
6021,0.687317,0.8436585,0.6162693,0.8081347,0.59481406,0.79740703,0.5994399,0.7997199,0.62731355,0.8136568,0.74129725,0.8706486,0.67431813,0.83715904,0.6906088,0.84530437,0.711275,0.8556375,0.7264216,0.8632108
6026,0.5563737,0.77818686,0.5920648,0.7960324,0.47060242,0.7353012,0.55262095,0.77631044,0.5815369,0.79076844,0.66372585,0.8318629,0.6503489,0.82517445,0.6747024,0.8373512,0.6728822,0.8364411,0.6872593,0.84362966
9479,0.69747704,0.84873855,0.6576226,0.8288113,0.5706894,0.7853447,0.62101495,0.8105075,0.7059746,0.8529873,0.79177785,0.8958889,0.76354396,0.881772,0.76401615,0.8820081,0.76651525,0.8832576,0.82358515,0.9117926
16980,0.76255906,0.8812795,0.76664054,0.8833203,0.7026428,0.8513214,0.7253455,0.86267275,0.76098776,0.8804939,0.7865167,0.89325833,0.7574909,0.87874544,0.7806772,0.8903386,0.81761265,0.9088063,0.8102437,0.90512186
17014,0.53788054,0.76894027,0.64347607,0.821738,0.50466096,0.7523305,0.53789514,0.7689476,0.621029,0.8105145,0.5731863,0.78659314,0.6442721,0.82213604,0.6143969,0.80719846,0.70208573,0.85104287,0.6600246,0.8300123
18230,0.66198933,0.83099467,0.6567315,0.82836574,0.55841076,0.7792054,0.5981542,0.7990771,0.6794313,0.83971566,0.74378633,0.87189317,0.7271966,0.8635983,0.742147,0.8710735,0.7279642,0.8639821,0.73898786,0.86949396
18348,0.68611777,0.8430589,0.70089185,0.8504459,0.6204519,0.81022596,0.62822425,0.8141121,0.71515286,0.85757643,0.81837636,0.90918815,0.7589582,0.8794791,0.8162991,0.90814954,0.8113075,0.9056537,0.8520602,0.9260301
26715,0.7494812,0.8747406,0.7099167,0.85495836,0.6447306,0.8223653,0.64532405,0.822662,0.7861218,0.8930609,0.79825115,0.8991256,0.77769876,0.8888494,0.7968391,0.89841956,0.7773522,0.8886761,0.7891433,0.89457166
26747,0.80467284,0.9023364,0.7188451,0.85942256,0.6885476,0.8442738,0.67986023,0.8399301,0.7747874,0.8873937,0.8557359,0.92786795,0.74929106,0.87464553,0.84581864,0.9229093,0.7524247,0.87621236,0.821797,0.9108985
29788,0.58623636,0.7931182,0.5852022,0.7926011,0.48872727,0.74436367,0.52101696,0.7605085,0.62682354,0.8134118,0.7074887,0.8537444,0.70513105,0.8525655,0.6814762,0.84073806,0.68772835,0.8438642,0.71801025,0.8590051
29835,0.73279107,0.86639553,0.6906746,0.8453373,0.6258105,0.81290525,0.61427224,0.8071361,0.7272506,0.8636253,0.8338553,0.91692764,0.7749672,0.8874836,0.8059299,0.90296495,0.7838056,0.8919028,0.8262029,0.91310143
30606,0.6752213,0.83761066,0.58131015,0.7906551,0.5410249,0.77051246,0.5622101,0.78110504,0.68546045,0.8427302,0.8301456,0.9150728,0.7001235,0.8500618,0.72102875,0.8605144,0.728825,0.8644125,0.79210776,0.8960539
30845,0.6927846,0.8463923,0.6526419,0.82632095,0.59593105,0.7979655,0.63895965,0.8194798,0.70838153,0.85419077,0.8212878,0.91064394,0.7529853,0.8764926,0.775422,0.887711,0.7982584,0.8991292,0.8100241,0.905012
32072,0.79360104,0.8968005,0.75153154,0.8757658,0.73546755,0.8677338,0.7028347,0.85141736,0.74279654,0.87139827,0.8057191,0.90285957,0.73331785,0.8666589,0.8167821,0.90839106,0.7720145,0.88600725,0.8050525,0.90252626
46443,0.7012277,0.85061383,0.711042,0.85552096,0.6445105,0.82225525,0.63746095,0.8187305,0.74499106,0.87249553,0.8001618,0.9000809,0.73203623,0.8660181,0.81278086,0.9063904,0.77716196,0.888581,0.8266114,0.9133057
46506,0.5276461,0.76382303,0.5761681,0.78808403,0.504055,0.7520275,0.5061536,0.7530768,0.5768759,0.78843796,0.65282357,0.8264118,0.58920974,0.7946049,0.67034405,0.83517206,0.6971246,0.8485623,0.68160677,0.8408034
50300,0.6895346,0.84476733,0.68072116,0.8403606,0.660118,0.830059,0.61780995,0.808905,0.741122,0.870561,0.80606127,0.90303063,0.7160766,0.8580383,0.778852,0.889426,0.7660215,0.88301075,0.81635606,0.90817803
51419,0.68601394,0.84300697,0.6328485,0.81642425,0.58789694,0.7939485,0.57301325,0.78650665,0.718174,0.859087,0.8512123,0.92560613,0.74293613,0.87146807,0.77733064,0.8886653,0.7146455,0.85732275,0.80411077,0.9020554
53971,0.6764938,0.83824694,0.61504596,0.807523,0.5522301,0.77611506,0.56914675,0.7845734,0.7209867,0.86049336,0.79829806,0.89914906,0.77178496,0.8858925,0.75151634,0.8757582,0.750911,0.8754555,0.79298186,0.89649093
53972,0.643233,0.82161653,0.6400656,0.82003284,0.5643958,0.7821979,0.5948982,0.7974491,0.66779065,0.8338953,0.73416305,0.8670815,0.70028555,0.8501428,0.7270818,0.8635409,0.74856085,0.87428045,0.73758674,0.86879337
53973,0.6262805,0.8131403,0.5925293,0.79626465,0.561949,0.7809745,0.6220455,0.81102276,0.6436104,0.82180524,0.73440397,0.867202,0.6941136,0.8470568,0.73304087,0.8665204,0.7535876,0.8767938,0.7682557,0.88412786
53974,0.63724995,0.818625,0.58902097,0.7945105,0.5459187,0.77295935,0.5704808,0.7852404,0.66725385,0.8336269,0.76028323,0.8801416,0.7303642,0.8651821,0.707772,0.853886,0.7308487,0.8654244,0.7752353,0.88761765
53975,0.5979792,0.7989896,0.54386616,0.7719331,0.54323316,0.7716166,0.5291453,0.7645726,0.6156775,0.80783874,0.7381849,0.86909246,0.66828555,0.8341428,0.66138804,0.830694,0.6932327,0.8466164,0.7140183,0.8570092
