,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Score
6018,0.6457188,0.8228594,0.6507795,0.82538974,0.609471,0.80473554,0.65698063,0.8284903,0.67069596,0.835348,0.7606828,0.8803414,0.71241057,0.8562053,0.79895973,0.89947987,0.795122,0.897561,0.78652155,0.8932608
6021,0.67429906,0.8371495,0.6816044,0.8408022,0.58966327,0.79483163,0.64831924,0.8241596,0.6564462,0.8282231,0.7029016,0.8514508,0.70398116,0.8519906,0.7384707,0.86923534,0.7279786,0.8639893,0.77864444,0.8893222
6026,0.58669853,0.79334927,0.58245814,0.79122907,0.49788263,0.7489413,0.5677705,0.78388524,0.59355927,0.79677963,0.64510393,0.82255197,0.64726293,0.82363147,0.66018283,0.8300914,0.6360718,0.8180359,0.67175657,0.83587825
9479,0.6719034,0.8359517,0.6471292,0.8235646,0.561026,0.780513,0.59568214,0.7978411,0.6724244,0.83621216,0.7428059,0.871403,0.7312578,0.8656289,0.72438323,0.8621916,0.7490181,0.87450904,0.7631066,0.8815533
16980,0.74190676,0.8709534,0.7674813,0.88374066,0.7019638,0.8509819,0.7511196,0.8755598,0.7189585,0.85947925,0.72742355,0.8637118,0.7180334,0.85901666,0.761266,0.880633,0.79018253,0.8950913,0.77874744,0.8893737
17014,0.33288527,0.66644263,0.4429752,0.7214876,0.33562124,0.6678106,0.3693195,0.6846597,0.38862136,0.69431067,0.29466632,0.64733315,0.42316735,0.7115837,0.3788879,0.68944395,0.44119942,0.7205997,0.3849812,0.6924906
18230,0.5525046,0.77625227,0.59319115,0.7965956,0.49032354,0.7451618,0.57388353,0.78694177,0.55400354,0.77700174,0.5979173,0.79895866,0.6191272,0.80956364,0.62890726,0.8144536,0.6373942,0.8186971,0.6321964,0.8160982
18348,0.6353346,0.8176673,0.65017986,0.82508993,0.5587779,0.77938896,0.5979155,0.7989577,0.6689218,0.8344609,0.7660321,0.88301605,0.71719986,0.8585999,0.7612956,0.8806478,0.7504945,0.87524724,0.7952349,0.89761746
26715,0.70250756,0.85125375,0.74856645,0.8742832,0.6139438,0.8069719,0.67483014,0.8374151,0.7381407,0.86907035,0.695971,0.8479855,0.76138425,0.8806921,0.7625894,0.8812947,0.76922786,0.88461393,0.72866946,0.8643347
26747,0.76320475,0.8816024,0.7322047,0.86610234,0.6528923,0.8264462,0.71022785,0.8551139,0.7447672,0.8723836,0.76643646,0.8832182,0.7457477,0.87287384,0.7940134,0.8970067,0.73219484,0.86609745,0.7797183,0.88985914
29788,0.5296174,0.7648087,0.5522009,0.77610046,0.43759334,0.7187967,0.526673,0.76333654,0.56026363,0.7801318,0.60122937,0.8006147,0.63240516,0.8162026,0.61251104,0.8062555,0.62620187,0.81310093,0.6499964,0.8249982
29835,0.66213155,0.8310658,0.6605981,0.830299,0.56575745,0.78287876,0.59939325,0.7996966,0.6593517,0.82967585,0.7658762,0.8829381,0.75003755,0.8750188,0.75858206,0.87929106,0.77265096,0.8863255,0.7952808,0.8976404
30606,0.59368956,0.7968448,0.5412921,0.77064604,0.51908517,0.7595426,0.5499966,0.7749983,0.5865897,0.79329485,0.69930935,0.8496547,0.60298884,0.8014944,0.6484579,0.82422894,0.7076653,0.85383266,0.7175223,0.8587612
30845,0.7247995,0.86239976,0.70365703,0.8518285,0.6285132,0.8142566,0.66472673,0.83236337,0.7061224,0.8530612,0.8025258,0.9012629,0.7333779,0.86668897,0.7861265,0.89306325,0.8086543,0.90432715,0.8042877,0.90214384
32072,0.7313057,0.86565286,0.7075077,0.85375386,0.7013371,0.85066855,0.67106783,0.8355339,0.6946861,0.8473431,0.745404,0.872702,0.6877693,0.84388465,0.7680601,0.88403004,0.7329899,0.86649495,0.7341927,0.86709636
46443,0.73293626,0.86646813,0.758796,0.879398,0.7108946,0.8554473,0.70832336,0.8541617,0.75702244,0.8785112,0.8116209,0.9058105,0.76160973,0.8808049,0.84804845,0.9240242,0.8348967,0.91744834,0.8579676,0.9289838
46506,0.4567692,0.7283846,0.49531454,0.7476573,0.43856856,0.7192843,0.47489074,0.73744535,0.4617446,0.7308723,0.50476426,0.75238216,0.47519785,0.7375989,0.566079,0.7830395,0.608816,0.804408,0.5886959,0.79434794
50300,0.6887873,0.8443936,0.6941318,0.8470659,0.6761565,0.83807826,0.64284515,0.8214226,0.7190062,0.8595031,0.74677753,0.87338877,0.68119216,0.8405961,0.77492344,0.8874617,0.75244296,0.8762215,0.77632266,0.8881613
51419,0.54830825,0.7741541,0.6016818,0.8008409,0.55529267,0.7776463,0.59381235,0.7969062,0.5865359,0.79326797,0.61309123,0.8065456,0.62502795,0.81251395,0.6936555,0.84682775,0.71672726,0.8583636,0.6955576,0.8477788
