,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score
6018,0.6472894,0.8236447,0.66554785,0.8327739,0.5667653,0.78338265,0.6450553,0.82252765,0.6834581,0.84172904,0.74718356,0.8735918,0.72880197,0.864401,0.7787045,0.88935226,0.78287923,0.8914396,0.7772931,0.88864654
6021,0.68652105,0.8432605,0.6191069,0.80955344,0.5782772,0.78913856,0.61409605,0.807048,0.6355071,0.81775355,0.6915268,0.8457634,0.6322142,0.8161071,0.6745042,0.83725214,0.67443633,0.83721817,0.6716205,0.83581024
6026,0.6404766,0.8202383,0.6464287,0.82321435,0.5867052,0.7933526,0.6261277,0.81306386,0.6903112,0.8451556,0.7525537,0.87627685,0.7097068,0.8548534,0.7699816,0.8849908,0.77285326,0.8864266,0.79780877,0.8989044
9479,0.63142765,0.8157138,0.6015113,0.8007556,0.52807236,0.7640362,0.57056415,0.7852821,0.66907537,0.8345377,0.7545706,0.8772853,0.7459757,0.87298787,0.71906525,0.8595326,0.7294402,0.8647201,0.7658324,0.8829162
16980,0.72468275,0.8623414,0.7708556,0.88542783,0.6893642,0.8446821,0.71803975,0.8590199,0.72951275,0.86475635,0.7294779,0.86473894,0.7168534,0.8584267,0.7580776,0.8790388,0.7768495,0.88842475,0.74857163,0.8742858
17014,0.5338167,0.76690835,0.64441633,0.82220817,0.50063485,0.75031745,0.53476673,0.76738334,0.60526633,0.80263317,0.5722918,0.7861459,0.66194665,0.8309733,0.6112721,0.80563605,0.6900189,0.84500945,0.66936666,0.8346833
18230,0.6374102,0.8187051,0.62506574,0.8125329,0.5696149,0.78480744,0.61866647,0.8093332,0.6413337,0.82066685,0.6815767,0.84078836,0.6391089,0.81955445,0.7076311,0.85381556,0.688136,0.844068,0.6871021,0.84355104
18348,0.6189716,0.8094858,0.63329524,0.81664765,0.5313729,0.76568645,0.5727218,0.78636086,0.6512997,0.82564986,0.76295245,0.8814762,0.7271056,0.8635528,0.7478045,0.87390226,0.7602958,0.88014793,0.78879845,0.8943992
26715,0.69504285,0.8475214,0.6990695,0.84953475,0.564119,0.7820595,0.63477206,0.81738603,0.7319095,0.86595476,0.7157812,0.8578906,0.7682123,0.88410616,0.7370458,0.8685229,0.7568159,0.87840796,0.7261208,0.8630604
26747,0.7934617,0.89673084,0.71752167,0.85876083,0.6675711,0.83378553,0.6571014,0.8285507,0.8062711,0.90313554,0.8645798,0.9322899,0.7669775,0.8834888,0.8412583,0.92062914,0.74409854,0.8720493,0.81499076,0.9074954
29788,0.53515816,0.7675791,0.5638732,0.7819366,0.44731474,0.72365737,0.49491894,0.7474595,0.5871515,0.79357576,0.6323151,0.8161576,0.667814,0.833907,0.6403658,0.8201829,0.64526737,0.8226337,0.65401715,0.8270086
29835,0.61959994,0.80979997,0.60811627,0.80405813,0.5173024,0.7586512,0.55484223,0.7774211,0.62255496,0.8112775,0.7387541,0.869377,0.7052487,0.85262436,0.7056545,0.85282725,0.7314373,0.86571866,0.74385476,0.8719274
30606,0.51860833,0.75930417,0.49992216,0.7499611,0.45668364,0.7283418,0.5106857,0.75534284,0.575389,0.7876945,0.66404074,0.8320204,0.6057098,0.8028549,0.62854695,0.8142735,0.6512593,0.82562965,0.6694416,0.8347208
30845,0.6440604,0.8220302,0.6374609,0.8187305,0.55144894,0.7757245,0.60013556,0.8000678,0.6885834,0.8442917,0.80678976,0.9033949,0.7193165,0.85965824,0.77420425,0.8871021,0.7793108,0.8896554,0.7995889,0.89979446
