,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.65491945,0.8274597,0.63798344,0.8189917,0.5701312,0.7850656,0.6577346,0.8288673,0.6695467,0.83477336,0.7760701,0.88803506,0.71071327,0.85535663,0.7794272,0.8897136,0.7176204,0.8588102,0.78707325,0.8935366
6021,0.6973097,0.84865487,0.6202648,0.8101324,0.57633495,0.7881675,0.5961997,0.7980999,0.62074494,0.8103725,0.7267579,0.86337894,0.6580646,0.8290323,0.70026314,0.8501316,0.6908878,0.8454439,0.7035934,0.8517967
6026,0.6276497,0.8138249,0.6488267,0.82441336,0.51403,0.757015,0.5975622,0.7987811,0.6575866,0.8287933,0.70486695,0.85243344,0.6970888,0.84854436,0.72751945,0.86375976,0.6931666,0.8465833,0.729823,0.8649115
9479,0.6941788,0.8470894,0.65560675,0.8278034,0.5577625,0.77888125,0.6047594,0.8023797,0.70329356,0.8516468,0.8002492,0.9001246,0.75652814,0.87826407,0.7667334,0.8833667,0.76598024,0.8829901,0.8079642,0.9039821
16980,0.77922255,0.88961124,0.7709559,0.88547796,0.7460498,0.87302494,0.7424395,0.87121975,0.7608638,0.8804319,0.8020899,0.90104496,0.73892415,0.8694621,0.81259954,0.90629977,0.81885195,0.909426,0.81588876,0.9079444
17014,0.43394065,0.7169703,0.5246738,0.7623369,0.41301054,0.7065053,0.46255988,0.73127997,0.50237304,0.7511865,0.4534312,0.72671556,0.54060745,0.7703037,0.50773704,0.7538685,0.60754144,0.8037707,0.56941104,0.7847055
18230,0.65957344,0.8297867,0.67290914,0.8364546,0.54701424,0.7735071,0.6475761,0.82378805,0.6860908,0.8430454,0.7461146,0.8730573,0.7370641,0.86853206,0.74118173,0.87059087,0.7438326,0.8719163,0.76327825,0.8816391
18348,0.68099374,0.8404969,0.6935327,0.84676635,0.5818795,0.79093975,0.60975826,0.8048791,0.72865605,0.864328,0.81794417,0.9089721,0.7673793,0.88368964,0.80608463,0.9030423,0.8041146,0.9020573,0.84657073,0.92328537
26715,0.7101301,0.85506505,0.6964457,0.84822285,0.61464787,0.80732393,0.6322887,0.81614435,0.7340592,0.8670296,0.7361037,0.8680519,0.7596873,0.87984365,0.7562206,0.8781103,0.7722049,0.88610244,0.73866,0.86933
26747,0.7351755,0.86758775,0.71602005,0.85801005,0.62007856,0.8100393,0.67823434,0.83911717,0.73624814,0.86812407,0.77717245,0.8885862,0.72691506,0.86345756,0.8029841,0.90149206,0.72539204,0.86269605,0.7785156,0.8892578
29788,0.52969337,0.7648467,0.5396066,0.7698033,0.4533074,0.7266537,0.48876175,0.7443809,0.57393795,0.78696895,0.65473425,0.8273671,0.65498054,0.82749027,0.61491615,0.80745804,0.6323986,0.8161993,0.6735392,0.8367696
29835,0.73018956,0.8650948,0.7169361,0.85846806,0.61755216,0.8087761,0.63689554,0.81844777,0.74339557,0.8716978,0.8298609,0.91493046,0.7872316,0.89361584,0.8006358,0.9003179,0.8117738,0.9058869,0.8412185,0.92060924
30606,0.64590776,0.8229539,0.57558644,0.7877932,0.5643245,0.78216225,0.5988122,0.7994061,0.64276147,0.82138073,0.73696417,0.8684821,0.6412927,0.82064635,0.7008567,0.85042834,0.71721965,0.8586098,0.7428567,0.8714284
30845,0.67208767,0.83604383,0.63688195,0.818441,0.59295726,0.7964786,0.631778,0.815889,0.6804682,0.8402341,0.82524157,0.9126208,0.731817,0.8659085,0.7844367,0.89221835,0.7801869,0.89009345,0.8140951,0.9070475
32072,0.7580152,0.8790076,0.7108072,0.8554036,0.7052016,0.8526008,0.674458,0.837229,0.7337835,0.86689174,0.81757283,0.9087864,0.7240651,0.86203253,0.81686187,0.90843093,0.7693864,0.8846932,0.7830359,0.89151794
46443,0.74425876,0.8721294,0.7407389,0.87036943,0.6833655,0.8416828,0.67945576,0.8397279,0.7628215,0.8814107,0.8362202,0.91811013,0.75198686,0.87599343,0.83997273,0.91998637,0.7928144,0.8964072,0.85669947,0.92834973
46506,0.46762174,0.7338109,0.5295851,0.76479256,0.4423691,0.72118455,0.48540673,0.7427034,0.5108,0.7554,0.5906651,0.79533255,0.53763247,0.76881623,0.6127452,0.80637264,0.6536222,0.8268111,0.65277576,0.8263879
50300,0.69607306,0.8480365,0.69797754,0.8489888,0.68345636,0.8417282,0.65542877,0.8277144,0.74439466,0.87219733,0.80029094,0.9001455,0.72112644,0.8605632,0.80969167,0.90484583,0.7786746,0.8893373,0.82728887,0.91364443
51419,0.7358885,0.86794424,0.68330115,0.8416506,0.63442564,0.8172128,0.5923141,0.79615706,0.76199156,0.88099575,0.864318,0.932159,0.77558684,0.8877934,0.8228157,0.9114078,0.7588726,0.8794363,0.8314152,0.9157076
53971,0.5683225,0.7841612,0.54714113,0.77357054,0.47888428,0.7394421,0.48521727,0.74260867,0.5586542,0.7793271,0.5827069,0.79135346,0.59103334,0.79551667,0.59748805,0.798744,0.6363466,0.8181733,0.60045063,0.8002253
53972,0.61991054,0.80995524,0.64162695,0.8208135,0.5358032,0.7679016,0.5720948,0.7860474,0.6303586,0.8151793,0.67207915,0.83603954,0.6739886,0.8369943,0.68580925,0.8429046,0.70033014,0.85016507,0.67104286,0.83552146
53973,0.6761607,0.83808035,0.6396407,0.81982034,0.58099055,0.7904953,0.5835966,0.7917983,0.6999232,0.84996164,0.8248695,0.91243476,0.74783134,0.8739157,0.79990363,0.8999518,0.7722711,0.8861356,0.8212632,0.9106316
53974,0.5952149,0.7976074,0.5344966,0.7672483,0.4950918,0.7475459,0.5322546,0.7661273,0.61801505,0.8090075,0.7047174,0.8523587,0.6586345,0.8293172,0.6562674,0.8281337,0.67650676,0.8382534,0.70282143,0.85141075
53975,0.6186741,0.809337,0.5687141,0.7843571,0.5691347,0.78456736,0.53795743,0.7689787,0.6290534,0.8145267,0.7790586,0.8895293,0.6623177,0.8311589,0.664578,0.832289,0.7149625,0.85748124,0.73246545,0.86623275
53976,0.5011656,0.7505828,0.44065237,0.7203262,0.42998067,0.7149903,0.45010322,0.72505164,0.4923077,0.74615383,0.63299954,0.81649977,0.6012984,0.80064917,0.56038755,0.7801938,0.62091666,0.8104583,0.6375078,0.8187539
53977,0.70883155,0.8544158,0.63989305,0.8199465,0.58325505,0.7916275,0.6174098,0.8087049,0.7034501,0.85172504,0.7812036,0.8906018,0.73158866,0.8657943,0.7498801,0.87494004,0.75088894,0.8754445,0.7611981,0.880599
53978,0.6826542,0.8413271,0.6530835,0.8265418,0.5956481,0.797824,0.5812541,0.79062706,0.7145902,0.8572951,0.8006467,0.9003234,0.71089387,0.85544693,0.73991144,0.8699557,0.7489184,0.8744592,0.8002385,0.90011925
53979,0.7500894,0.8750447,0.6825955,0.84129775,0.62847996,0.81424,0.6197828,0.8098914,0.7515954,0.8757977,0.87594926,0.93797463,0.7632954,0.8816477,0.80208063,0.9010403,0.7574334,0.8787167,0.8169371,0.90846854
53981,0.6232979,0.81164896,0.6116967,0.80584836,0.5482327,0.77411634,0.59461474,0.7973074,0.661174,0.830587,0.75372666,0.87686336,0.73638976,0.8681949,0.7392057,0.86960286,0.75548863,0.8777443,0.7769604,0.8884802
54796,0.65481615,0.8274081,0.66451573,0.83225787,0.54565835,0.7728292,0.6159203,0.80796015,0.6262008,0.8131004,0.6713358,0.8356679,0.6978092,0.8489046,0.71944225,0.8597211,0.70599043,0.8529952,0.70120764,0.8506038
54797,0.6827694,0.8413847,0.6470369,0.82351846,0.600523,0.8002615,0.60655534,0.8032777,0.7057201,0.8528601,0.8505305,0.92526525,0.7427721,0.87138605,0.7980504,0.8990252,0.76494706,0.8824735,0.81155723,0.90577865
54798,0.6246402,0.8123201,0.6263358,0.8131679,0.5456996,0.7728498,0.5968541,0.79842705,0.6122123,0.80610615,0.68553656,0.8427683,0.6418159,0.82090795,0.6792147,0.83960736,0.72794956,0.8639748,0.69164747,0.84582376
