,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.62552524,0.8127626,0.6250968,0.8125484,0.5722861,0.78614306,0.63460386,0.8173019,0.63416386,0.8170819,0.70819235,0.8540962,0.6762843,0.83814216,0.72259367,0.86129683,0.7040976,0.8520488,0.7434559,0.87172794
6021,0.71683407,0.85841703,0.6495267,0.82476336,0.61941206,0.80970603,0.63807034,0.8190352,0.65891325,0.8294566,0.7651519,0.882576,0.67492855,0.8374643,0.7268406,0.8634203,0.7296629,0.86483145,0.73567367,0.86783683
6026,0.67200387,0.83600193,0.6828141,0.84140706,0.6109639,0.8054819,0.6222583,0.81112915,0.70178634,0.85089314,0.80560374,0.9028019,0.74641204,0.873206,0.7943344,0.8971672,0.76570135,0.88285065,0.8136618,0.9068309
9479,0.67796415,0.8389821,0.6295772,0.8147886,0.56076324,0.7803816,0.5810918,0.79054594,0.6808871,0.84044355,0.7723526,0.8861763,0.7242636,0.86213183,0.7450249,0.87251246,0.7315266,0.8657633,0.7779895,0.88899475
16980,0.752239,0.8761195,0.766671,0.8833355,0.7173687,0.85868436,0.73119634,0.8655982,0.7567752,0.8783876,0.7775594,0.8887797,0.74777603,0.873888,0.79040396,0.895202,0.81681395,0.908407,0.8109183,0.90545917
17014,0.4858268,0.74291337,0.56746376,0.7837319,0.43834412,0.71917206,0.47336555,0.7366828,0.5681951,0.78409755,0.5411625,0.77058125,0.6346348,0.81731737,0.57472104,0.78736055,0.67932504,0.83966255,0.6594863,0.82974315
18230,0.66323435,0.8316172,0.67760843,0.83880424,0.55814135,0.7790707,0.632702,0.816351,0.6740308,0.8370154,0.7206617,0.8603308,0.71191156,0.8559558,0.7359365,0.86796826,0.7195609,0.85978043,0.7239061,0.861953
18348,0.66824037,0.83412015,0.6703181,0.83515906,0.5657058,0.7828529,0.5853839,0.79269195,0.6984813,0.84924066,0.82621825,0.9131091,0.76215255,0.8810763,0.78346103,0.89173055,0.78723276,0.8936164,0.8416371,0.92081857
26715,0.7123563,0.85617816,0.7029203,0.85146016,0.6035483,0.80177414,0.61745465,0.8087273,0.76653355,0.8832668,0.7655864,0.8827932,0.77708465,0.8885423,0.7808602,0.8904301,0.77928406,0.889642,0.76825404,0.884127
26747,0.76617736,0.8830887,0.7254357,0.86271787,0.6373652,0.8186826,0.6749521,0.837476,0.75946164,0.8797308,0.8174161,0.90870804,0.74279255,0.8713963,0.82127064,0.91063535,0.7472346,0.8736173,0.8043573,0.90217865
29788,0.5168085,0.75840425,0.5063301,0.753165,0.42020833,0.71010417,0.46991134,0.73495567,0.546484,0.773242,0.63739884,0.8186994,0.6411024,0.82055116,0.59144604,0.795723,0.6131227,0.80656135,0.6498642,0.8249321
29835,0.6466584,0.8233292,0.6725756,0.8362878,0.55605125,0.7780256,0.5994456,0.7997228,0.64419454,0.8220973,0.77050805,0.885254,0.7367461,0.86837304,0.7794833,0.88974166,0.783137,0.89156854,0.7904936,0.8952468
30606,0.5685197,0.78425986,0.52332354,0.76166177,0.5331315,0.76656574,0.547542,0.773771,0.57540137,0.78770065,0.6920613,0.84603065,0.5944327,0.79721636,0.6579146,0.8289573,0.70563495,0.8528175,0.7073516,0.85367584
30845,0.68661857,0.8433093,0.63257164,0.81628585,0.589387,0.79469347,0.63170433,0.81585217,0.684249,0.84212446,0.833946,0.916973,0.73200095,0.8660005,0.7779727,0.88898635,0.7818284,0.8909142,0.80757695,0.90378845
32072,0.7655042,0.88275206,0.7124586,0.8562293,0.69850475,0.84925234,0.68350464,0.8417523,0.74490356,0.8724518,0.82024765,0.9101238,0.74087167,0.87043583,0.8189038,0.9094519,0.76443243,0.8822162,0.79604113,0.89802057
46443,0.68569124,0.8428456,0.72292656,0.8614633,0.64184976,0.8209249,0.6635499,0.83177495,0.7285012,0.8642506,0.78701186,0.89350593,0.73676157,0.8683808,0.81314874,0.90657437,0.7905464,0.8952732,0.8285698,0.91428494
46506,0.46293926,0.73146963,0.50293183,0.7514659,0.42946136,0.7147307,0.45400465,0.7270023,0.5165966,0.7582983,0.5775511,0.78877556,0.51649284,0.7582464,0.59963834,0.7998192,0.62866694,0.81433344,0.6206571,0.81032854
50300,0.69001967,0.8450098,0.69133425,0.8456671,0.66220796,0.831104,0.6051631,0.80258155,0.73943484,0.8697174,0.7974665,0.89873326,0.74092746,0.8704637,0.77123845,0.8856192,0.75518644,0.8775932,0.821498,0.91074896
