,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.6786247,0.8393123,0.6852255,0.84261274,0.58654284,0.7932714,0.6723782,0.8361891,0.702119,0.8510595,0.76157326,0.88078666,0.7406975,0.87034875,0.79927576,0.8996379,0.7933074,0.8966537,0.805465,0.9027325
6021,0.6895701,0.8447851,0.62037003,0.810185,0.57208204,0.786041,0.61657214,0.8082861,0.637933,0.8189665,0.706133,0.8530665,0.6445463,0.82227314,0.6826217,0.84131086,0.68045366,0.8402268,0.67876863,0.8393843
6026,0.6967597,0.84837985,0.7041658,0.8520829,0.63326854,0.8166343,0.65557384,0.8277869,0.7293758,0.8646879,0.77395725,0.8869786,0.72750574,0.86375284,0.78617233,0.8930862,0.784477,0.8922385,0.8095089,0.90475446
9479,0.6714226,0.8357113,0.63245094,0.81622547,0.552148,0.776074,0.5786536,0.7893268,0.7067598,0.8533799,0.7848922,0.8924461,0.7514857,0.87574285,0.7318411,0.86592054,0.74162066,0.87081033,0.7838158,0.89190793
16980,0.72202647,0.86101323,0.7664472,0.8832236,0.6789516,0.8394758,0.72316134,0.86158067,0.7317327,0.86586636,0.73297495,0.8664875,0.71943355,0.8597168,0.7651468,0.88257337,0.77217466,0.8860873,0.7455666,0.8727833
17014,0.5297346,0.7648673,0.607154,0.803577,0.472871,0.73643553,0.5164208,0.7582104,0.579417,0.7897085,0.5553691,0.77768457,0.6256773,0.8128387,0.5786124,0.78930616,0.65738857,0.8286943,0.64063656,0.8203183
18230,0.65908575,0.8295429,0.63105774,0.81552887,0.5859002,0.7929501,0.62575686,0.81287843,0.6633043,0.83165216,0.7078298,0.85391486,0.6549399,0.82746994,0.7223486,0.8611743,0.69327843,0.8466392,0.7074034,0.8537017
18348,0.6269404,0.81347024,0.6315292,0.8157646,0.53433955,0.7671698,0.5713589,0.78567946,0.6636907,0.83184534,0.77216303,0.8860815,0.7375427,0.8687713,0.7474743,0.87373716,0.7514266,0.8757133,0.79267776,0.8963389
26715,0.7051189,0.85255945,0.6821,0.84105,0.5572344,0.7786172,0.6283891,0.81419456,0.7227949,0.86139745,0.70240235,0.8512012,0.71616745,0.8580837,0.7253976,0.8626988,0.7405747,0.87028736,0.72015154,0.8600758
26747,0.78743875,0.8937194,0.72464323,0.8623216,0.65486944,0.8274347,0.6604575,0.83022875,0.78534156,0.89267075,0.846068,0.923034,0.75984263,0.8799213,0.82643485,0.9132174,0.73176897,0.8658845,0.7990062,0.8995031
29788,0.54830396,0.774152,0.5516422,0.7758211,0.4374283,0.7187141,0.5087818,0.7543909,0.5890111,0.79450554,0.6359241,0.81796205,0.6596787,0.82983935,0.6345091,0.81725454,0.6428453,0.82142264,0.65701604,0.828508
29835,0.6324574,0.8162287,0.6457224,0.8228612,0.53492165,0.7674608,0.57698727,0.78849363,0.6390831,0.8195416,0.7429915,0.8714957,0.7192433,0.85962164,0.7220437,0.8610219,0.7649804,0.88249016,0.7626297,0.8813149
30606,0.546858,0.77342904,0.51953816,0.7597691,0.4799137,0.73995686,0.5304487,0.76522434,0.59750015,0.79875004,0.6929484,0.8464742,0.63518596,0.817593,0.64851505,0.8242575,0.68414545,0.8420727,0.70966506,0.85483253
30845,0.73266447,0.86633223,0.6823325,0.84116626,0.63140786,0.8157039,0.648613,0.8243065,0.72603905,0.8630195,0.8439194,0.9219597,0.7206084,0.86030424,0.8004288,0.90021443,0.8177738,0.9088869,0.80849946,0.9042497
32072,0.7646733,0.8823366,0.685207,0.8426035,0.6958091,0.84790456,0.65775985,0.82887995,0.7242696,0.8621348,0.8241457,0.91207284,0.71653485,0.8582674,0.8038828,0.9019414,0.7376212,0.8688106,0.7842907,0.89214534
46443,0.7669951,0.88349754,0.7512883,0.87564415,0.73112476,0.8655624,0.69618404,0.848092,0.80042136,0.9002107,0.83231556,0.9161578,0.7436835,0.8718418,0.86010164,0.93005085,0.7836969,0.89184844,0.83728456,0.9186423
46506,0.6107961,0.80539805,0.63350797,0.816754,0.5461933,0.7730967,0.55140126,0.7757006,0.66932666,0.83466333,0.75690305,0.8784515,0.6719185,0.83595926,0.718269,0.8591345,0.74465954,0.8723298,0.7718065,0.88590324
