,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.69563895,0.84781945,0.6424805,0.82124025,0.58973867,0.7948693,0.6160317,0.8080158,0.7271286,0.8635643,0.82211334,0.91105664,0.73017216,0.8650861,0.79766595,0.898833,0.7845266,0.8922633,0.79900604,0.899503
6021,0.6999284,0.8499642,0.64907014,0.8245351,0.6032032,0.8016016,0.64517295,0.8225865,0.64671874,0.8233594,0.71168745,0.8558437,0.68859303,0.8442965,0.711383,0.8556915,0.72143745,0.8607187,0.72099406,0.860497
6026,0.56460667,0.78230333,0.58934295,0.7946715,0.47195214,0.7359761,0.5686984,0.7843492,0.5877055,0.79385275,0.65325654,0.82662827,0.6279911,0.81399554,0.67635906,0.8381795,0.66736686,0.83368343,0.68309474,0.84154737
9479,0.7020432,0.8510216,0.6499456,0.8249728,0.5750387,0.78751934,0.6027206,0.8013603,0.7205056,0.8602528,0.78569686,0.89284843,0.7747176,0.8873588,0.757492,0.87874603,0.7774105,0.88870525,0.80344,0.90172
16980,0.7721862,0.88609314,0.7599332,0.8799666,0.6930864,0.8465432,0.7155484,0.8577742,0.7628442,0.8814221,0.799029,0.8995145,0.7653657,0.88268286,0.7779298,0.8889649,0.80114454,0.9005723,0.8220192,0.9110096
17014,0.5411838,0.7705919,0.6302713,0.81513566,0.49167505,0.7458375,0.5443821,0.77219105,0.59885246,0.7994262,0.5700586,0.7850293,0.64048296,0.82024145,0.60250205,0.80125105,0.6854169,0.84270847,0.65600157,0.8280008
18230,0.70111006,0.85055506,0.69630647,0.84815323,0.59753084,0.7987654,0.6456221,0.822811,0.69544053,0.84772027,0.6964047,0.84820235,0.678093,0.8390465,0.73336375,0.8666819,0.69800997,0.849005,0.7015904,0.8507952
18348,0.63852346,0.8192617,0.65070796,0.825354,0.55204123,0.77602065,0.5886332,0.7943166,0.66910845,0.8345542,0.77307713,0.88653857,0.7446755,0.87233776,0.75935006,0.87967503,0.76786673,0.88393337,0.795207,0.8976035
26715,0.71164167,0.85582083,0.6784666,0.8392333,0.5499146,0.7749573,0.6174462,0.8087231,0.7260871,0.86304355,0.7213223,0.86066115,0.7521649,0.8760824,0.7425677,0.8712839,0.72948015,0.8647401,0.71561015,0.8578051
26747,0.8064928,0.9032464,0.7337544,0.8668772,0.6744317,0.83721584,0.6639601,0.83198005,0.81063384,0.90531695,0.86852336,0.9342617,0.7829234,0.89146173,0.843804,0.921902,0.74294126,0.87147063,0.81873524,0.9093676
29788,0.5480965,0.7740482,0.52485365,0.76242685,0.4400429,0.7200215,0.4736039,0.736802,0.58402646,0.7920132,0.6599381,0.82996905,0.65662247,0.8283112,0.6071174,0.8035587,0.6352854,0.8176427,0.66939664,0.8346983
29835,0.6712607,0.83563036,0.6547266,0.8273633,0.5616232,0.7808116,0.6040661,0.80203307,0.664256,0.832128,0.7676736,0.8838368,0.7373637,0.86868185,0.7336063,0.86680317,0.76405686,0.88202846,0.77592224,0.88796115
30606,0.67798764,0.8389938,0.61457694,0.80728847,0.5807481,0.79037404,0.6141864,0.8070932,0.7129729,0.85648644,0.78838366,0.89419186,0.69352293,0.84676147,0.75689805,0.878449,0.7422747,0.8711374,0.76567703,0.8828385
30845,0.74612546,0.87306273,0.73082376,0.8654119,0.6630688,0.8315344,0.6877701,0.84388506,0.7510999,0.8755499,0.8283196,0.9141598,0.74248505,0.8712425,0.827078,0.913539,0.8257719,0.91288596,0.8203136,0.9101568
32072,0.7573345,0.87866724,0.7263502,0.8631751,0.6897836,0.8448918,0.6635714,0.8317857,0.72823346,0.8641167,0.80537856,0.9026893,0.71846116,0.8592306,0.81378156,0.90689075,0.75204414,0.8760221,0.78095555,0.8904778
46443,0.8044285,0.9022143,0.7991235,0.89956176,0.7603885,0.88019425,0.718906,0.85945296,0.84684837,0.9234242,0.8676776,0.93383884,0.79303896,0.8965195,0.8851898,0.9425949,0.8190129,0.90950644,0.871662,0.935831
46506,0.5228373,0.76141864,0.56238997,0.781195,0.49001008,0.745005,0.5005932,0.7502966,0.5828208,0.7914104,0.646541,0.8232705,0.5820674,0.7910337,0.6653036,0.8326518,0.7021389,0.85106945,0.6783055,0.83915275
