,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.6685511,0.83427554,0.6620136,0.83100677,0.60435236,0.8021762,0.6455864,0.8227932,0.6879823,0.84399116,0.7578125,0.87890625,0.7130013,0.8565006,0.77850497,0.8892525,0.7460077,0.87300384,0.7744162,0.8872081
6021,0.69244486,0.8462224,0.64100695,0.8205035,0.6216358,0.8108179,0.6362883,0.81814414,0.64413273,0.82206637,0.71490335,0.8574517,0.6674548,0.83372736,0.6948073,0.84740365,0.7239433,0.8619716,0.721518,0.860759
6026,0.6283016,0.8141508,0.62567186,0.81283593,0.53166443,0.7658322,0.59575814,0.7978791,0.6558283,0.8279141,0.74367774,0.87183887,0.70971775,0.8548589,0.7309197,0.86545986,0.698046,0.849023,0.7602673,0.8801336
9479,0.6729536,0.8364768,0.64796364,0.8239818,0.5599968,0.7799984,0.6043171,0.8021586,0.65988505,0.8299425,0.7567748,0.8783874,0.70585215,0.8529261,0.75869125,0.87934566,0.7271595,0.86357975,0.77544945,0.88772476
16980,0.71725583,0.8586279,0.75027204,0.875136,0.6931704,0.8465852,0.72246146,0.86123073,0.7404073,0.8702036,0.7314844,0.8657422,0.73465186,0.8673259,0.7627089,0.88135445,0.7762444,0.8881222,0.7596595,0.87982976
17014,0.4737668,0.7368834,0.6017631,0.80088156,0.5012045,0.75060225,0.52968657,0.7648433,0.551036,0.775518,0.45490566,0.7274528,0.5416098,0.7708049,0.5573329,0.77866644,0.63137984,0.8156899,0.5954133,0.79770666
18230,0.7058284,0.8529142,0.69640285,0.8482014,0.5905421,0.79527104,0.632002,0.816001,0.7126522,0.8563261,0.7752725,0.88763624,0.740986,0.870493,0.7781876,0.88909376,0.7340039,0.86700195,0.7715905,0.88579524
18348,0.68049455,0.8402473,0.69637346,0.84818673,0.61865246,0.80932623,0.62719196,0.813596,0.70825213,0.8541261,0.81856024,0.9092801,0.7564938,0.8782469,0.8146026,0.9073013,0.8060041,0.903002,0.85201275,0.9260064
26715,0.6987256,0.8493628,0.6826478,0.8413239,0.5966796,0.79833984,0.63256764,0.8162838,0.73437536,0.8671877,0.7416142,0.8708071,0.7375829,0.86879146,0.7489493,0.87447464,0.74759036,0.87379515,0.7454288,0.8727144
26747,0.77818215,0.8890911,0.69477195,0.847386,0.634334,0.81716704,0.6520009,0.82600045,0.75793695,0.8789685,0.84129703,0.9206485,0.75688326,0.87844163,0.81396884,0.90698445,0.7454804,0.8727402,0.8270924,0.9135462
29788,0.54307574,0.7715379,0.55167866,0.7758393,0.46050546,0.73025274,0.5100816,0.75504076,0.58059615,0.7902981,0.6390704,0.8195352,0.6584318,0.8292159,0.61831725,0.8091586,0.65041965,0.82520986,0.6757711,0.83788556
29835,0.651053,0.8255265,0.6416196,0.82080984,0.52801377,0.76400685,0.5769902,0.78849506,0.65464205,0.82732105,0.7546997,0.87734985,0.7535028,0.8767514,0.724468,0.862234,0.7379187,0.8689593,0.7755726,0.88778627
30606,0.64220786,0.82110393,0.552136,0.776068,0.524867,0.7624335,0.5554708,0.7777354,0.6583363,0.82916814,0.7939364,0.8969682,0.67969346,0.83984673,0.7068894,0.8534447,0.70118314,0.85059154,0.7598387,0.87991935
30845,0.69376254,0.8468813,0.6908671,0.8454336,0.60074794,0.800374,0.6334139,0.81670696,0.7300092,0.8650046,0.8271755,0.91358775,0.7539433,0.87697166,0.81571174,0.90785587,0.8038099,0.90190494,0.82113457,0.9105673
32072,0.77870655,0.8893533,0.7239063,0.86195314,0.72418326,0.86209166,0.6935294,0.8467647,0.7522626,0.8761313,0.82632035,0.9131602,0.7229995,0.8614998,0.8122133,0.90610665,0.75567883,0.87783945,0.79376566,0.89688283
46443,0.7426714,0.8713357,0.73079824,0.8653991,0.7048055,0.85240275,0.6592307,0.82961535,0.7746664,0.8873332,0.8499049,0.92495245,0.7590753,0.87953764,0.8374485,0.91872424,0.7699583,0.8849791,0.849108,0.924554
46506,0.55596495,0.7779825,0.5992727,0.79963636,0.52201194,0.761006,0.5122726,0.7561363,0.60736215,0.8036811,0.6818447,0.84092236,0.6207144,0.8103572,0.69071627,0.84535813,0.725163,0.8625815,0.7265927,0.8632964
50300,0.6997782,0.8498891,0.6977209,0.84886044,0.68080634,0.8404032,0.64780676,0.8239034,0.73926604,0.869633,0.7985735,0.89928675,0.70693505,0.8534675,0.79621077,0.8981054,0.78258795,0.891294,0.82116187,0.91058093
51419,0.6868466,0.8434233,0.66581726,0.83290863,0.5884348,0.7942174,0.59564984,0.7978249,0.7075074,0.8537537,0.77584356,0.8879218,0.7164055,0.85820276,0.76308817,0.8815441,0.71423596,0.857118,0.7535429,0.87677145
