,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.7158471,0.8579235,0.6743591,0.83717954,0.64816797,0.824084,0.62498075,0.81249034,0.7522333,0.87611663,0.8346795,0.91733974,0.76481056,0.8824053,0.8212605,0.9106302,0.80947113,0.90473557,0.84807026,0.92403513
6021,0.6894214,0.8447107,0.6094167,0.80470836,0.5943744,0.7971872,0.5993188,0.7996594,0.6269066,0.8134533,0.7414556,0.8707278,0.66997725,0.8349886,0.6882931,0.84414655,0.70356184,0.8517809,0.72008365,0.86004186
6026,0.5563737,0.77818686,0.5920648,0.7960324,0.47060242,0.7353012,0.55262095,0.77631044,0.5815369,0.79076844,0.66372585,0.8318629,0.6503489,0.82517445,0.6747024,0.8373512,0.6728822,0.8364411,0.6872593,0.84362966
9479,0.68474054,0.8423703,0.6463469,0.82317346,0.55917144,0.7795857,0.61645734,0.8082287,0.693207,0.8466035,0.7760354,0.8880177,0.7501369,0.8750684,0.7486261,0.87431306,0.7513715,0.87568575,0.81121266,0.9056063
16980,0.76255906,0.8812795,0.76664054,0.8833203,0.7026428,0.8513214,0.7253455,0.86267275,0.76098776,0.8804939,0.7865167,0.89325833,0.7574909,0.87874544,0.7806772,0.8903386,0.81761265,0.9088063,0.8102437,0.90512186
17014,0.4931946,0.7465973,0.59954333,0.79977167,0.46648806,0.73324406,0.4966968,0.7483484,0.5823184,0.7911592,0.5204295,0.76021475,0.6036612,0.8018306,0.5732293,0.78661466,0.657127,0.8285635,0.6115875,0.80579376
18230,0.6619894,0.8309947,0.6567316,0.8283658,0.55841076,0.7792054,0.5981542,0.7990771,0.6794313,0.83971566,0.74378633,0.87189317,0.72719663,0.86359835,0.7421471,0.87107354,0.7279643,0.86398214,0.7389879,0.86949396
18348,0.6859251,0.84296256,0.6999015,0.8499508,0.6199922,0.8099961,0.6282652,0.8141326,0.71467215,0.85733604,0.8174555,0.90872777,0.758199,0.8790995,0.81544304,0.9077215,0.8107394,0.9053697,0.8507502,0.9253751
26715,0.7494812,0.8747406,0.7099167,0.85495836,0.6447306,0.8223653,0.64532405,0.822662,0.7861218,0.8930609,0.79825115,0.8991256,0.77769876,0.8888494,0.7968391,0.89841956,0.7773522,0.8886761,0.7891433,0.89457166
26747,0.82195044,0.9109752,0.7275369,0.86376846,0.701118,0.850559,0.6857369,0.84286845,0.78771913,0.89385957,0.8683244,0.9341622,0.7537278,0.8768639,0.84836483,0.9241824,0.758087,0.87904346,0.8284637,0.91423184
29788,0.59435487,0.79717743,0.60159534,0.8007977,0.49911216,0.74955606,0.5325824,0.7662912,0.63528174,0.8176409,0.71415496,0.8570775,0.7138876,0.8569438,0.68785596,0.843928,0.6968633,0.84843165,0.72254217,0.8612711
29835,0.7204586,0.8602293,0.68747246,0.84373623,0.6113249,0.80566245,0.62107027,0.81053513,0.7127365,0.85636824,0.815795,0.9078975,0.77136284,0.8856814,0.7983316,0.8991658,0.7854394,0.8927197,0.8216795,0.91083974
30606,0.6629987,0.83149934,0.5821576,0.7910788,0.5433701,0.77168506,0.55800146,0.77900076,0.6793717,0.83968586,0.8216803,0.91084015,0.70274353,0.85137177,0.7174071,0.85870355,0.72616214,0.8630811,0.7915691,0.89578456
30845,0.69621706,0.84810853,0.6446808,0.82234037,0.5914557,0.79572785,0.6528874,0.8264437,0.69288266,0.8464413,0.80777025,0.9038851,0.732583,0.8662915,0.77111644,0.88555825,0.784558,0.892279,0.7937106,0.8968553
32072,0.79360104,0.8968005,0.75153154,0.8757658,0.73546755,0.8677338,0.7028347,0.85141736,0.74279654,0.87139827,0.8057191,0.90285957,0.73331785,0.8666589,0.8167821,0.90839106,0.7720145,0.88600725,0.8050525,0.90252626
46443,0.69928956,0.8496448,0.70615256,0.8530763,0.6370268,0.8185134,0.63259506,0.81629753,0.7453661,0.87268305,0.8037207,0.90186036,0.7339419,0.86697096,0.8082832,0.9041416,0.77564526,0.8878226,0.82828605,0.914143
46506,0.48527917,0.7426396,0.54022896,0.7701145,0.4772619,0.73863095,0.4909613,0.74548066,0.5225508,0.7612754,0.59798825,0.7989941,0.53181875,0.7659094,0.6261623,0.81308115,0.6604086,0.8302043,0.63154376,0.8157719
50300,0.6985892,0.8492946,0.6816879,0.8408439,0.67952454,0.8397623,0.6282491,0.8141246,0.7373023,0.86865115,0.8025553,0.90127766,0.7025947,0.8512974,0.7931069,0.89655346,0.7666589,0.88332945,0.8036337,0.90181684
51419,0.69954467,0.84977233,0.6459209,0.82296044,0.6020057,0.80100286,0.58697563,0.7934878,0.7218619,0.8609309,0.8451296,0.9225648,0.7373978,0.8686989,0.7834575,0.89172876,0.7192551,0.85962754,0.80516535,0.90258265
