,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Score
6018,0.6986232,0.8493116,0.69388103,0.8469405,0.6122149,0.80610746,0.6842111,0.8421055,0.69992954,0.84996474,0.7858869,0.89294344,0.7541592,0.8770796,0.808723,0.9043615,0.789273,0.8946365,0.8207756,0.9103878
6021,0.755638,0.877819,0.7552744,0.8776372,0.66136813,0.83068407,0.6832123,0.84160614,0.7574843,0.87874216,0.8117081,0.90585405,0.7804091,0.89020455,0.80545205,0.90272605,0.7618339,0.88091695,0.81762934,0.90881467
6026,0.74916494,0.87458247,0.76583153,0.88291574,0.7151521,0.857576,0.7226033,0.86130166,0.77658767,0.88829386,0.8134757,0.90673786,0.78613615,0.8930681,0.8400976,0.92004883,0.7879399,0.89396995,0.846337,0.92316854
9479,0.6920005,0.84600025,0.6461061,0.82305306,0.55460703,0.7773035,0.58721435,0.7936072,0.688187,0.8440935,0.78943086,0.8947154,0.76865476,0.8843274,0.7440633,0.8720317,0.7531574,0.8765787,0.7890893,0.89454466
16980,0.7837002,0.8918501,0.76520157,0.8826008,0.7275635,0.86378175,0.7016158,0.8508079,0.7654942,0.8827471,0.8091612,0.9045806,0.75834453,0.87917227,0.78185725,0.8909286,0.8099174,0.9049587,0.81593776,0.9079689
17014,0.61062264,0.8053113,0.6506051,0.82530254,0.5439986,0.7719993,0.5404966,0.7702483,0.6603495,0.83017474,0.695493,0.8477465,0.71193445,0.8559672,0.67771614,0.83885807,0.74610865,0.8730543,0.7670231,0.88351154
18230,0.74180436,0.8709022,0.739037,0.8695185,0.64542973,0.82271487,0.69767386,0.8488369,0.7613859,0.88069296,0.80648416,0.9032421,0.79958,0.89979,0.8111437,0.9055718,0.77774465,0.8888723,0.8161571,0.90807855
18348,0.62805164,0.8140258,0.63638663,0.8181933,0.5429213,0.77146065,0.56240827,0.7812041,0.65816,0.82908,0.7646698,0.8823349,0.7269411,0.86347055,0.7233675,0.8616837,0.7504756,0.8752378,0.78558993,0.89279497
26715,0.7227905,0.86139524,0.7126992,0.8563496,0.6044685,0.8022343,0.66822857,0.8341143,0.7276428,0.8638214,0.73216224,0.8660811,0.74877715,0.8743886,0.7409978,0.8704989,0.76419055,0.8820953,0.73619604,0.868098
26747,0.8418046,0.9209023,0.79003847,0.89501923,0.7630771,0.8815385,0.7275495,0.8637748,0.79112554,0.89556277,0.8079184,0.9039592,0.75355005,0.876775,0.8385955,0.91929775,0.7406595,0.87032974,0.7869071,0.89345354
