,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Score
6018,0.69875807,0.84937906,0.69522166,0.84761083,0.59584576,0.79792285,0.6683872,0.8341936,0.706207,0.8531035,0.78114736,0.8905737,0.7425667,0.87128335,0.81017256,0.9050863,0.7678256,0.8839128,0.804548,0.902274
6021,0.725272,0.86263597,0.70895183,0.8544759,0.6216575,0.81082875,0.65198743,0.8259937,0.6831229,0.84156144,0.7714428,0.8857214,0.73535144,0.8676757,0.73918366,0.86959183,0.7592728,0.8796364,0.78254664,0.8912733
6026,0.75922346,0.87961173,0.7593967,0.87969834,0.68216,0.84108,0.67526114,0.83763057,0.7458809,0.8729404,0.8019995,0.9009998,0.76243544,0.8812177,0.79667175,0.8983359,0.7574339,0.87871695,0.8051724,0.9025862
9479,0.6735507,0.83677536,0.656707,0.8283535,0.5553349,0.77766746,0.59568375,0.7978419,0.6900588,0.8450294,0.78442454,0.8922123,0.76581514,0.88290757,0.7438621,0.8719311,0.7709654,0.88548267,0.8073208,0.9036604
16980,0.7585398,0.8792699,0.74877405,0.874387,0.6886952,0.8443476,0.71687466,0.8584373,0.74569976,0.8728499,0.78974295,0.8948715,0.75936323,0.8796816,0.7663697,0.88318485,0.7953738,0.8976869,0.82242334,0.91121167
17014,0.6170409,0.80852044,0.67923594,0.83961797,0.53339326,0.76669663,0.5638082,0.7819041,0.6727754,0.8363877,0.66937435,0.8346872,0.71544147,0.85772073,0.6648698,0.8324349,0.72676325,0.8633816,0.74325526,0.8716276
18230,0.7503903,0.87519515,0.7567968,0.8783984,0.6479933,0.82399666,0.6726879,0.83634394,0.7699975,0.88499874,0.8108783,0.90543914,0.8166173,0.9083086,0.82627535,0.9131377,0.7753831,0.88769156,0.81589365,0.9079468
18348,0.68617,0.843085,0.6760658,0.8380329,0.5875062,0.7937531,0.58438915,0.7921946,0.7285812,0.8642906,0.86795664,0.9339783,0.7884152,0.8942076,0.8214906,0.91074526,0.80161893,0.90080947,0.882499,0.9412495
26715,0.7072396,0.8536198,0.70244443,0.8512222,0.6040319,0.80201596,0.6405944,0.82029724,0.7219677,0.86098385,0.7122386,0.8561193,0.747456,0.87372804,0.7207991,0.86039954,0.7518667,0.87593335,0.72790056,0.86395025
26747,0.80678886,0.90339446,0.7371297,0.86856484,0.67378163,0.8368908,0.6845095,0.84225476,0.7588657,0.87943286,0.77708864,0.8885443,0.73873913,0.86936957,0.7790705,0.88953525,0.7052529,0.85262644,0.7458055,0.87290275
29788,0.68835235,0.8441762,0.68265975,0.8413299,0.5825286,0.7912643,0.5970273,0.79851365,0.73786736,0.8689337,0.80583364,0.9029168,0.7993043,0.8996521,0.7891444,0.8945722,0.78570485,0.8928524,0.8145162,0.9072581
29835,0.7193136,0.8596568,0.71489596,0.857448,0.611043,0.8055215,0.6178944,0.8089472,0.7109635,0.85548174,0.82091343,0.9104567,0.78521323,0.8926066,0.84132534,0.92066264,0.81685036,0.9084252,0.8560829,0.92804146
30606,0.62914336,0.8145717,0.5576359,0.77881795,0.55030036,0.7751502,0.56727386,0.7836369,0.62260973,0.81130487,0.72696817,0.8634841,0.63776964,0.81888485,0.6761172,0.8380586,0.7092018,0.8546009,0.7099597,0.8549799
30845,0.67993236,0.8399662,0.653865,0.8269325,0.56730646,0.78365326,0.6176638,0.80883193,0.6793294,0.8396647,0.7862171,0.89310855,0.71158683,0.8557934,0.755087,0.8775435,0.79287523,0.89643764,0.79530424,0.89765215
32072,0.7574791,0.87873954,0.73392665,0.8669633,0.70274174,0.8513709,0.6735753,0.83678764,0.72589195,0.862946,0.79953337,0.8997667,0.73865056,0.8693253,0.81462294,0.90731144,0.7596221,0.87981105,0.78665316,0.8933266
46443,0.6713445,0.83567226,0.6975726,0.8487863,0.64296603,0.821483,0.64126503,0.8206325,0.6814655,0.84073275,0.73786795,0.868934,0.7037308,0.8518654,0.771818,0.88590896,0.7600085,0.8800043,0.7979611,0.89898056
