,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Score
6018,0.6550839,0.82754195,0.66502106,0.83251053,0.6124943,0.8062471,0.6710404,0.8355202,0.6938337,0.84691685,0.7665963,0.88329816,0.7268212,0.8634106,0.8134414,0.9067207,0.79329574,0.8966479,0.7922373,0.89611864
6021,0.7137536,0.8568768,0.7064872,0.8532436,0.6444211,0.82221055,0.66760725,0.83380365,0.6735976,0.8367988,0.7335912,0.8667956,0.69901335,0.8495067,0.7369553,0.86847764,0.7514234,0.8757117,0.79096043,0.8954802
6026,0.5804287,0.79021436,0.5764011,0.78820056,0.48170733,0.74085367,0.5546654,0.77733266,0.57007885,0.7850394,0.5945478,0.7972739,0.6042723,0.8021362,0.6253544,0.8126772,0.5792394,0.7896197,0.61208713,0.80604357
9479,0.6833559,0.84167796,0.6323723,0.8161862,0.557024,0.778512,0.5891652,0.7945826,0.6805141,0.84025705,0.76644087,0.88322043,0.730016,0.865008,0.7343333,0.86716664,0.70998406,0.85499203,0.76417553,0.88208777
16980,0.7457847,0.8728924,0.7710855,0.88554275,0.7090181,0.85450906,0.7428792,0.8714396,0.7265358,0.8632679,0.7363912,0.8681956,0.7124696,0.8562348,0.77613497,0.8880675,0.787401,0.8937005,0.7658386,0.8829193
17014,0.35789418,0.6789471,0.48750627,0.74375314,0.3823892,0.6911946,0.4098701,0.7049351,0.42900562,0.7145028,0.3373958,0.6686979,0.47029656,0.7351483,0.42735863,0.7136793,0.5003407,0.75017035,0.44245303,0.7212265
18230,0.6137543,0.80687714,0.65730226,0.82865113,0.5503638,0.7751819,0.6143621,0.80718106,0.6206299,0.81031495,0.68167746,0.84083873,0.6773795,0.83868974,0.710469,0.8552345,0.688061,0.8440305,0.70548654,0.85274327
18348,0.63978493,0.81989247,0.65543616,0.8277181,0.5622431,0.78112155,0.58241,0.791205,0.6663813,0.8331907,0.7616495,0.88082474,0.71484184,0.8574209,0.7549664,0.8774832,0.74145114,0.8707256,0.7924761,0.8962381
26715,0.64390707,0.82195354,0.71372104,0.8568605,0.5716759,0.78583795,0.63904846,0.8195242,0.6917808,0.8458904,0.66539806,0.83269906,0.73741144,0.86870575,0.7278391,0.86391956,0.76619065,0.8830953,0.7119504,0.8559752
26747,0.7262281,0.86311406,0.73252213,0.86626107,0.63485515,0.8174276,0.67992467,0.83996236,0.7332385,0.8666192,0.76404285,0.8820214,0.76167685,0.8808384,0.78043926,0.8902196,0.73854446,0.86927223,0.7884314,0.8942157
