,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Score
6018,0.6355698,0.8177849,0.64054847,0.82027423,0.5957954,0.7978977,0.62688494,0.81344247,0.6702393,0.83511966,0.7614639,0.88073194,0.7211446,0.86057234,0.7848141,0.89240706,0.79028714,0.89514357,0.7881948,0.8940974
6021,0.6751287,0.83756435,0.6665579,0.83327895,0.5964526,0.7982263,0.6570296,0.8285148,0.6458972,0.8229486,0.6858331,0.84291655,0.6750933,0.83754665,0.7254716,0.8627358,0.71494555,0.8574728,0.74991894,0.87495947
6026,0.64721,0.823605,0.63911384,0.81955695,0.55493754,0.7774688,0.6076412,0.8038206,0.6596761,0.82983804,0.71465755,0.8573288,0.6986975,0.8493488,0.7267196,0.8633598,0.68971205,0.844856,0.73652637,0.8682632
9479,0.662743,0.8313715,0.6285323,0.81426615,0.5341437,0.76707184,0.57928795,0.789644,0.67008007,0.83504003,0.75354683,0.8767734,0.73797673,0.8689884,0.71338975,0.8566949,0.72641003,0.863205,0.7647726,0.8823863
16980,0.7275537,0.86377686,0.7623678,0.88118386,0.69341683,0.8467084,0.7492415,0.87462074,0.7095891,0.85479456,0.71464443,0.8573222,0.7109321,0.855466,0.7569094,0.8784547,0.7868501,0.89342505,0.77174985,0.8858749
17014,0.38748884,0.6937444,0.49585825,0.7479291,0.3752712,0.6876356,0.41289955,0.70644975,0.4448654,0.72243273,0.37561524,0.6878076,0.4970981,0.74854904,0.44483697,0.7224185,0.51907086,0.75953543,0.4690231,0.73451155
18230,0.54514456,0.7725723,0.58672744,0.7933637,0.479739,0.7398695,0.55515337,0.7775767,0.54251194,0.77125597,0.58053166,0.7902658,0.6081891,0.80409455,0.61410064,0.80705035,0.6220147,0.8110074,0.6143278,0.8071639
18348,0.6266738,0.8133369,0.6494694,0.8247347,0.55046517,0.77523255,0.5981559,0.799078,0.6537199,0.82685995,0.7498547,0.87492734,0.70226157,0.8511308,0.7518585,0.87592924,0.735132,0.867566,0.77741665,0.88870835
26715,0.68420243,0.8421012,0.7183689,0.85918444,0.5956191,0.79780954,0.6636499,0.83182496,0.71438116,0.8571906,0.68806875,0.8440344,0.74233174,0.8711659,0.74645036,0.8732252,0.7665485,0.88327426,0.72139615,0.8606981
26747,0.7527102,0.8763551,0.7202897,0.86014485,0.6314322,0.8157161,0.7001989,0.85009944,0.7384608,0.8692304,0.76739806,0.88369906,0.74803877,0.8740194,0.78650403,0.893252,0.7270414,0.86352074,0.77987874,0.88993937
