,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.66599166,0.83299583,0.6738528,0.8369264,0.59870327,0.79935163,0.659649,0.8298245,0.6546098,0.8273049,0.720328,0.860164,0.67909455,0.8395473,0.74932766,0.87466383,0.7660048,0.8830024,0.7753891,0.88769454
6021,0.82022774,0.9101139,0.79279655,0.8963983,0.7052959,0.85264796,0.71735597,0.858678,0.7774198,0.8887099,0.80673563,0.9033678,0.79157495,0.8957875,0.82855874,0.91427934,0.80713296,0.9035665,0.84175193,0.92087597
6026,0.67090255,0.83545125,0.65869737,0.8293487,0.58038116,0.7901906,0.6302128,0.8151064,0.6798558,0.8399279,0.72322273,0.86161137,0.7211309,0.8605654,0.7347789,0.86738944,0.6902587,0.8451294,0.73146224,0.8657311
9479,0.72218674,0.8610934,0.7078831,0.85394156,0.6002712,0.8001356,0.6394408,0.8197204,0.71005344,0.8550267,0.7954215,0.89771074,0.7598642,0.8799321,0.7677815,0.88389075,0.7668504,0.88342524,0.8073139,0.90365696
16980,0.76803684,0.8840184,0.76413155,0.8820658,0.72168434,0.86084217,0.736151,0.8680755,0.75712943,0.8785647,0.7909188,0.8954594,0.75726926,0.87863463,0.7876291,0.89381456,0.82532233,0.9126612,0.82871747,0.91435874
17014,0.5037851,0.75189257,0.6182678,0.8091339,0.47366664,0.73683333,0.5292826,0.7646413,0.5571132,0.7785566,0.49434012,0.7471701,0.60720456,0.8036023,0.56925654,0.7846283,0.6545675,0.82728374,0.61238295,0.80619144
18230,0.7133339,0.8566669,0.7411879,0.8705939,0.6334679,0.81673396,0.66574633,0.83287317,0.71485233,0.85742617,0.7671949,0.8835975,0.7646156,0.88230777,0.78758603,0.893793,0.7765759,0.88828796,0.7992564,0.89962816
18348,0.6729226,0.8364613,0.6659041,0.832952,0.582307,0.7911535,0.57916534,0.78958267,0.6818403,0.84092015,0.80751395,0.903757,0.74920547,0.87460274,0.7605817,0.88029087,0.7766585,0.88832927,0.8298653,0.9149326
26715,0.7424084,0.8712042,0.7126188,0.8563094,0.6230583,0.81152916,0.6512923,0.82564616,0.7422725,0.87113625,0.758655,0.87932754,0.77196395,0.885982,0.7478895,0.87394476,0.779469,0.8897345,0.7655494,0.8827747
26747,0.8178608,0.9089304,0.78389144,0.8919457,0.71698344,0.8584917,0.6979366,0.84896827,0.8112764,0.9056382,0.8426022,0.9213011,0.7855239,0.89276195,0.83871603,0.919358,0.77336514,0.88668257,0.8235142,0.9117571
29788,0.5364218,0.7682109,0.5396997,0.76984984,0.43008322,0.71504164,0.5099875,0.75499374,0.5570339,0.77851695,0.62683725,0.8134186,0.6517762,0.8258881,0.61560374,0.80780184,0.6525888,0.8262944,0.66566604,0.83283305
29835,0.62253547,0.81126773,0.6612339,0.83061695,0.5429359,0.7714679,0.5913842,0.7956921,0.61738,0.80869,0.6881809,0.84409046,0.6891792,0.8445896,0.7242402,0.8621201,0.7434416,0.8717208,0.7449547,0.87247735
30606,0.6810385,0.84051925,0.60288465,0.8014423,0.5832874,0.79164374,0.5931182,0.7965591,0.6756877,0.83784384,0.79283905,0.8964195,0.69142586,0.8457129,0.7053314,0.85266566,0.7435962,0.8717981,0.7755532,0.8877766
30845,0.6825374,0.84126866,0.6564234,0.82821167,0.57936305,0.78968155,0.6149708,0.8074854,0.70059764,0.8502988,0.8226905,0.91134524,0.7538774,0.8769387,0.7732605,0.88663024,0.80433923,0.9021696,0.8290651,0.91453254
32072,0.76250243,0.8812512,0.72627664,0.8631383,0.7331739,0.8665869,0.6577531,0.82887655,0.72609305,0.8630465,0.79201967,0.8960098,0.71592015,0.8579601,0.7989109,0.8994554,0.7546357,0.87731785,0.7804997,0.89024985
46443,0.7154408,0.8577204,0.71755326,0.8587766,0.69911873,0.84955937,0.6632587,0.83162934,0.73194396,0.865972,0.7570609,0.87853044,0.65230596,0.826153,0.79301226,0.89650613,0.74300486,0.8715024,0.7696287,0.8848144
46506,0.5287036,0.7643518,0.5498698,0.7749349,0.47815222,0.73907614,0.50923157,0.7546158,0.5665691,0.78328454,0.67283165,0.8364158,0.6278335,0.81391674,0.6661496,0.8330748,0.7144307,0.85721534,0.7288605,0.86443025
50300,0.6495528,0.8247764,0.6639999,0.83199996,0.6437789,0.82188946,0.6062535,0.80312675,0.6674631,0.83373153,0.71716696,0.85858345,0.64763,0.823815,0.7306385,0.86531925,0.71432775,0.8571639,0.73152757,0.8657638
51419,0.59894884,0.7994744,0.6279457,0.81397283,0.52313626,0.7615681,0.56918305,0.78459156,0.60249585,0.80124795,0.6619222,0.8309611,0.68307084,0.84153545,0.6992936,0.8496468,0.7226907,0.86134535,0.70794106,0.8539705
53971,0.64013624,0.8200681,0.62105453,0.81052727,0.53298295,0.7664915,0.55530256,0.7776513,0.64638245,0.8231912,0.71725225,0.8586261,0.71624005,0.85812,0.6903652,0.8451826,0.73082644,0.8654132,0.71484816,0.8574241
53972,0.62134004,0.81067,0.59086835,0.7954342,0.5502224,0.7751112,0.5421821,0.77109104,0.63203126,0.8160156,0.7362628,0.8681314,0.69471633,0.84735817,0.70435095,0.8521755,0.72330135,0.8616507,0.7439871,0.87199354
53973,0.63578904,0.8178945,0.6175803,0.80879015,0.56565416,0.7828271,0.57849926,0.78924966,0.67076856,0.83538425,0.7920058,0.8960029,0.7295548,0.8647774,0.75701714,0.87850857,0.76538783,0.8826939,0.80801624,0.90400815
53974,0.5443798,0.77218986,0.5376855,0.76884276,0.51453996,0.75727,0.5474287,0.77371436,0.5657978,0.7828989,0.66494954,0.83247477,0.63950604,0.81975305,0.6382264,0.8191132,0.6792433,0.83962166,0.687716,0.843858
53975,0.6893718,0.8446859,0.6402781,0.82013905,0.6312053,0.81560266,0.58411986,0.7920599,0.69072115,0.8453606,0.8015967,0.9007983,0.7104844,0.8552422,0.71987045,0.8599352,0.76727736,0.8836387,0.7744554,0.8872277
53976,0.5643939,0.78219694,0.5241347,0.7620673,0.47566813,0.7378341,0.49380332,0.74690163,0.588832,0.794416,0.6653258,0.83266294,0.67691475,0.83845735,0.61239547,0.80619776,0.65614843,0.8280742,0.67970085,0.8398504
53977,0.7147566,0.8573783,0.6561859,0.82809293,0.60490453,0.80245227,0.6193338,0.8096669,0.6912664,0.8456332,0.75024915,0.8751246,0.73608506,0.8680425,0.7336406,0.86682034,0.75278926,0.8763946,0.7512932,0.8756466
