,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.69979763,0.8498988,0.67699766,0.83849883,0.6121161,0.80605805,0.66384333,0.8319217,0.7293377,0.86466885,0.813524,0.906762,0.76012325,0.8800616,0.8247974,0.9123987,0.78682363,0.8934118,0.8192513,0.90962565
6021,0.7868084,0.8934042,0.78023994,0.89011997,0.681257,0.8406285,0.70395553,0.85197777,0.75628185,0.8781409,0.81446165,0.90723085,0.78347516,0.8917376,0.8175423,0.90877116,0.81966317,0.9098316,0.84717697,0.9235885
6026,0.67373633,0.83686817,0.6565461,0.82827306,0.57243633,0.78621817,0.6329031,0.81645155,0.6803662,0.84018314,0.69343174,0.84671587,0.69392455,0.8469623,0.7174151,0.85870755,0.66082966,0.83041483,0.70131904,0.8506595
9479,0.6816654,0.8408327,0.653209,0.8266045,0.5595658,0.7797829,0.60227096,0.8011355,0.68622816,0.8431141,0.76872826,0.8843641,0.75295454,0.87647724,0.74748945,0.8737447,0.77476025,0.8873801,0.7954656,0.8977328
16980,0.76677126,0.88338566,0.7522789,0.87613946,0.7082554,0.8541277,0.71754205,0.858771,0.7713732,0.88568664,0.78786504,0.8939325,0.7594092,0.8797046,0.78765434,0.8938272,0.825148,0.912574,0.8269106,0.9134553
17014,0.53053623,0.7652681,0.5953081,0.79765403,0.46748105,0.7337405,0.5226351,0.76131755,0.5560103,0.7780051,0.52243125,0.7612156,0.60375285,0.8018764,0.56156296,0.7807815,0.6477787,0.8238894,0.6269363,0.81346816
18230,0.6884865,0.8442433,0.68425643,0.8421282,0.5685682,0.7842841,0.6349669,0.8174834,0.66510177,0.8325509,0.7069061,0.85345304,0.7093556,0.8546778,0.7170783,0.85853916,0.7243732,0.8621866,0.7212379,0.86061895
18348,0.64230996,0.82115495,0.6279471,0.81397355,0.54619086,0.7730954,0.57890457,0.7894523,0.6508889,0.82544446,0.78433025,0.8921651,0.7146536,0.8573268,0.73662907,0.8683145,0.760835,0.88041747,0.7996154,0.8998077
26715,0.7363229,0.86816144,0.70096695,0.8504835,0.623549,0.8117745,0.6372583,0.81862915,0.73477757,0.8673888,0.76063013,0.88031507,0.77077293,0.88538647,0.75122154,0.87561077,0.75997114,0.8799856,0.7634845,0.88174224
26747,0.79886764,0.89943385,0.7536924,0.8768462,0.6936946,0.8468473,0.7243217,0.86216086,0.7860521,0.89302605,0.77658486,0.88829243,0.75628066,0.87814033,0.80548674,0.90274334,0.73150283,0.8657514,0.781854,0.89092696
