,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.16422224,0.5821111,0.1776655,0.58883274,0.1685596,0.5842798,0.108931154,0.5544656,0.22874588,0.61437297,0.20353904,0.6017695,0.1821861,0.59109306,0.18959719,0.59479856,0.18134871,0.59067434,0.18483718,0.5924186
6021,0.772508,0.886254,0.76805484,0.8840274,0.6736634,0.8368317,0.69950926,0.84975463,0.7628621,0.88143104,0.823511,0.9117555,0.7930725,0.89653623,0.8149758,0.90748787,0.7967818,0.8983909,0.840891,0.9204455
6026,0.63991666,0.8199583,0.6984439,0.84922194,0.6105628,0.8052814,0.6354307,0.81771535,0.67396164,0.8369808,0.7252817,0.86264086,0.7038145,0.85190725,0.76795375,0.8839769,0.74548614,0.87274307,0.7659468,0.88297343
9479,0.6837008,0.8418504,0.6462873,0.82314366,0.5554419,0.7777209,0.57980037,0.7899002,0.68525577,0.8426279,0.78641254,0.89320624,0.7655003,0.88275015,0.7362379,0.86811894,0.77202713,0.88601357,0.7985749,0.89928746
16980,0.796193,0.8980965,0.7648531,0.88242656,0.7375558,0.8687779,0.7248858,0.8624429,0.7583808,0.8791904,0.8149193,0.9074596,0.75987613,0.87993807,0.8026883,0.9013442,0.81152445,0.9057622,0.8221885,0.91109425
17014,0.56928736,0.78464365,0.628368,0.814184,0.49947017,0.7497351,0.53448176,0.7672409,0.61029905,0.80514956,0.61304814,0.80652404,0.67081976,0.8354099,0.63110495,0.8155525,0.7064655,0.85323274,0.70465004,0.852325
18230,0.7725121,0.88625604,0.7696607,0.88483036,0.67833793,0.83916897,0.7130561,0.85652804,0.7782967,0.88914835,0.8110024,0.9055012,0.8000192,0.90000963,0.8277393,0.9138696,0.7850423,0.89252114,0.8181832,0.9090916
18348,0.66100025,0.8305001,0.6508857,0.82544285,0.56253105,0.7812655,0.5743022,0.7871511,0.68353415,0.8417671,0.8007903,0.90039515,0.7627305,0.88136524,0.7513275,0.87566376,0.7691051,0.88455254,0.81857777,0.9092889
26715,0.6988715,0.84943575,0.72172546,0.86086273,0.5736527,0.7868264,0.6488807,0.82444036,0.7303586,0.8651793,0.7116055,0.8558028,0.7646159,0.88230795,0.75157416,0.8757871,0.7883334,0.8941667,0.76556087,0.88278043
26747,0.8134687,0.90673435,0.7896044,0.8948022,0.7531068,0.8765534,0.6917937,0.84589684,0.79737854,0.89868927,0.8390418,0.9195209,0.7684282,0.8842141,0.8565568,0.9282784,0.7718221,0.88591105,0.83157206,0.915786
