,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.7271582,0.8635791,0.69768727,0.84884363,0.63175166,0.8158758,0.67433834,0.8371692,0.74743634,0.87371814,0.83895874,0.91947937,0.78693557,0.8934678,0.8379568,0.9189784,0.8123622,0.9061811,0.8668519,0.93342596
6021,0.77689207,0.88844603,0.74884015,0.87442005,0.6767153,0.8383577,0.7038064,0.8519032,0.7375426,0.8687713,0.8063817,0.90319085,0.7830963,0.89154816,0.8012385,0.90061927,0.7951802,0.8975901,0.8311343,0.91556716
6026,0.75719273,0.87859637,0.73332024,0.8666601,0.68486214,0.84243107,0.69173783,0.84586895,0.7538406,0.87692034,0.81049013,0.90524507,0.7629266,0.8814633,0.8051049,0.9025525,0.7691387,0.88456935,0.82912886,0.91456443
9479,0.6687429,0.83437145,0.61507607,0.80753803,0.5499145,0.77495724,0.5723325,0.78616625,0.67088336,0.8354417,0.77457863,0.8872893,0.7400906,0.8700453,0.7218503,0.86092514,0.74185705,0.8709285,0.78497493,0.89248747
16980,0.76533306,0.8826665,0.772203,0.8861015,0.72514033,0.86257017,0.7280583,0.86402917,0.7701135,0.88505673,0.80107987,0.90053993,0.7699769,0.8849884,0.78772676,0.8938634,0.8258191,0.9129095,0.8381391,0.9190695
17014,0.47919554,0.7395978,0.5747659,0.78738296,0.43065554,0.71532774,0.49404514,0.74702257,0.5145561,0.7572781,0.47400016,0.7370001,0.56938684,0.7846934,0.53431016,0.76715505,0.6168405,0.80842024,0.58960795,0.794804
18230,0.7549936,0.87749684,0.7445017,0.87225085,0.6521586,0.8260793,0.6701359,0.835068,0.7571316,0.8785658,0.82659936,0.9132997,0.7772157,0.88860786,0.8230009,0.91150045,0.7878566,0.8939283,0.83739245,0.9186962
18348,0.68512213,0.84256107,0.6636832,0.8318416,0.5827379,0.79136896,0.5667066,0.7833533,0.71815264,0.8590763,0.83853006,0.91926503,0.76915497,0.8845775,0.7824445,0.89122224,0.78708196,0.893541,0.8435412,0.9217706
26715,0.7324364,0.8662182,0.7690275,0.88451374,0.64674306,0.8233715,0.6945052,0.8472526,0.7620322,0.88101614,0.7154662,0.85773313,0.7762595,0.8881297,0.76184493,0.88092244,0.76858056,0.8842903,0.74001884,0.8700094
26747,0.7859751,0.89298755,0.77458906,0.88729453,0.690363,0.84518147,0.6990632,0.8495316,0.7676773,0.88383865,0.8131287,0.90656435,0.75278616,0.8763931,0.83587027,0.91793513,0.7616836,0.8808418,0.7989651,0.89948255
