,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.7636693,0.8818346,0.7171552,0.8585776,0.65089256,0.82544625,0.65184563,0.82592285,0.75917697,0.8795885,0.8691399,0.93456995,0.7910259,0.89551294,0.83757895,0.9187895,0.79683864,0.8984193,0.8376624,0.9188312
6021,0.6999277,0.84996384,0.69790465,0.8489523,0.60159874,0.80079937,0.6577894,0.82889473,0.6565078,0.82825387,0.7246436,0.8623218,0.7260769,0.8630384,0.71774673,0.85887337,0.73602605,0.868013,0.77652246,0.8882612
6026,0.7258272,0.8629136,0.7386086,0.8693043,0.6546446,0.8273223,0.6757501,0.837875,0.7528503,0.87642515,0.788797,0.8943985,0.77326405,0.886632,0.80891883,0.9044594,0.7899548,0.8949774,0.82431316,0.9121566
9479,0.63156176,0.8157809,0.6173601,0.80868006,0.52495086,0.76247543,0.5776048,0.7888024,0.6338128,0.8169064,0.7091087,0.85455436,0.7061366,0.8530683,0.7044857,0.8522428,0.7549497,0.87747484,0.74875414,0.8743771
16980,0.7315532,0.8657766,0.7339979,0.8669989,0.6855852,0.84279263,0.7226957,0.86134785,0.7249947,0.8624973,0.76826775,0.8841339,0.74990094,0.87495047,0.75549203,0.877746,0.7992988,0.8996494,0.80158997,0.900795
17014,0.5303896,0.7651948,0.5909438,0.7954719,0.4826246,0.74131227,0.5280324,0.7640162,0.57516825,0.7875841,0.51906633,0.75953317,0.60505325,0.8025266,0.5716089,0.78580445,0.6191975,0.80959874,0.6109242,0.8054621
18230,0.75011504,0.8750575,0.74493885,0.8724694,0.6419679,0.82098395,0.6756828,0.8378414,0.7511414,0.8755707,0.80052406,0.900262,0.76895666,0.88447833,0.8056872,0.9028436,0.75530744,0.8776537,0.79108113,0.8955406
18348,0.7158998,0.8579499,0.7067046,0.8533523,0.62463295,0.8123165,0.59296024,0.7964801,0.72568345,0.8628417,0.8394098,0.9197049,0.78733253,0.89366627,0.79194367,0.89597183,0.7913362,0.8956681,0.8421504,0.9210752
26715,0.73255897,0.8662795,0.71203554,0.85601777,0.6161189,0.80805945,0.6666841,0.8333421,0.73733485,0.8686674,0.7256868,0.8628434,0.7724956,0.8862478,0.7522416,0.8761208,0.7760047,0.88800234,0.75676894,0.8783845
26747,0.8011497,0.90057486,0.78264546,0.89132273,0.70326996,0.851635,0.7182439,0.8591219,0.78353655,0.8917683,0.8120793,0.90603966,0.76179683,0.8808984,0.83791924,0.9189596,0.753267,0.8766335,0.8178531,0.90892655
