,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.65491945,0.8274597,0.63798344,0.8189917,0.5701312,0.7850656,0.6577346,0.8288673,0.6695467,0.83477336,0.7760701,0.88803506,0.71071327,0.85535663,0.7794272,0.8897136,0.7176204,0.8588102,0.78707325,0.8935366
6021,0.7031255,0.85156274,0.62275904,0.81137955,0.5821596,0.79107976,0.59748536,0.79874265,0.62688076,0.8134404,0.735211,0.8676055,0.66163814,0.8308191,0.70729154,0.8536458,0.69407046,0.8470352,0.7084018,0.8542009
6026,0.6050267,0.80251336,0.6288756,0.8144378,0.49460283,0.7473014,0.5801513,0.79007566,0.620067,0.8100335,0.6790702,0.8395351,0.6604481,0.83022404,0.6963821,0.848191,0.6670464,0.8335232,0.6983489,0.84917444
9479,0.6941788,0.8470894,0.65560675,0.8278034,0.5577625,0.77888125,0.6047594,0.8023797,0.70329356,0.8516468,0.8002492,0.9001246,0.75652814,0.87826407,0.7667334,0.8833667,0.76598024,0.8829901,0.8079642,0.9039821
16980,0.77922255,0.88961124,0.7709559,0.88547796,0.7460498,0.87302494,0.7424395,0.87121975,0.7608638,0.8804319,0.8020899,0.90104496,0.73892415,0.8694621,0.81259954,0.90629977,0.81885195,0.909426,0.81588876,0.9079444
17014,0.4288781,0.71443903,0.51868117,0.7593406,0.40227902,0.7011395,0.46035784,0.73017895,0.4999029,0.7499515,0.44584274,0.7229214,0.53714615,0.76857305,0.50792557,0.75396276,0.5990032,0.7995016,0.5618908,0.7809454
18230,0.67339325,0.8366966,0.6784193,0.8392097,0.55450666,0.7772533,0.6546251,0.8273126,0.69624144,0.8481207,0.7536148,0.8768074,0.736148,0.868074,0.74563557,0.87281775,0.7400384,0.8700192,0.7615462,0.88077307
18348,0.67076707,0.83538353,0.68255043,0.8412752,0.57213247,0.78606623,0.60134834,0.8006742,0.7278968,0.8639484,0.815914,0.90795696,0.77121437,0.8856072,0.8070632,0.9035316,0.80213296,0.9010665,0.8469155,0.92345774
26715,0.7062021,0.853101,0.6938783,0.84693915,0.6138144,0.8069072,0.6317301,0.81586504,0.7262317,0.86311585,0.7322761,0.86613804,0.7565532,0.8782766,0.75314224,0.8765711,0.77262974,0.88631487,0.7383374,0.8691687
26747,0.7144892,0.8572446,0.7008591,0.85042953,0.5995827,0.79979134,0.6610447,0.83052236,0.70976985,0.8548849,0.74900115,0.8745006,0.71095586,0.8554779,0.77698386,0.8884919,0.6958685,0.84793425,0.7565375,0.8782687
29788,0.52969337,0.7648467,0.5396066,0.7698033,0.4533074,0.7266537,0.48876175,0.7443809,0.57393795,0.78696895,0.65473425,0.8273671,0.65498054,0.82749027,0.61491615,0.80745804,0.6323986,0.8161993,0.6735392,0.8367696
29835,0.73018956,0.8650948,0.7169361,0.85846806,0.61755216,0.8087761,0.63689554,0.81844777,0.74339557,0.8716978,0.8298609,0.91493046,0.7872316,0.89361584,0.8006358,0.9003179,0.8117738,0.9058869,0.8412185,0.92060924
30606,0.5918002,0.7959001,0.5451991,0.7725996,0.54195404,0.770977,0.56787384,0.7839369,0.60148716,0.8007436,0.69615555,0.8480778,0.60927236,0.8046362,0.6655228,0.8327614,0.70381737,0.8519087,0.7113848,0.8556924
