,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_google_ux_Score
6018,0.62551,0.812755,0.6162467,0.80812335,0.577373,0.7886865,0.630215,0.81510746,0.6228279,0.81141394,0.698473,0.8492365,0.6564401,0.82822,0.7169651,0.85848254,0.70329654,0.8516483,0.7280452,0.8640226
6021,0.717883,0.8589415,0.650888,0.825444,0.62012017,0.8100601,0.63990676,0.8199534,0.6597922,0.8298961,0.7654574,0.8827287,0.6759982,0.8379991,0.72265935,0.8613297,0.73272973,0.86636484,0.74158764,0.8707938
6026,0.5963464,0.7981732,0.6207243,0.81036216,0.5171865,0.75859326,0.5801511,0.79007554,0.62619734,0.81309867,0.7176954,0.85884774,0.687112,0.843556,0.7222036,0.8611018,0.7068934,0.8534467,0.74291646,0.87145823
9479,0.6726909,0.83634543,0.62711406,0.813557,0.5529467,0.77647334,0.5768248,0.7884124,0.6811782,0.8405891,0.76982844,0.8849142,0.72660506,0.8633025,0.7436885,0.8718443,0.72638535,0.8631927,0.7751428,0.8875714
16980,0.7579093,0.87895465,0.7609733,0.8804866,0.7190905,0.85954523,0.73348516,0.8667426,0.7406279,0.87031394,0.7703086,0.8851543,0.7239843,0.8619921,0.7869572,0.89347863,0.8008313,0.90041566,0.79201686,0.89600843
17014,0.4858268,0.74291337,0.56746376,0.7837319,0.43834412,0.71917206,0.47336555,0.7366828,0.5681951,0.78409755,0.5411625,0.77058125,0.6346348,0.81731737,0.57472104,0.78736055,0.67932504,0.83966255,0.6594863,0.82974315
18230,0.66141236,0.8307062,0.6726228,0.8363114,0.5578783,0.7789391,0.63577455,0.8178873,0.67250854,0.83625424,0.7037816,0.8518908,0.6919133,0.8459567,0.72901195,0.864506,0.6986275,0.84931374,0.70409757,0.85204875
18348,0.6280273,0.81401366,0.6428315,0.8214158,0.54004544,0.77002275,0.56185126,0.78092563,0.66748846,0.8337442,0.7894558,0.8947279,0.74625516,0.8731276,0.7565608,0.8782804,0.77063036,0.8853152,0.8254763,0.91273814
26715,0.69356585,0.8467829,0.6932429,0.84662145,0.59372634,0.7968632,0.60719323,0.8035966,0.745786,0.872893,0.74773705,0.8738685,0.7634305,0.88171524,0.7681514,0.8840757,0.77136254,0.8856813,0.75284505,0.8764225
26747,0.76617736,0.8830887,0.7254357,0.86271787,0.6373652,0.8186826,0.6749521,0.837476,0.75946164,0.8797308,0.8174161,0.90870804,0.74279255,0.8713963,0.82127064,0.91063535,0.7472346,0.8736173,0.8043573,0.90217865
29788,0.51680857,0.75840425,0.50633013,0.75316507,0.42020833,0.71010417,0.4699115,0.7349557,0.546484,0.773242,0.63739884,0.8186994,0.6411024,0.82055116,0.59144616,0.7957231,0.6131227,0.80656135,0.6498642,0.8249321
29835,0.6424265,0.82121325,0.6686331,0.83431655,0.5463096,0.7731548,0.5935045,0.7967522,0.6479982,0.8239991,0.76383996,0.88192,0.7410837,0.8705418,0.78291893,0.89145947,0.77804124,0.8890206,0.7908567,0.89542836
30606,0.5685197,0.78425986,0.52332354,0.76166177,0.5331315,0.76656574,0.547542,0.773771,0.57540137,0.78770065,0.6920613,0.84603065,0.5944327,0.79721636,0.6579146,0.8289573,0.70563495,0.8528175,0.7073516,0.85367584
30845,0.6795851,0.83979255,0.62491477,0.8124574,0.58141506,0.7907075,0.6225692,0.8112846,0.6815564,0.84077823,0.8295472,0.9147736,0.7321258,0.8660629,0.7708534,0.8854267,0.7766373,0.88831866,0.8035003,0.90175015
32072,0.7652924,0.8826462,0.7118858,0.8559429,0.7000472,0.8500236,0.685066,0.842533,0.74386317,0.87193155,0.8206195,0.9103098,0.74075985,0.8703799,0.8195125,0.90975624,0.76570636,0.88285315,0.7981738,0.8990869
46443,0.67852545,0.8392627,0.7184398,0.8592199,0.63462937,0.8173147,0.6601356,0.8300678,0.7246853,0.86234266,0.7822324,0.8911162,0.7342202,0.86711013,0.8089155,0.90445775,0.78839386,0.8941969,0.82452214,0.91226107
46506,0.44561893,0.72280943,0.49692875,0.74846435,0.4156888,0.7078444,0.46123195,0.730616,0.4813445,0.74067223,0.53377163,0.7668858,0.48425442,0.7421272,0.57294303,0.7864715,0.6035665,0.80178326,0.5941441,0.79707205
50300,0.69625044,0.8481252,0.68944687,0.84472346,0.6637159,0.8318579,0.60280025,0.8014001,0.74553823,0.8727691,0.8081721,0.90408605,0.7522428,0.8761214,0.77433,0.887165,0.7580827,0.8790413,0.83122253,0.91561127
51419,0.64503026,0.82251513,0.6550779,0.82753897,0.5920939,0.796047,0.6168573,0.80842865,0.6491385,0.8245692,0.72249216,0.8612461,0.7017751,0.85088754,0.7350095,0.8675047,0.7412008,0.8706004,0.7543769,0.87718844
53971,0.6431918,0.8215959,0.61538553,0.80769277,0.5591718,0.7795859,0.55189145,0.7759457,0.6684148,0.8342074,0.72735596,0.863678,0.72818875,0.8640944,0.7181047,0.85905236,0.75371,0.876855,0.7447316,0.87236583
