,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.68826175,0.8441309,0.6629688,0.83148444,0.5856721,0.79283607,0.66522455,0.8326123,0.6982126,0.8491063,0.79439604,0.897198,0.7402582,0.8701291,0.80607593,0.90303797,0.747504,0.873752,0.81744766,0.90872383
6021,0.70636606,0.85318303,0.6645282,0.83226407,0.597247,0.7986235,0.61481726,0.80740863,0.65074474,0.82537234,0.7174922,0.8587461,0.6881563,0.8440782,0.71913135,0.8595657,0.7032511,0.85162556,0.71897423,0.8594871
6026,0.61554396,0.807772,0.62759453,0.81379724,0.50447,0.752235,0.58959854,0.79479927,0.635156,0.81757796,0.6903326,0.8451663,0.6700392,0.8350196,0.70425963,0.8521298,0.6803404,0.8401702,0.7149531,0.8574766
9479,0.7107496,0.8553748,0.63211054,0.8160553,0.5591736,0.7795868,0.590629,0.7953145,0.7072727,0.8536364,0.810523,0.9052615,0.7459594,0.8729797,0.75080913,0.8754046,0.74066234,0.87033117,0.79503334,0.89751667
16980,0.7599579,0.87997895,0.77645993,0.88822997,0.7000412,0.8500206,0.71855974,0.8592799,0.77041566,0.88520783,0.7901058,0.8950529,0.76614434,0.88307214,0.79041255,0.8952063,0.8001317,0.90006584,0.7893783,0.89468914
17014,0.52588975,0.7629449,0.62409997,0.81205,0.49629623,0.7481481,0.535431,0.7677155,0.61067104,0.8053355,0.5632178,0.78160894,0.65131176,0.8256559,0.60209036,0.8010452,0.6842592,0.8421296,0.64910036,0.82455015
18230,0.678295,0.8391475,0.65808535,0.8290427,0.56004083,0.7800204,0.631616,0.815808,0.6998447,0.84992236,0.74626184,0.8731309,0.7105858,0.8552929,0.72547,0.86273503,0.7160697,0.85803485,0.739017,0.8695085
18348,0.67105764,0.83552885,0.6819172,0.8409586,0.57712257,0.7885613,0.6129762,0.8064881,0.72360814,0.86180407,0.8118695,0.90593475,0.7725313,0.88626564,0.79706645,0.8985332,0.79842204,0.89921105,0.8424972,0.9212486
26715,0.7443443,0.8721721,0.701478,0.850739,0.6239712,0.8119856,0.63026875,0.8151344,0.79062104,0.8953105,0.79577523,0.8978876,0.79471236,0.89735615,0.7893592,0.8946796,0.7774596,0.8887298,0.7943212,0.8971606
26747,0.78156084,0.89078045,0.7161215,0.8580607,0.6471122,0.82355607,0.6687931,0.83439654,0.76602364,0.8830118,0.80699915,0.9034996,0.7192944,0.8596472,0.8127777,0.9063889,0.7087052,0.8543526,0.76818854,0.88409424
29788,0.5602149,0.78010744,0.5566171,0.7783085,0.45840785,0.72920394,0.52281976,0.7614099,0.58867645,0.7943382,0.66125894,0.83062947,0.68502486,0.8425124,0.63696337,0.8184817,0.6709807,0.83549035,0.69407463,0.8470373
29835,0.71375316,0.8568766,0.7130714,0.8565357,0.60215974,0.80107987,0.631668,0.815834,0.7181325,0.85906625,0.81052804,0.905264,0.7848529,0.8924265,0.7957251,0.89786255,0.81415707,0.9070785,0.83533645,0.9176682
30606,0.58853143,0.79426575,0.556306,0.778153,0.51594,0.75797,0.5669569,0.78347844,0.6217428,0.81087136,0.7129637,0.85648185,0.6465888,0.8232944,0.6720966,0.8360483,0.71114063,0.8555703,0.713713,0.85685647
