,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.68149656,0.8407483,0.6715352,0.8357676,0.5819788,0.7909894,0.65341234,0.8267062,0.70632905,0.85316455,0.78457594,0.89228797,0.74923986,0.87461996,0.7980932,0.8990466,0.79924905,0.8996245,0.8039079,0.90195394
6021,0.6910578,0.8455289,0.62900716,0.81450355,0.5791755,0.78958774,0.6176224,0.8088112,0.63303065,0.8165153,0.6928227,0.84641135,0.6373765,0.8186883,0.67438877,0.8371944,0.6794673,0.83973366,0.67925906,0.83962953
6026,0.69173855,0.8458693,0.6952014,0.8476007,0.6263898,0.8131949,0.6541313,0.82706565,0.7225301,0.86126506,0.7621026,0.8810513,0.7138969,0.85694844,0.77734494,0.8886725,0.7699866,0.8849933,0.79769534,0.8988477
9479,0.6660377,0.83301884,0.62551475,0.8127574,0.5547931,0.77739656,0.5944812,0.7972406,0.688039,0.84401953,0.76893497,0.8844675,0.7396516,0.86982584,0.72686714,0.8634336,0.74175304,0.87087655,0.767372,0.883686
16980,0.718564,0.859282,0.7582829,0.87914145,0.6777444,0.8388722,0.7128824,0.8564412,0.7306422,0.8653211,0.73661304,0.8683065,0.7234199,0.86170995,0.75515133,0.87757564,0.7706561,0.88532805,0.74919486,0.87459743
17014,0.5297346,0.7648673,0.607154,0.803577,0.472871,0.73643553,0.5164208,0.7582104,0.579417,0.7897085,0.5553691,0.77768457,0.6256773,0.8128387,0.5786124,0.78930616,0.65738857,0.8286943,0.64063656,0.8203183
18230,0.6459663,0.82298315,0.62846357,0.81423175,0.5792334,0.7896167,0.61817145,0.8090857,0.6504159,0.82520795,0.69429225,0.84714615,0.6381874,0.8190937,0.71238697,0.8561935,0.6856088,0.84280443,0.6931279,0.84656394
18348,0.6222502,0.8111251,0.6285753,0.81428766,0.5318234,0.7659117,0.5712073,0.78560364,0.6614035,0.8307017,0.76585495,0.8829275,0.7347298,0.8673649,0.7457597,0.87287986,0.74935794,0.87467897,0.7909014,0.8954507
26715,0.6884519,0.84422594,0.6587982,0.8293991,0.53598386,0.7679919,0.6146147,0.80730736,0.6952562,0.8476281,0.67662656,0.8383133,0.6933653,0.84668267,0.6963978,0.8481989,0.7152455,0.85762274,0.6818084,0.84090424
26747,0.7979132,0.8989566,0.72695863,0.8634793,0.65704215,0.8285211,0.6599257,0.82996285,0.7930556,0.89652777,0.8500006,0.9250003,0.75608826,0.8780441,0.82738954,0.91369474,0.73273015,0.8663651,0.7972852,0.8986426
29788,0.5349771,0.76748854,0.5445512,0.77227557,0.43899396,0.71949697,0.5013048,0.75065243,0.5808398,0.79041994,0.6175039,0.80875194,0.6367978,0.8183989,0.6233418,0.8116709,0.6224482,0.8112241,0.6371726,0.8185863
29835,0.624481,0.8122405,0.6345906,0.8172953,0.52502954,0.76251477,0.56286097,0.7814305,0.6312335,0.8156167,0.72855705,0.86427855,0.70940757,0.8547038,0.70601845,0.8530092,0.74550676,0.8727534,0.74376357,0.8718818
30606,0.52415186,0.7620759,0.49363983,0.7468199,0.45961696,0.72980845,0.50928974,0.7546449,0.5701478,0.7850739,0.67450786,0.8372539,0.6075979,0.8037989,0.62987036,0.8149352,0.65408665,0.8270433,0.67939806,0.83969903
30845,0.7426044,0.8713022,0.701707,0.8508535,0.625857,0.8129285,0.6658076,0.8329038,0.76356745,0.8817837,0.854154,0.927077,0.7534574,0.8767287,0.8284557,0.91422784,0.8013594,0.9006797,0.82177544,0.9108877
32072,0.7646733,0.8823366,0.685207,0.8426035,0.6958091,0.84790456,0.65775985,0.82887995,0.7242696,0.8621348,0.8241457,0.91207284,0.71653485,0.8582674,0.8038828,0.9019414,0.7376212,0.8688106,0.7842907,0.89214534
46443,0.75787157,0.8789358,0.7518487,0.87592435,0.71784246,0.85892123,0.6851737,0.8425869,0.79807556,0.8990378,0.8345288,0.9172644,0.7469772,0.8734886,0.8560566,0.9280283,0.7893686,0.8946843,0.84020853,0.92010427
46506,0.556088,0.778044,0.58850837,0.7942542,0.50579756,0.7528988,0.5168383,0.75841916,0.6109594,0.8054797,0.6914138,0.84570694,0.60393846,0.80196923,0.67927444,0.8396372,0.71840173,0.85920084,0.71075785,0.8553789
50300,0.73829985,0.8691499,0.69286126,0.84643066,0.7092762,0.8546381,0.6307932,0.8153966,0.789995,0.8949975,0.85097855,0.9254893,0.75503886,0.8775194,0.82335854,0.91167927,0.79972094,0.8998605,0.8452138,0.9226069
51419,0.68278384,0.8413919,0.6535101,0.82675505,0.6084921,0.80424607,0.6232307,0.81161535,0.68693054,0.84346527,0.7794845,0.88974226,0.734015,0.8670075,0.7815056,0.8907528,0.73692,0.86846,0.7987529,0.89937645
53971,0.6435082,0.8217541,0.60049856,0.8002493,0.53731626,0.76865816,0.55846953,0.77923477,0.66803026,0.83401513,0.72225714,0.86112857,0.70524675,0.85262334,0.71715826,0.85857916,0.7246338,0.8623169,0.7185981,0.85929906
53972,0.63448846,0.81724423,0.65795875,0.8289794,0.5489588,0.7744794,0.60899717,0.80449855,0.6490246,0.8245123,0.7066169,0.85330844,0.70645326,0.85322666,0.73131096,0.8656555,0.73171896,0.8658595,0.7203183,0.86015916
53973,0.6982782,0.8491391,0.6513722,0.8256861,0.61209476,0.8060474,0.66130936,0.8306547,0.69613254,0.8480663,0.7731211,0.88656056,0.7358906,0.8679453,0.7676112,0.88380563,0.79093766,0.89546883,0.80596954,0.90298474
53974,0.6097908,0.8048954,0.5776345,0.7888173,0.52980673,0.76490337,0.5746332,0.78731656,0.6376382,0.8188191,0.7236372,0.8618186,0.710161,0.8550805,0.6791096,0.8395548,0.7115474,0.8557737,0.7541963,0.87709814
53975,0.6463171,0.82315856,0.57777846,0.7888892,0.564245,0.7821225,0.56412554,0.78206277,0.6435602,0.8217801,0.77203596,0.886018,0.677679,0.83883953,0.68283397,0.84141695,0.7336684,0.86683416,0.737922,0.868961
53976,0.53510475,0.7675524,0.52560234,0.7628012,0.47959125,0.7397956,0.49301124,0.7465056,0.5602595,0.7801298,0.6354734,0.8177367,0.6488961,0.82444805,0.6009469,0.80047345,0.6649965,0.83249825,0.6593569,0.8296784
53977,0.7575963,0.8787981,0.65550804,0.827754,0.60535514,0.8026776,0.6051723,0.80258614,0.7447804,0.8723902,0.82561105,0.91280556,0.76740575,0.8837029,0.7759687,0.88798434,0.75865555,0.8793278,0.80121255,0.9006063
53978,0.6735114,0.8367557,0.62059903,0.8102995,0.58717394,0.79358697,0.56785035,0.7839252,0.7175944,0.8587972,0.80640054,0.90320027,0.6986097,0.84930485,0.73418,0.86709,0.73742926,0.86871463,0.77038443,0.8851922
53979,0.73862714,0.8693136,0.7102677,0.8551339,0.65043473,0.82521737,0.65455645,0.82727826,0.75972515,0.87986255,0.841269,0.9206345,0.7595434,0.8797717,0.8177055,0.90885276,0.77472687,0.88736343,0.7960186,0.8980093
53981,0.6314341,0.81571704,0.6583084,0.8291542,0.54397845,0.7719892,0.6142056,0.8071028,0.6640983,0.83204913,0.6992773,0.84963864,0.71257293,0.85628647,0.71151155,0.8557558,0.70186913,0.85093457,0.7140079,0.8570039
54796,0.6243315,0.81216574,0.586076,0.793038,0.4779873,0.73899364,0.5795417,0.78977084,0.5649706,0.7824853,0.64431345,0.8221567,0.62582743,0.8129137,0.6705448,0.83527243,0.6639614,0.8319807,0.662046,0.831023
54797,0.713806,0.85690296,0.69605434,0.84802717,0.6687859,0.83439296,0.6015244,0.8007622,0.7468936,0.8734468,0.85995525,0.92997766,0.7520222,0.87601113,0.8121716,0.9060858,0.75238085,0.8761904,0.8123491,0.90617454
54798,0.644531,0.8222655,0.66949403,0.834747,0.568305,0.7841525,0.6210379,0.810519,0.6824713,0.84123564,0.7372885,0.86864424,0.6986507,0.84932536,0.732195,0.8660975,0.7779741,0.88898706,0.7583915,0.87919575
54799,0.521871,0.7609355,0.5572519,0.77862597,0.44946465,0.72473234,0.49767083,0.74883544,0.55418587,0.77709293,0.6576488,0.8288244,0.64979666,0.82489836,0.6349168,0.8174584,0.72426414,0.8621321,0.72900116,0.8645006
54800,0.6567227,0.8283614,0.67371416,0.8368571,0.59622735,0.7981137,0.5951017,0.79755086,0.6511057,0.8255528,0.6927031,0.84635156,0.6891842,0.8445921,0.7546551,0.87732756,0.7164906,0.8582453,0.70070076,0.8503504
56453,0.6406491,0.82032454,0.6368355,0.8184178,0.56174135,0.7808707,0.58016574,0.7900829,0.6819992,0.8409996,0.7355307,0.8677653,0.77948403,0.889742,0.6966182,0.8483091,0.7599088,0.8799544,0.76760876,0.8838044
56528,0.6153033,0.80765164,0.59611714,0.79805857,0.4986583,0.74932915,0.5602931,0.78014654,0.64665043,0.8233252,0.72566783,0.8628339,0.73814416,0.8690721,0.68456316,0.8422816,0.73409724,0.8670486,0.7357948,0.8678974
56542,0.69517696,0.8475885,0.68060267,0.84030133,0.6072855,0.80364275,0.6289915,0.81449574,0.7173519,0.85867596,0.8184173,0.90920866,0.7549863,0.87749314,0.80451584,0.9022579,0.7817623,0.8908812,0.81439865,0.9071993
56543,0.59993446,0.7999672,0.5849637,0.79248184,0.5279538,0.76397693,0.5199647,0.75998235,0.6021477,0.80107385,0.640425,0.8202125,0.65851164,0.8292558,0.6523605,0.8261802,0.6707667,0.83538336,0.6469284,0.8234642
56544,0.6655481,0.83277404,0.67122984,0.8356149,0.58907604,0.794538,0.6406002,0.8203001,0.68653804,0.843269,0.7637303,0.88186514,0.7582606,0.8791303,0.76714814,0.88357407,0.7692789,0.88463944,0.81759596,0.908798
56545,0.53455925,0.7672796,0.55946934,0.7797347,0.4457033,0.72285163,0.48389417,0.74194705,0.5000162,0.7500081,0.5213177,0.76065886,0.5433523,0.7716762,0.6154599,0.80772996,0.5743581,0.78717905,0.5323246,0.7661623
56618,0.6700405,0.83502024,0.7258489,0.86292446,0.61773956,0.8088698,0.65800893,0.82900447,0.69145787,0.84572893,0.71226865,0.8561343,0.7106061,0.85530305,0.803813,0.9019065,0.77096117,0.8854806,0.74450815,0.8722541
56619,0.59747654,0.79873824,0.5857796,0.79288983,0.5033387,0.75166935,0.547135,0.7735675,0.60573137,0.8028657,0.70450675,0.8522534,0.6821805,0.84109026,0.6631906,0.8315953,0.69467473,0.84733737,0.7233741,0.86168706
56629,0.7154524,0.8577262,0.66630685,0.8331534,0.60073996,0.80037,0.6429016,0.8214508,0.68765616,0.8438281,0.80755925,0.9037796,0.72553563,0.8627678,0.81453073,0.90726537,0.73662525,0.8683126,0.8060497,0.90302485
56630,0.66984594,0.83492297,0.63037485,0.81518745,0.54234326,0.7711716,0.5851835,0.79259175,0.64768094,0.8238405,0.7413553,0.87067765,0.70519865,0.8525993,0.74553025,0.8727651,0.75316226,0.87658113,0.7672168,0.8836084
56631,0.5944258,0.7972129,0.59114754,0.7955738,0.5119116,0.7559558,0.5754312,0.7877156,0.6193382,0.80966914,0.68074834,0.8403742,0.64949715,0.8247486,0.6798,0.8399,0.71205723,0.8560286,0.7487869,0.87439346
56632,0.6937238,0.8468619,0.6774386,0.8387193,0.61230063,0.8061503,0.6701015,0.83505076,0.6750854,0.8375427,0.7529365,0.87646824,0.7271602,0.8635801,0.7853972,0.8926986,0.7781948,0.8890974,0.7872908,0.8936454
56633,0.67573774,0.83786887,0.6491069,0.8245535,0.5644314,0.7822157,0.61236274,0.8061814,0.67370373,0.83685184,0.6911486,0.84557426,0.7377417,0.86887085,0.7096687,0.8548343,0.6676407,0.83382034,0.71066517,0.8553326
56634,0.559973,0.7799865,0.5629572,0.78147864,0.49098974,0.74549484,0.5323769,0.76618844,0.58470404,0.792352,0.6555921,0.82779604,0.6364646,0.8182323,0.6783185,0.83915925,0.68774784,0.8438739,0.6842265,0.84211326
56635,0.5980128,0.7990064,0.63176244,0.81588125,0.52689344,0.7634467,0.53013784,0.7650689,0.62487614,0.8124381,0.7205256,0.8602628,0.70258236,0.8512912,0.7129705,0.85648525,0.70436716,0.8521836,0.7398935,0.8699467
56637,0.6559148,0.8279574,0.64484555,0.82242274,0.5629797,0.78148985,0.6072052,0.8036026,0.72482824,0.8624141,0.7934124,0.8967062,0.7521541,0.87607706,0.7824421,0.89122105,0.75558245,0.8777912,0.7981748,0.8990874
56638,0.702584,0.851292,0.6820997,0.84104985,0.6196175,0.80980873,0.59624374,0.79812187,0.7317388,0.8658694,0.802994,0.901497,0.78121173,0.89060587,0.7741059,0.88705295,0.7509551,0.87547755,0.80108976,0.9005449
56639,0.5941853,0.7970927,0.5971276,0.79856384,0.53969,0.769845,0.5490344,0.7745172,0.6632471,0.83162355,0.72454405,0.862272,0.7504327,0.87521636,0.7240962,0.8620481,0.7246522,0.8623261,0.7428467,0.87142336
56641,0.6492322,0.8246161,0.60875714,0.80437857,0.5519497,0.77597487,0.58703446,0.79351723,0.6711786,0.8355893,0.7615982,0.8807991,0.74645114,0.87322557,0.7107549,0.85537744,0.72595304,0.86297655,0.7858376,0.8929188
56642,0.6517184,0.8258592,0.62422407,0.81211203,0.56069744,0.7803487,0.5669644,0.7834822,0.6450261,0.82251304,0.7124039,0.85620195,0.72010493,0.86005247,0.69207376,0.8460369,0.7333545,0.8666773,0.7303026,0.8651513
56643,0.71413827,0.85706913,0.6713174,0.83565867,0.6562271,0.82811356,0.6538054,0.8269027,0.67202616,0.8360131,0.70584196,0.852921,0.5993043,0.79965216,0.74400175,0.8720009,0.6968092,0.8484046,0.6708834,0.8354417
56644,0.6704653,0.8352326,0.6322092,0.8161046,0.57403946,0.7870197,0.6047553,0.80237764,0.68204707,0.84102356,0.73622954,0.86811477,0.74048436,0.8702422,0.7357465,0.86787325,0.7247943,0.8623972,0.74716616,0.8735831
56645,0.6653039,0.832652,0.66507304,0.8325365,0.5847695,0.79238474,0.63662773,0.81831384,0.6609445,0.83047223,0.71005815,0.8550291,0.6879318,0.8439659,0.7636338,0.88181686,0.707047,0.8535235,0.7205545,0.86027724
56646,0.52801603,0.76400805,0.54155594,0.77077794,0.4376976,0.7188488,0.5465511,0.77327555,0.52954924,0.7647746,0.5870725,0.79353625,0.58858454,0.7942923,0.58565104,0.7928255,0.64368397,0.82184196,0.6201316,0.8100658
56647,0.6956185,0.84780926,0.7288255,0.8644128,0.645463,0.8227315,0.67155707,0.83577853,0.7280966,0.8640483,0.75050396,0.875252,0.7487193,0.8743596,0.76831406,0.88415706,0.7627993,0.88139963,0.7716831,0.88584155
56648,0.6696293,0.83481467,0.63493836,0.8174692,0.56915903,0.7845795,0.6487509,0.82437545,0.6775203,0.83876014,0.7286117,0.86430585,0.70171344,0.8508567,0.73931205,0.869656,0.7324532,0.8662266,0.7378533,0.86892664
56649,0.6097247,0.8048624,0.63421375,0.81710684,0.51579773,0.75789887,0.5538584,0.7769292,0.6069763,0.80348814,0.67060935,0.8353047,0.61755574,0.80877787,0.65964943,0.8298247,0.68421054,0.84210527,0.67522395,0.837612
56650,0.7301487,0.86507434,0.67752624,0.8387631,0.6119455,0.80597275,0.6209891,0.81049454,0.7429663,0.87148315,0.82144153,0.91072077,0.7748853,0.88744265,0.781008,0.890504,0.7591733,0.87958664,0.8032857,0.90164286
56651,0.62679493,0.81339747,0.5661551,0.78307754,0.54728484,0.7736424,0.5174045,0.7587023,0.6728932,0.83644664,0.79152477,0.8957624,0.6987815,0.84939075,0.7250432,0.8625216,0.71165407,0.85582703,0.7652843,0.88264215
56652,0.7096777,0.85483885,0.7307522,0.8653761,0.59107953,0.79553974,0.6498254,0.82491267,0.745223,0.8726115,0.7897122,0.8948561,0.7688988,0.88444936,0.8019651,0.90098256,0.79493177,0.8974659,0.78507626,0.89253813
56653,0.6686628,0.8343314,0.64970887,0.82485443,0.583115,0.7915575,0.58066463,0.7903323,0.66073525,0.8303676,0.75026023,0.8751301,0.69853485,0.8492674,0.74547076,0.8727354,0.7415695,0.87078476,0.7348279,0.86741394
56654,0.6972483,0.8486241,0.6731014,0.8365507,0.6033198,0.80165994,0.62332106,0.8116605,0.7557516,0.8778758,0.81289506,0.9064475,0.7934371,0.89671856,0.77584064,0.8879203,0.7953126,0.8976563,0.8250037,0.9125018
56656,0.6032398,0.8016199,0.6051742,0.8025871,0.53898746,0.7694937,0.5578568,0.7789284,0.6289183,0.81445915,0.64628303,0.8231415,0.6566373,0.82831866,0.63742566,0.81871283,0.6517842,0.8258921,0.661976,0.830988
56657,0.55926836,0.7796342,0.5185706,0.75928533,0.4748273,0.73741364,0.51602465,0.7580123,0.5793892,0.7896946,0.7115551,0.85577756,0.66343814,0.83171904,0.6444773,0.8222387,0.6650448,0.8325224,0.73073137,0.8653657
56661,0.6938913,0.84694564,0.68254906,0.8412745,0.570385,0.7851925,0.6092787,0.80463934,0.6983663,0.84918314,0.7899246,0.8949623,0.6855545,0.84277725,0.7528963,0.87644815,0.7508794,0.8754397,0.7645422,0.8822711
56662,0.7154926,0.8577463,0.68667495,0.8433375,0.5782834,0.7891417,0.648921,0.8244605,0.6946022,0.8473011,0.8084862,0.9042431,0.7129383,0.85646915,0.7916784,0.8958392,0.80082595,0.900413,0.8230715,0.91153574
56725,0.6471754,0.82358766,0.63207364,0.8160368,0.5745919,0.78729594,0.6233187,0.81165934,0.67044896,0.8352245,0.7438233,0.87191164,0.7329798,0.8664899,0.741983,0.87099147,0.7358769,0.86793846,0.76318634,0.88159317
56795,0.6184035,0.8092017,0.65413785,0.8270689,0.55352724,0.7767636,0.5709826,0.7854913,0.66285,0.831425,0.728107,0.8640535,0.7674527,0.88372636,0.7499151,0.87495756,0.7664349,0.88321745,0.7654666,0.8827333
56796,0.53929645,0.7696482,0.57467365,0.7873368,0.4851912,0.7425956,0.5115986,0.7557993,0.5821807,0.79109037,0.6065545,0.80327725,0.6500703,0.82503515,0.64705384,0.8235269,0.6132043,0.8066021,0.6290985,0.8145492
56797,0.69164246,0.84582126,0.68545043,0.8427252,0.5905926,0.7952963,0.62884164,0.8144208,0.70164776,0.8508239,0.70083356,0.8504168,0.6506877,0.82534385,0.76456684,0.88228345,0.7209355,0.8604678,0.695253,0.8476265
56798,0.6528609,0.82643044,0.6679667,0.83398336,0.5933753,0.79668766,0.60640275,0.8032014,0.6837522,0.8418761,0.7347376,0.8673688,0.7790263,0.88951313,0.7446344,0.8723172,0.74310553,0.87155277,0.7734388,0.8867194
56799,0.5752313,0.78761566,0.5471871,0.77359354,0.4460994,0.7230497,0.51504505,0.7575225,0.59404206,0.79702103,0.66121775,0.83060884,0.6794637,0.8397318,0.6479788,0.8239894,0.64634097,0.8231705,0.68315625,0.8415781
56800,0.6648526,0.8324263,0.63427854,0.81713927,0.56673986,0.7833699,0.6360084,0.8180042,0.6054206,0.8027103,0.63734955,0.8186748,0.5811659,0.79058295,0.6636772,0.8318386,0.6531652,0.8265826,0.62885,0.814425
56801,0.68602,0.84301,0.67960614,0.8398031,0.5919941,0.795997,0.6106185,0.80530924,0.7331603,0.8665801,0.81313014,0.90656507,0.7612365,0.8806182,0.7869778,0.8934889,0.76300013,0.88150007,0.79169893,0.89584947
56802,0.6460397,0.82301986,0.6357752,0.8178876,0.5794195,0.78970975,0.5800929,0.79004645,0.6514312,0.8257156,0.7380494,0.8690247,0.7170038,0.8585019,0.72282875,0.8614144,0.7590325,0.87951624,0.72143704,0.8607185
56803,0.7198266,0.8599133,0.7227291,0.86136454,0.6234317,0.81171584,0.65452135,0.8272607,0.7050786,0.8525393,0.76185834,0.8809292,0.74350995,0.871755,0.79357505,0.8967875,0.75595164,0.8779758,0.78242767,0.89121383
56804,0.71897244,0.8594862,0.7086277,0.85431385,0.6273898,0.8136949,0.655548,0.827774,0.7455122,0.8727561,0.8045328,0.9022664,0.73122287,0.86561143,0.84016514,0.92008257,0.7738323,0.88691616,0.78236127,0.89118063
56805,0.64705956,0.8235298,0.6066755,0.80333775,0.57813454,0.78906727,0.6080622,0.80403113,0.6090134,0.80450666,0.6799616,0.83998084,0.61322165,0.8066108,0.69708407,0.84854203,0.7134298,0.8567149,0.6933332,0.8466666
56807,0.6977482,0.8488741,0.6729301,0.83646506,0.58203375,0.7910169,0.6180202,0.8090101,0.69309634,0.8465482,0.7285767,0.86428833,0.71612376,0.8580619,0.71972346,0.85986173,0.74406505,0.8720325,0.7580497,0.87902486
