,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.67996275,0.8399814,0.64477265,0.8223863,0.58392745,0.7919637,0.6173772,0.80868864,0.7259648,0.8629824,0.81444436,0.90722215,0.7351917,0.86759585,0.79563797,0.897819,0.78133225,0.8906661,0.7939029,0.89695144
6021,0.7013868,0.8506934,0.6487615,0.82438076,0.6048957,0.80244786,0.6455645,0.8227823,0.64825326,0.8241266,0.714092,0.857046,0.6853839,0.84269196,0.7111831,0.85559154,0.7195184,0.8597592,0.7213478,0.8606739
6026,0.5848682,0.7924341,0.62472034,0.81236017,0.5193224,0.7596612,0.6244117,0.81220585,0.6154984,0.8077492,0.6770867,0.83854336,0.6517402,0.8258701,0.7100649,0.85503244,0.7163344,0.8581672,0.7174752,0.8587376
9479,0.7030066,0.8515033,0.6557795,0.82788974,0.5725955,0.78629774,0.588693,0.7943465,0.7294184,0.8647092,0.78981245,0.8949062,0.78535736,0.8926787,0.76519954,0.8825998,0.7456856,0.8728428,0.7989417,0.8994708
16980,0.77099574,0.88549787,0.7631632,0.8815816,0.7028544,0.8514272,0.7166127,0.85830635,0.7679322,0.8839661,0.8014198,0.90070987,0.7691866,0.8845933,0.7947954,0.8973977,0.81712705,0.9085635,0.8334577,0.91672885
17014,0.5358149,0.76790744,0.6274503,0.8137251,0.4823091,0.74115455,0.5388692,0.7694346,0.5940164,0.79700816,0.5559828,0.7779914,0.62905484,0.8145274,0.5980679,0.79903394,0.67252016,0.8362601,0.64192796,0.820964
18230,0.7075888,0.8537944,0.7170268,0.8585134,0.6140231,0.80701154,0.64878,0.82439,0.71125275,0.85562634,0.709812,0.85490596,0.697863,0.8489315,0.7495804,0.8747902,0.71156704,0.8557835,0.7139007,0.85695034
18348,0.63852334,0.81926167,0.650708,0.825354,0.5520412,0.7760206,0.5886332,0.7943166,0.6691084,0.8345542,0.77307713,0.88653857,0.7446756,0.8723378,0.75935006,0.87967503,0.7678668,0.8839334,0.795207,0.8976035
26715,0.70136297,0.8506815,0.680004,0.840002,0.54876506,0.77438253,0.61908245,0.8095412,0.71835804,0.859179,0.70216775,0.8510839,0.73697233,0.86848617,0.7269863,0.86349314,0.7220534,0.8610267,0.6992103,0.84960514
26747,0.7985032,0.8992516,0.7253916,0.8626958,0.6661686,0.8330843,0.65024203,0.82512105,0.8080361,0.90401804,0.86322457,0.93161225,0.7791612,0.8895806,0.8414689,0.9207344,0.73457265,0.8672863,0.80785865,0.90392935
29788,0.5575393,0.7787696,0.535155,0.7675775,0.45053297,0.72526646,0.49096,0.74548,0.59692323,0.7984616,0.6727528,0.8363764,0.67142963,0.8357148,0.623361,0.8116805,0.6491995,0.82459974,0.6844468,0.8422234
29835,0.64503515,0.8225176,0.63170147,0.81585073,0.53278154,0.7663908,0.5786103,0.78930515,0.63912845,0.8195642,0.7505053,0.87525266,0.7109368,0.8554684,0.70413774,0.8520689,0.7340528,0.8670264,0.74332964,0.8716648
30606,0.6563854,0.8281927,0.594671,0.7973355,0.5572183,0.77860916,0.5974653,0.79873264,0.6845513,0.8422756,0.75877595,0.879388,0.671421,0.8357105,0.7292776,0.8646388,0.72598976,0.8629949,0.7345743,0.86728716
30845,0.7469591,0.87347955,0.71997035,0.8599852,0.6295152,0.8147576,0.66710085,0.83355045,0.76036465,0.8801823,0.8399536,0.91997683,0.7606223,0.88031113,0.82258236,0.9112912,0.81309974,0.9065499,0.81762546,0.90881276
32072,0.73975515,0.8698776,0.6851101,0.84255505,0.65898955,0.8294948,0.64465153,0.82232577,0.70764816,0.8538241,0.79433334,0.89716667,0.70251733,0.85125864,0.79563725,0.8978186,0.7315553,0.8657776,0.7533495,0.8766748
46443,0.7508388,0.8754194,0.75716174,0.87858087,0.7134429,0.85672146,0.6904541,0.84522706,0.79707336,0.8985367,0.82707596,0.913538,0.75773907,0.87886953,0.8562417,0.92812085,0.799942,0.899971,0.84478617,0.9223931
46506,0.5132382,0.7566191,0.55481714,0.7774086,0.4838025,0.7419013,0.50343585,0.7517179,0.57287085,0.7864354,0.6438942,0.8219471,0.5790128,0.78950644,0.6658212,0.8329106,0.69493574,0.8474679,0.67591906,0.8379595
50300,0.7105206,0.8552603,0.6817989,0.84089947,0.68362105,0.8418105,0.62634754,0.8131738,0.7467233,0.87336165,0.8232273,0.91161364,0.71860427,0.85930216,0.79233503,0.8961675,0.7854474,0.8927237,0.8214947,0.91074735
51419,0.72064567,0.86032283,0.67700917,0.83850455,0.61178845,0.80589426,0.6098324,0.8049162,0.72205174,0.86102587,0.8097709,0.9048854,0.7714094,0.8857047,0.781671,0.8908355,0.77037024,0.8851851,0.8276808,0.9138404
53971,0.6575649,0.82878244,0.614213,0.8071065,0.5362488,0.7681244,0.5658747,0.78293735,0.6856576,0.8428288,0.7430036,0.8715018,0.74196315,0.8709816,0.7240138,0.8620069,0.7473173,0.87365866,0.7562374,0.8781187
53972,0.62363994,0.81182,0.6093987,0.80469936,0.5327785,0.76638925,0.5782052,0.7891026,0.62288153,0.81144077,0.7179111,0.85895556,0.6825599,0.84128,0.71567035,0.8578352,0.7267593,0.86337966,0.72392434,0.8619622
53973,0.70559394,0.852797,0.6306688,0.81533444,0.62034154,0.81017077,0.6416462,0.8208231,0.70367527,0.85183764,0.82354033,0.91177016,0.74202895,0.8710145,0.7720405,0.88602024,0.7956179,0.8978089,0.8342176,0.9171088
53974,0.59961915,0.7998096,0.5780087,0.7890043,0.5263632,0.76318157,0.5805724,0.7902862,0.6379884,0.81899416,0.69158435,0.8457922,0.6930524,0.8465262,0.67457736,0.8372887,0.69578326,0.8478916,0.7241707,0.86208534
53975,0.63764584,0.8188229,0.59895873,0.79947937,0.55740666,0.77870333,0.5764235,0.78821176,0.64811987,0.82405996,0.7683581,0.88417906,0.6976392,0.8488196,0.69228053,0.84614027,0.73414576,0.8670729,0.7497799,0.87488997
53976,0.55294764,0.7764738,0.53783906,0.7689195,0.4835215,0.74176073,0.495407,0.7477035,0.56939256,0.7846963,0.6561506,0.8280753,0.6553015,0.8276508,0.6139253,0.8069626,0.6840664,0.8420332,0.67771685,0.8388584
53977,0.710521,0.8552605,0.6420092,0.8210046,0.565998,0.78299904,0.6013705,0.8006853,0.69119513,0.84559757,0.7734472,0.88672364,0.7404326,0.8702163,0.74717486,0.8735874,0.756042,0.878021,0.7568734,0.8784367
53978,0.6892357,0.84461784,0.65642685,0.82821345,0.5950891,0.79754454,0.58439994,0.79219997,0.7399373,0.86996865,0.80448425,0.9022421,0.73999417,0.8699971,0.75509465,0.8775473,0.7447573,0.87237865,0.7990811,0.89954054
53979,0.7351209,0.86756045,0.6843876,0.84219384,0.61652595,0.80826294,0.63554096,0.8177705,0.7459842,0.8729921,0.8249994,0.91249967,0.7433792,0.87168956,0.79261005,0.896305,0.7642687,0.8821343,0.780388,0.890194
53981,0.6197246,0.80986226,0.62612087,0.8130604,0.5377933,0.76889664,0.60293496,0.8014675,0.63813096,0.81906545,0.7211294,0.8605647,0.7035334,0.8517667,0.7158973,0.85794866,0.72973454,0.86486727,0.7244,0.8622
54796,0.603443,0.8017215,0.59283566,0.79641783,0.49150336,0.7457517,0.5609854,0.78049266,0.5466211,0.77331054,0.6239759,0.81198794,0.603825,0.8019125,0.67476475,0.8373824,0.65671706,0.82835853,0.6390167,0.8195083
54797,0.71439254,0.8571963,0.6897742,0.84488714,0.6670909,0.83354545,0.5997927,0.79989636,0.7486689,0.87433445,0.8583656,0.92918277,0.752457,0.8762285,0.8095331,0.90476656,0.75201213,0.87600607,0.81651807,0.90825903
54798,0.6650673,0.83253366,0.69355404,0.846777,0.5716941,0.78584707,0.6247635,0.81238174,0.70739377,0.8536969,0.7542578,0.8771289,0.7463571,0.87317854,0.7469397,0.8734698,0.8064116,0.9032058,0.78154147,0.89077073
54799,0.5445427,0.77227134,0.5674898,0.78374493,0.46037883,0.73018944,0.5288084,0.7644042,0.569734,0.784867,0.6396569,0.81982845,0.6390257,0.81951284,0.6356643,0.8178321,0.70156264,0.8507813,0.7158341,0.8579171
54800,0.6791812,0.8395906,0.7009572,0.8504786,0.5908242,0.79541206,0.6155712,0.80778563,0.68210804,0.841054,0.71602297,0.8580115,0.72330123,0.8616506,0.78011745,0.89005876,0.7435274,0.8717637,0.72659457,0.8632973
56453,0.65316254,0.82658124,0.6605577,0.8302789,0.5859896,0.7929948,0.601232,0.800616,0.7082833,0.85414165,0.7496753,0.87483764,0.7897073,0.89485365,0.7184055,0.85920274,0.7912037,0.89560187,0.792199,0.8960995
56528,0.5847161,0.79235804,0.5161135,0.75805676,0.46161127,0.73080564,0.544556,0.772278,0.57771814,0.78885907,0.6547184,0.8273592,0.6414249,0.82071245,0.6096835,0.80484176,0.6562076,0.8281038,0.6420926,0.8210463
56542,0.67343503,0.8367175,0.6133208,0.8066604,0.5686661,0.78433305,0.59255993,0.79627997,0.6884941,0.84424704,0.78268594,0.891343,0.7257216,0.8628608,0.7688457,0.88442284,0.7175997,0.8587998,0.76626205,0.883131
56543,0.5452792,0.77263963,0.5220061,0.761003,0.45049098,0.7252455,0.4816744,0.7408372,0.5337088,0.7668544,0.58231395,0.791157,0.61463964,0.8073198,0.59185684,0.7959284,0.61565924,0.8078296,0.6045108,0.8022554
56544,0.6701504,0.8350752,0.65455365,0.8272768,0.5807598,0.7903799,0.61019814,0.80509907,0.6934562,0.8467281,0.7815451,0.8907726,0.7572056,0.8786028,0.75580424,0.87790215,0.7720128,0.8860064,0.8187131,0.9093566
56545,0.60765964,0.8038298,0.66401064,0.8320053,0.53838515,0.7691926,0.5673321,0.783666,0.60809565,0.8040478,0.59262884,0.7963144,0.62559533,0.81279767,0.6916535,0.84582675,0.68415993,0.84208,0.6279381,0.813969
56618,0.6375923,0.81879616,0.6790366,0.8395183,0.5646814,0.7823407,0.62692404,0.813462,0.6484171,0.82420856,0.68458635,0.84229314,0.69572127,0.84786063,0.76634955,0.8831748,0.7607132,0.8803566,0.7326074,0.8663037
56619,0.5944135,0.79720676,0.58937144,0.7946857,0.5022317,0.75111586,0.54832137,0.7741607,0.60669684,0.8033484,0.70364654,0.8518233,0.68491095,0.8424555,0.66806686,0.8340334,0.69982576,0.8499129,0.73003936,0.8650197
56629,0.70028746,0.85014373,0.66696703,0.8334835,0.591365,0.7956825,0.6467441,0.823372,0.71153283,0.8557664,0.823617,0.9118085,0.74294466,0.87147236,0.8193244,0.9096622,0.75934625,0.8796731,0.8176328,0.9088164
56630,0.67770064,0.8388503,0.66281843,0.8314092,0.579026,0.789513,0.62114096,0.8105705,0.6595501,0.82977504,0.7338102,0.8669051,0.7214005,0.86070025,0.75125146,0.8756257,0.75856626,0.87928313,0.7640871,0.88204354
56631,0.5811577,0.79057884,0.6324425,0.81622124,0.5168767,0.75843835,0.6072953,0.80364764,0.6446892,0.8223446,0.6512039,0.82560194,0.6646738,0.8323369,0.6970973,0.84854865,0.6946691,0.84733456,0.715079,0.85753953
56632,0.718115,0.8590575,0.6862474,0.8431237,0.62697446,0.81348723,0.66682947,0.83341473,0.7090013,0.85450065,0.8002862,0.9001431,0.7595023,0.87975115,0.80091345,0.9004567,0.767076,0.883538,0.80907655,0.9045383
56633,0.7013488,0.8506744,0.67106974,0.8355349,0.6021135,0.80105674,0.6239911,0.8119955,0.7063474,0.85317373,0.75323737,0.8766187,0.7643624,0.88218117,0.7418182,0.8709091,0.7393821,0.869691,0.76924,0.88462
56634,0.48555207,0.74277604,0.49048826,0.74524415,0.42998123,0.7149906,0.43227908,0.71613955,0.5216134,0.7608067,0.6089857,0.80449283,0.6010582,0.8005291,0.5801141,0.79005706,0.6358532,0.8179266,0.6285137,0.81425685
56635,0.5743097,0.78715485,0.61790556,0.8089528,0.56322426,0.78161216,0.539199,0.7695995,0.59616804,0.798084,0.68901527,0.84450763,0.6659481,0.8329741,0.6900522,0.84502614,0.6832242,0.8416121,0.7087951,0.85439754
56637,0.6112492,0.8056246,0.60075355,0.8003768,0.51994574,0.7599729,0.6121881,0.80609405,0.64646673,0.82323337,0.7076609,0.85383046,0.6809789,0.84048945,0.7308079,0.86540395,0.68786347,0.84393173,0.7163918,0.8581959
56638,0.71992874,0.8599644,0.68140066,0.8407003,0.6105849,0.8052925,0.6036692,0.8018346,0.73232055,0.8661603,0.80844593,0.90422297,0.7660448,0.8830224,0.76780653,0.88390326,0.73283815,0.8664191,0.80239046,0.9011952
56639,0.5317553,0.76587766,0.5427561,0.77137804,0.47929072,0.73964536,0.49255794,0.746279,0.5958684,0.7979342,0.69266677,0.8463334,0.6962818,0.8481409,0.64741313,0.82370657,0.6876854,0.8438427,0.71928036,0.8596402
56641,0.624348,0.81217396,0.57550573,0.78775287,0.5275084,0.7637542,0.5706819,0.78534096,0.64527714,0.8226386,0.7486615,0.87433076,0.7198148,0.8599074,0.6980275,0.84901375,0.7131091,0.8565545,0.7758598,0.8879299
56642,0.6159252,0.8079626,0.5880276,0.7940138,0.52567375,0.7628369,0.5375298,0.7687649,0.6219626,0.8109813,0.7037803,0.85189015,0.71545434,0.85772717,0.68077385,0.8403869,0.7140476,0.85702384,0.71978164,0.8598908
56643,0.7519447,0.8759724,0.6799511,0.83997554,0.67200816,0.8360041,0.67124045,0.8356202,0.68702507,0.84351254,0.72420025,0.8621001,0.61131513,0.80565757,0.75025636,0.87512815,0.7191801,0.85959005,0.6864477,0.8432238
