,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.7046617,0.85233086,0.66575885,0.8328794,0.6381713,0.81908566,0.6306807,0.81534034,0.7459067,0.87295336,0.810485,0.9052425,0.7572484,0.8786242,0.8152207,0.90761036,0.7836346,0.89181733,0.8105464,0.9052732
6021,0.6610703,0.8305352,0.5943934,0.7971967,0.5768331,0.78841656,0.5860081,0.79300404,0.60490966,0.8024548,0.72743785,0.8637189,0.65147495,0.8257375,0.6801766,0.8400883,0.69672537,0.8483627,0.71703553,0.85851777
6026,0.5563737,0.77818686,0.5920648,0.7960324,0.47060242,0.7353012,0.55262095,0.77631044,0.5815369,0.79076844,0.66372585,0.8318629,0.6503489,0.82517445,0.6747024,0.8373512,0.6728822,0.8364411,0.6872593,0.84362966
9479,0.69796777,0.8489839,0.6612632,0.8306316,0.57327604,0.786638,0.621042,0.810521,0.71224535,0.8561227,0.80063796,0.900319,0.77124536,0.8856227,0.76518893,0.88259447,0.7660092,0.8830046,0.8310909,0.91554546
16980,0.76255906,0.8812795,0.76664054,0.8833203,0.7026428,0.8513214,0.7253455,0.86267275,0.76098776,0.8804939,0.7865167,0.89325833,0.7574909,0.87874544,0.7806772,0.8903386,0.81761265,0.9088063,0.8102437,0.90512186
17014,0.49073267,0.74536633,0.5965717,0.79828584,0.46336743,0.73168373,0.504038,0.752019,0.57723844,0.7886192,0.5096166,0.7548083,0.6061684,0.8030842,0.5720632,0.7860316,0.65394497,0.8269725,0.6027591,0.80137956
18230,0.6619894,0.8309947,0.6567316,0.8283658,0.55841076,0.7792054,0.5981542,0.7990771,0.6794313,0.83971566,0.74378633,0.87189317,0.72719663,0.86359835,0.7421471,0.87107354,0.7279643,0.86398214,0.7389879,0.86949396
18348,0.6571473,0.82857364,0.68254244,0.8412712,0.5911459,0.79557294,0.6191564,0.8095782,0.69289947,0.84644973,0.79056376,0.8952819,0.7420405,0.87102026,0.79829043,0.89914525,0.7972606,0.89863026,0.83009934,0.9150497
26715,0.7586816,0.87934077,0.721997,0.8609985,0.6449183,0.82245916,0.6535745,0.82678723,0.794844,0.89742196,0.7924471,0.89622355,0.78054893,0.89027447,0.8003768,0.9001884,0.7823864,0.8911932,0.7893797,0.89468986
26747,0.8327832,0.9163916,0.7333752,0.8666876,0.7110951,0.85554755,0.68950963,0.8447548,0.79425687,0.89712846,0.87168145,0.9358407,0.74683917,0.8734196,0.84518576,0.9225929,0.75967944,0.8798397,0.83076286,0.91538143
29788,0.5247327,0.76236635,0.5230544,0.7615272,0.4473269,0.72366345,0.5014721,0.75073606,0.5513277,0.77566385,0.60687506,0.80343753,0.61367434,0.8068372,0.58445525,0.7922276,0.61501986,0.8075099,0.6326674,0.8163337
29835,0.6664532,0.83322656,0.6496484,0.8248242,0.5655356,0.7827678,0.5982729,0.79913646,0.6690588,0.8345294,0.7743404,0.8871702,0.7430626,0.8715313,0.7647753,0.88238764,0.7469681,0.873484,0.7921498,0.8960749
30606,0.67541337,0.8377067,0.58446765,0.7922338,0.5541732,0.7770866,0.5582187,0.77910936,0.6846923,0.8423462,0.83354163,0.9167708,0.7011281,0.85056406,0.7209714,0.8604857,0.7361746,0.8680873,0.7954693,0.89773464
