,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.734486,0.867243,0.6966064,0.8483032,0.63936853,0.81968427,0.6546525,0.82732624,0.7528079,0.8764039,0.84435344,0.9221767,0.7879456,0.8939728,0.8187464,0.90937316,0.80489624,0.9024481,0.87063605,0.935318
6021,0.6683068,0.8341534,0.6039584,0.8019792,0.5838872,0.7919436,0.5800258,0.7900129,0.6074889,0.80374444,0.70994234,0.8549712,0.6399808,0.8199904,0.6602602,0.8301301,0.688999,0.84449947,0.6798396,0.8399198
6026,0.6340653,0.81703264,0.6223522,0.81117606,0.5433762,0.7716881,0.5950446,0.7975223,0.68263406,0.84131706,0.75399375,0.8769969,0.73041743,0.86520875,0.7363911,0.86819553,0.6981477,0.8490739,0.7611383,0.88056916
9479,0.6534444,0.8267222,0.6177974,0.8088987,0.52066016,0.7603301,0.5813281,0.7906641,0.66585803,0.832929,0.75214887,0.87607443,0.7346927,0.86734635,0.73214257,0.8660713,0.72630554,0.86315274,0.7747179,0.88735896
16980,0.70498264,0.8524913,0.74595165,0.8729758,0.66599834,0.83299917,0.716105,0.8580525,0.7249639,0.86248195,0.7239045,0.86195225,0.7320726,0.8660363,0.75496215,0.8774811,0.77335906,0.88667953,0.7563962,0.8781981
17014,0.4750136,0.7375068,0.5815624,0.7907812,0.47784388,0.73892194,0.5015984,0.7507992,0.53362304,0.7668115,0.45088696,0.7254435,0.55097544,0.7754877,0.53218615,0.7660931,0.60521686,0.80260843,0.558219,0.7791095
18230,0.7542242,0.8771121,0.7059678,0.8529839,0.62814915,0.8140746,0.6640961,0.83204806,0.7374739,0.868737,0.8011656,0.9005828,0.7299093,0.86495465,0.7968844,0.8984422,0.7382475,0.86912376,0.7830951,0.89154756
18348,0.6484158,0.8242079,0.67436266,0.8371813,0.58390135,0.7919507,0.6124474,0.8062237,0.6897148,0.8448574,0.78530824,0.8926541,0.7461604,0.8730802,0.78787494,0.89393747,0.79239756,0.89619875,0.83097523,0.91548765
26715,0.73165953,0.86582977,0.7024923,0.8512461,0.6228038,0.8114019,0.67315924,0.8365796,0.7560722,0.87803614,0.7490885,0.87454426,0.7378955,0.86894774,0.7765595,0.88827974,0.7661706,0.8830853,0.7642337,0.88211685
26747,0.78478587,0.89239293,0.71818763,0.8590938,0.67883605,0.83941805,0.6710837,0.83554184,0.7767278,0.8883639,0.85649836,0.9282492,0.75229347,0.87614673,0.8240342,0.9120171,0.7654526,0.8827263,0.82242143,0.9112107
29788,0.52138174,0.76069087,0.518789,0.7593945,0.42715025,0.7135751,0.47535813,0.73767906,0.555596,0.777798,0.6087254,0.8043627,0.6242863,0.81214315,0.5976,0.7988,0.6192992,0.8096496,0.6410284,0.8205142
29835,0.6552352,0.8276176,0.644631,0.8223155,0.5419967,0.77099836,0.591756,0.795878,0.6515225,0.82576126,0.75775695,0.8788785,0.72837055,0.8641853,0.7320226,0.86601126,0.75480133,0.87740064,0.763023,0.8815115
30606,0.7025746,0.8512873,0.6084595,0.80422974,0.5764994,0.78824973,0.5976058,0.7988029,0.6879531,0.84397656,0.82753813,0.91376907,0.6943519,0.84717596,0.7542255,0.87711275,0.72482,0.86241,0.77744305,0.8887215
30845,0.7572692,0.8786346,0.72460777,0.86230385,0.6632919,0.83164597,0.6825998,0.8412999,0.7475735,0.87378675,0.83441854,0.91720927,0.7474742,0.8737371,0.8297092,0.9148546,0.8234507,0.91172534,0.83080333,0.9154017
