,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.6786154,0.83930767,0.6673044,0.8336522,0.5934083,0.7967042,0.66323113,0.83161557,0.7122258,0.8561129,0.7697376,0.8848688,0.72922593,0.86461294,0.79696727,0.89848363,0.7568134,0.8784067,0.7836628,0.8918314
6021,0.7225698,0.8612849,0.6574376,0.8287188,0.58105075,0.7905254,0.6195199,0.80976,0.66752005,0.83376,0.7715466,0.8857733,0.7014963,0.8507482,0.7471733,0.87358665,0.74073184,0.8703659,0.7647211,0.8823606
6026,0.60098374,0.80049187,0.6532142,0.8266071,0.53426456,0.7671323,0.59059787,0.79529893,0.6475644,0.8237822,0.7293519,0.86467594,0.7216465,0.8608233,0.72645164,0.8632258,0.7372193,0.86860967,0.77193546,0.88596773
9479,0.6643131,0.83215654,0.6315986,0.8157993,0.54924065,0.7746203,0.60701925,0.8035096,0.6748626,0.8374313,0.7535902,0.8767951,0.73581064,0.8679053,0.7498512,0.8749256,0.7535102,0.8767551,0.7950436,0.8975218
16980,0.7557136,0.8778568,0.7898885,0.89494425,0.7115754,0.8557877,0.74554473,0.87277234,0.76479125,0.8823956,0.7664904,0.8832452,0.7522255,0.87611276,0.7890536,0.89452684,0.8199204,0.9099602,0.80247414,0.9012371
17014,0.49454528,0.7472726,0.61084175,0.8054209,0.47099498,0.7354975,0.5005413,0.75027066,0.58086205,0.790431,0.5136094,0.7568047,0.6124361,0.806218,0.57307863,0.7865393,0.6506717,0.82533586,0.6002576,0.8001288
18230,0.72299147,0.86149573,0.68626463,0.8431323,0.5884265,0.79421324,0.6143551,0.80717754,0.7247216,0.86236084,0.75602555,0.8780128,0.7181818,0.8590909,0.7449323,0.87246615,0.70762223,0.85381114,0.7458331,0.8729166
18348,0.6490934,0.8245467,0.67682856,0.8384143,0.5775715,0.78878576,0.6083182,0.8041591,0.68815476,0.84407735,0.78084266,0.89042133,0.742429,0.8712145,0.7900916,0.89504576,0.7886945,0.89434725,0.82887954,0.9144398
26715,0.72032857,0.8601643,0.69133604,0.845668,0.5984417,0.79922086,0.6495353,0.82476765,0.73866963,0.8693348,0.7382792,0.8691396,0.747187,0.8735935,0.76049066,0.8802453,0.75186765,0.8759338,0.74562263,0.8728113
26747,0.8134786,0.9067393,0.71956545,0.8597827,0.674392,0.837196,0.66950667,0.83475333,0.77846754,0.88923377,0.8698047,0.9349023,0.76363003,0.881815,0.83365643,0.9168282,0.7649703,0.88248515,0.8311651,0.91558254
29788,0.5426904,0.7713452,0.5381024,0.7690512,0.438566,0.719283,0.5061502,0.7530751,0.57221854,0.78610927,0.63249123,0.8162456,0.6412323,0.8206161,0.6092501,0.80462503,0.6328052,0.8164026,0.65778995,0.828895
29835,0.6696009,0.8348005,0.6524439,0.82622194,0.55874467,0.77937233,0.5994221,0.79971105,0.6784102,0.8392051,0.7820098,0.8910049,0.75344896,0.8767245,0.76248276,0.8812414,0.7529712,0.8764856,0.8028202,0.9014101
