,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6018,"# Web & UX/UI Designer

## Skills

Wireframing | Visual Design | User Research | Responsive Design | User Flow Development | Interactive Design Elements | Brand Identity Implementation | UX/UI Design

## Professional Experience

**UX/UI Designer | Pet-Saver-Hub**

Designed user-friendly interface for web service connecting lost and found animals. Conducted user research to identify key pain points in pet recovery process. Created detailed user flows and wireframes ensuring intuitive navigation. Incorporated interactive map feature enabling users to locate lost or found pets by area. Developed interface with streamlined search functionality for lost and found pets.

**Web Designer | Children's Music School Website Redesign**

Conducted comprehensive analysis of existing website to identify strengths and weaknesses. Created detailed wireframe for new landing page including news block and call to action. Developed visual design focused on user experience and navigation. Ensured color scheme and typography aligned with school's brand identity. Implemented responsive design principles for optimal display across all devices. Delivered visually appealing landing page with easily accessible information.

## Professional Goals

Develop UI/UX design skills through meaningful projects that positively impact users' lives. Collaborate with experienced professionals to expand knowledge and expertise in challenging projects that foster creative growth. Stay current with design technologies and trends while collecting and incorporating user feedback to continuously improve user experience. Deliver high-quality design work through creativity, attention to detail, effective communication, and teamwork."
6021,"**PROFESSIONAL SUMMARY**

Over 50 Websites | More than 30 Logotypes | 4 Mobile Apps | 3 Games | 1 Social Network

---

**PROFESSIONAL EXPERIENCE**

**Head of Design Department**  
Facility, Kiev  
Mar 2018 - Present

Lead design team operations and optimize workflows across multiple project types. Design and develop concepts for websites, brands, and digital products including UI/UX, animations, logotypes, logo books, brand guidelines, and brandbooks. Direct tenders and offline company initiatives.

• Published on medium.com, mmr.ua, cases.media, vc.ru  
• Judge for CSSDA and Ukraine Creative Week  
• Delivered educational lectures at Underhub co-working

**Designer**  
Kiev Smart City, Kiev

Developed concept and final product visualization for Kiev Smart Card. Created concepts for dynamic city advertisements.

**Designer**  
Mastercard, Kiev

Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Developed brand activation program concept for Ukraine Independence Day 2018.

**Designer**  
Stampede Games, Kiev

Developed visual concepts, UI, and concept art for mobile games. Contributed to top-charting games:
• Evo Explores  
• .projekt.."
6026,"# PROFESSIONAL SUMMARY

Design professional with 12+ years of experience delivering 300+ projects across product design, mobile applications, websites, and brand identity. Former studio owner and CEO with team management and leadership experience. Master's degree in Engineering Design. Currently pursuing MBA.

# CORE COMPETENCIES

Product Design • Mobile Applications • Web Design • Brand Identity • Team Leadership • User Experience Design • User Interface Design • Visual Design • Design Systems • Prototyping • Design Education • Public Speaking • HTML5 • CSS3 • TypeScript • Vue.js • Python • Swift

# PROFESSIONAL EXPERIENCE

**UX Designer** | Confidential (NDA) | 2022

**UX Designer** | Bank BVR | 2021

**Lead Product Designer** | Innovation Box | 2020

**UI/UX Design Teacher** | Hillel IT School | 2020
Taught 150+ students in UI/UX and brand design

**UI/UX & Brand Designer** | Ardas | 2019

**UI/UX & Brand Designer** | M2E Pro | 2017

**UI/UX & Brand Designer** | Forforce | 2016

**UI/UX & Brand Designer** | Art. Lebedev Studio | 2015

**CEO & Designer** | Own Design Studio | 2014
Founded and managed 20-person design studio

**UI/UX & Brand Designer** | Poster | 2013

**UI/UX & Brand Designer** | le Weekend | 2012

**UI/UX & Brand Designer** | November Design Bureau | 2011

**Graphic Designer** | Freelance | 2006

# KEY ACHIEVEMENTS

• Delivered 300+ projects including 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate brand identities
• Founded and scaled design studio to 20-person team as CEO
• Educated 150+ students in UI/UX and brand design
• Presented at Dribbble and industry conferences

# EDUCATION

**Master of Business Administration (MBA)** | In Progress

**Master's Degree in Engineering Design**

**Drawing School** | 1999

# INDUSTRY EXPERTISE

eCommerce • Finance • Banking • Investments • Marketing • Social Media • Law • Education • Development • NFT • Art • Automotive • Gaming • Construction • Agriculture • Food & Beverage • Coffee • Fashion • Beauty • Services • Music • Dance • MMA • Medicine • Space • Adult Entertainment • Sports • Technology • Defense • Insurance

# INTERNATIONAL EXPERIENCE

USA • United Kingdom • Germany • Netherlands • Italy • France • Greece • Estonia • Australia • China • Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Graphic Designer with expertise in brand identity, digital design, and UI/UX. Proven track record delivering key visuals, social media materials, and print collateral across diverse industries. Skilled leader with experience managing design teams, driving company-wide redesign initiatives, and implementing cohesive visual systems across multiple platforms. Proficient in 3D design integration and user-centered design principles.

**CORE COMPETENCIES**

Brand Identity & Logo Design • Key Visual Design • UI/UX Design • Social Media Marketing Design • Print Production & Prepress Operations • 3D Design Integration • Team Leadership & Management • Multi-page Catalog & Brochure Design • Website Design • DTP Design

**TECHNICAL SKILLS**

Expert: Adobe Photoshop, Adobe Illustrator
Proficient: Adobe InDesign, Figma
Working Knowledge: Blender, After Effects

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer | QA Madness**
November 2022 - Present

• Lead company-wide global redesign initiative, establishing unified brand vision across all channels
• Redesign corporate website to align with evolved brand identity and contemporary visual standards
• Develop and implement cohesive visual style for company presentations, elevating brand consistency
• Design social media content for LinkedIn and Instagram, creating distinctive brand presence
• Design company profile page for DOU platform
• Enhance visual communications through integration of custom 3D design elements
• Manage team of two junior designers

**Graphic Designer | Kronas**
August 2020 - February 2022

• Conceptualize and execute logos, brand identities, and complete printing collateral for new company brands
• Produce 3-6 monthly advertising key visuals deployed across website, social networks, and print media
• Transform Instagram profile through introduction and implementation of cohesive new visual style
• Design and produce multi-page product catalogs and brochures in InDesign
• Refresh YouTube channel branding including custom video covers
• Create custom branded sticker pack for Telegram and Viber messaging platforms
• Design comprehensive trade hall experience including branded stands and wayfinding navigation system

**Graphic Designer | Design Studio ToTop**
October 2019 - August 2020

• Deliver tailored design solutions for clients across diverse industries
• Create logos and comprehensive brand identities
• Design outdoor advertising campaigns including roadside billboards, citylights, and vehicle wraps
• Produce photorealistic product visualizations using advanced Photoshop techniques
• Design print collateral including calendars, business cards, postcards, and stickers
• Produce multi-page catalogs and brochures
• Execute complete 16-page brochure project—from concept through final print production—in one working day

**EDUCATION & PROFESSIONAL DEVELOPMENT**

UI/UX Design Course | Beetroot Academy
Focused on user-centered design and user experience principles."
16980,"**Depositphotos | Content Researcher**

Researched and created content including collections and PowerPoints for client advertisements, email distribution, and direct publication on the official Depositphotos website. Collaborated with content managers to analyze development and metrics. Organized advertisements for influencers and major clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Utilized Jira and CRM systems to streamline workflow management. Managed localized content to ensure alignment with brand tone of voice and product style.

**Depositphotos | Contributor Relations Manager**

Identified and recruited potential and prominent photographers across EMEA and North America. Collaborated with contributors to develop and optimize their portfolios on cloud services. Designed and led training seminars for new employees to enhance team performance and knowledge transfer.

**Teacher of English Language**

Mentored special needs students with diverse physical and psychological requirements. Developed personalized teaching techniques and lectures tailored to each student's learning style and capabilities. Restructured curriculum delivery to accommodate individual needs, creating customized lessons and assignments. Built meaningful relationships with students, facilitating significant academic progress and advancement.

**Liberty Power | Door-to-Door Sales Agent**

Conducted door-to-door marketing campaigns across multiple neighborhoods to promote products and services. Presented product features and competitive advantages to prospective customers. Successfully converted prospects into clients through consultative selling and executed service agreements between clients and Liberty Power."
17014,"# Professional Summary

English Philology student with four years of academic experience specializing in text editing, writing, and translation. Demonstrated expertise in social media platforms and digital content creation with strong interest in the IT sector. Self-motivated professional committed to continuous learning and development.

## Education

**English Philology**  
4 years of study

## Core Competencies

- Text Editing & Proofreading
- Content Writing & Development
- Translation Services
- Social Media Platform Management
- Digital Content Research & Analysis
- Digital Trends & Emerging Technologies
- IT Sector Knowledge

## Professional Strengths

- Proven commitment to learning and professional growth
- Adaptable and enthusiastic contributor in IT-focused environments
- Strong analytical skills in digital content evaluation
- Proactive engagement with emerging digital trends and technologies
- Detail-oriented approach to content quality and accuracy"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Award-winning Creative/Art Director and Graphic & UI/UX Designer from Ukraine with over 10 years of experience delivering comprehensive branding, marketing, advertising, graphic design, web design, and mobile app design solutions for international clients across diverse industries.

## Core Competencies

- Branding & Identity Development
- Marketing & Advertising Strategy
- Graphic Design
- Web Design
- Mobile App Design
- UI/UX Design

## Professional Experience

**Creative/Art Director & Graphic Designer** | 10+ Years

- Established and launched 20+ brand identities in Ukraine, driving market recognition and business growth
- Led creative projects for clients across USA, Canada, Australia, New Zealand, Austria, and Finland
- Conceptualized and executed unique, innovative design solutions that consistently support client business objectives and revenue growth
- Directed end-to-end creative development from initial concept through final implementation

## Professional Values

Dedicated to delivering exceptional results through collaborative partnerships built on mutual respect, honesty, integrity, and punctuality."
18348,"# PROFESSIONAL SUMMARY

Professional website, mobile, and graphic designer with more than 6 years of commercial experience across different agencies. Contributed to the creation of more than 100 website designs, brand and advertising projects. Extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applications.

# SKILLS

**Design Expertise:**
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes and interactive prototypes
• Atomic design principles
• User personas and user flows
• HTML and CSS fundamentals

**Tools & Software:**
• Figma (team libraries, auto layout, component properties, branches)
• Adobe Photoshop (excellent proficiency)
• Adobe Illustrator (excellent proficiency)
• Adobe After Effects (confident proficiency)

# CAREER OBJECTIVE

Seeking to join a strong team to contribute to innovative projects and deliver exceptional design solutions that enhance user experience and visual communication."
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience driving innovation across web design, UI/UX, 3D graphics, animation, and product development. Demonstrated expertise in building and scaling high-performing development teams, providing strategic art direction, and delivering full-cycle game development from concept to launch.

# Professional Experience

## Chief Technology Officer & Technical Lead | Outsource Studio

Founded and scaled outsource studio from inception to a team of 25 in-office developers and 20+ freelance contributors. Provided art direction and strategic leadership for design teams, establishing operational excellence and sustainable growth.

## Co-Owner | Mobile Game Studio

Directed end-to-end game development lifecycle, encompassing concept creation, UI/UX design, visual design, animation, Unity VFX implementation, stakeholder communication, and sound editing. Led all production phases from ideation through market launch.

# Core Competencies

**Technical Expertise:** Web Design & Development • UI/UX Design • 3D Graphics & Animation • Unity VFX • Sound Editing

**Leadership & Strategy:** Team Leadership & Scaling • Art Direction • Product Development • Stakeholder Communication • Full-Cycle Game Development

# Career Objective

Seeking leadership opportunities to leverage two decades of technical and strategic expertise in driving organizational growth and innovation."
26747,"# PROFESSIONAL SUMMARY

Product Designer with 6+ years of commercial experience across startups, fintech, organization management, crypto, insurance, and healthcare. Expertise in web, mobile, dashboard, and web applications. Skilled in research, hypothesis generation, wireframing, prototyping, usability testing, design system creation, and design team leadership. Focused on aligning design solutions with business objectives while following industry best practices.

# ACHIEVEMENTS

• Recipient of 8 Design Awards on Behance
• Honorable Mention, San Francisco Design Week
• Featured in Ukrainian Design The Very Best Of
• Core team member (team of 3) for Australia-based digital home loan product, contributing to development from concept to MVP over 1 year
• Built comprehensive design system from scratch

# CORE COMPETENCIES

User Research & Analysis • Hypothesis Generation • Wireframing & Prototyping • Usability Testing • UI/UX Design • Design System Development • Stakeholder Communication • Team Leadership • Design Mentorship • Cross-functional Collaboration • Functionality Mapping • User Flow Design

# PROFESSIONAL EXPERIENCE

**Lead Product Designer**

*Strategic Design & Leadership*
- Partner with stakeholders and product managers to define product vision and requirements
- Conduct user and market research to inform design decisions
- Create functionality maps and user process flows
- Develop wireframes and prototypes from low to high fidelity
- Execute UI research and deliver polished interface designs
- Lead and direct design team of 8 people
- Mentor junior designers on design principles and best practices
- Conduct regular 1-on-1 meetings to identify challenges and define improvement areas
- Provide constructive feedback and ongoing support to team members"
