,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
6018,"**Summary**

Web Designer with experience in website redesign and UX/UI design, demonstrated through projects including the redesign of the Children's Music School website and the Pet-Saver-Hub web service. Skilled in wireframing, visual design, user research, and responsive design. Seeking opportunities to contribute to impactful projects, collaborate with professionals, and enhance UI/UX design skills.

**Experience**

*   **Web Designer**

    *   Redesigned the Children's Music School website, focusing on a new, visually appealing, and easy-to-navigate landing page.
    *   Conducted analysis of existing website strengths and weaknesses.
    *   Developed a detailed wireframe for the new landing page, including a news block and call to action.
    *   Ensured consistency with the school's brand identity through color scheme and typography choices.
    *   Focused on user experience, ensuring easy navigation and accessibility of information.
    *   Implemented responsive design principles.
    *   Worked on Pet-Saver-Hub, a web service for rescuing lost and found animals, focusing on creating a user-friendly interface for searching lost or found pets.
    *   Conducted user research to identify user pain points.
    *   Created user flow and wireframe for the website, ensuring an intuitive and easy-to-navigate user interface.
    *   Incorporated interactive elements, such as a map feature.

**Skills**

*   Wireframing
*   Visual Design
*   User Research
*   Responsive Design
"
6021,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your LinkedIn Profile URL (Optional)] | [Your Portfolio URL (Optional)]

**Summary**

Results-oriented Design Leader with a proven track record of delivering impactful design solutions across diverse platforms. Expertise in leading design teams, conceptualizing innovative designs, and driving brand consistency.

**Experience**

**Head of Design Department** | Facility, Kiev | Mar 2018 - Present

*   Oversaw design team processes, optimizing design workflows for various project types.
*   Developed concepts for websites, brands, and products, encompassing UI/UX design, animations, logo books, brand guidelines, and brandbooks.
*   Spearheaded company activities, including tenders and offline initiatives.
*   **Portfolio:** Over 50 Websites, More than 30 Logotypes, 4 Mobile Apps, 3 Games, 1 Social Network
*   **Recognition:** Publications on medium.com, mmr.ua, cases.media, vc.ru; Judge, CSSDA, Ukraine Creative Week. Awaiting final approval to join the Awwwards judge team.
*   **Education:** Conducted educational lectures in Underhub co-working.

**Projects**

*   **Kiev Smart City, Kiev**
    *   Contributed to the concept and final product visualization for the Kiev Smart Card.
    *   Developed a series of dynamic city ad concepts.

*   **Mastercard, Kiev**
    *   Created illustrations and limited-edition products for the 2018 UEFA Champions League Final in Kiev.
    *   Developed a concept for a brand activation program on Ukraine Independence Day 2018.

*   **Stampede Games, Kiev**
    *   Contributed to mobile game development, creating visual concepts and UI.
    *   Developed concept art for the second installment of a game.
    *   Games Featured and Top-Charted: Evo Explores, .projekt
"
6026,"**[Your Name]**

**Summary**

Design professional with over 12 years of experience. Passionate about creating user-centered designs and driving projects to perfection. Proven ability to lead, teach, and deliver innovative solutions across diverse industries.

**Experience**

*   **Own Design Studio** | CEO & Designer | 2014
    *   Managed a team of 20 employees.
    *   Oversaw sales, management, hiring, and project creation processes.
*   **UI/UX & Brand Designer** | Multiple Positions | 2011 - 2022
    *   **2022:** NDA
    *   **2021:** UX Designer in Bank BVR
    *   **2020:** UI/UX Design Teacher in Hillel IT School, Lead Product Designer in Innovation Box
    *   **2019:** UI/UX & Brand Designer in Ardas
    *   **2017:** UI/UX & Brand Designer in M2E pro
    *   **2016:** UI/UX & Brand Designer in Forforce
    *   **2015:** UI/UX & Brand Designer in Art. Lebedev Studio
    *   **2013:** UI/UX & Brand Designer in «Poster»
    *   **2012:** UI/UX & Brand Designer in «le Weekend»
    *   **2011:** UI/UX & Brand Designer in «November» Design Bureau
*   **Graphic Designer** | Freelance | 2006

**Projects**

*   Created over 300 projects.
*   Developed more than 30 products from scratch.
*   Designed over 30 mobile applications.
*   Designed over 80 websites.
*   Created over 100 logos and corporate styles.

**Education**

*   Master's degree in “Engineering Design”
*   Currently pursuing an MBA

**Skills**

*   UI/UX Design
*   Brand Design
*   Project Management
*   Team Leadership
*   Teaching (UI/UX & Brand Design)
*   Frontend Development (HTML5/CSS3/TypeScript/Vue.js) - *Coursework*
*   Backend Development (Python, Swift) - *Coursework*

**Other**

*   Speaker at Dribbble and other conferences.
*   Worked with clients in the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.
*   Experience in eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, and Insurance industries.
*   Drawing School (1999)
*   Experience with cartoon creation (2002)
"
9479,"**Summary**

Results-oriented graphic designer with extensive experience in visual communication, branding, and UI/UX design. Proven ability to create impactful designs across various mediums, from digital platforms to print materials. Adept at leading design projects and collaborating with cross-functional teams.

**Skills**

*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe InDesign
*   Figma
*   Blender
*   After Effects
*   3D Design
*   Key Visual Design
*   Social Media Marketing (SMM)
*   Print Design
*   Logo Design & Brand Identity
*   UI/UX Design
*   User-Centered Design
*   Prepress & DTP

**Experience**

**QA Madness** | Graphic Designer & UI/UX Designer | Nov 2022 – Present

*   Contributed significantly to the company's global redesign efforts, influencing the final outcomes.
*   Redesigned the company website to align with a new vision and style.
*   Successfully implemented a fresh visual style for presentations.
*   Completely redesigned all SMM materials for LinkedIn, Instagram, and DOU.
*   Introduced 3D elements into designs.

**Kronas** | Graphic Designer | Aug 2020 – Feb 2022

*   Designed logos, brand identities, and related print materials for new company brands.
*   Developed 3-6 monthly advertising key visuals for the website, social networks, and print.
*   Implemented a new visual style for the Instagram profile.
*   Created multi-page catalogs and brochures using InDesign.
*   Updated the visual design of the company's YouTube channel, including video covers.
*   Designed a sticker pack for Telegram and Viber.
*   Developed the design for a new trade hall, including branding and navigation elements.

**Design Studio ToTop** | Graphic Designer | Oct 2019 – Aug 2020

*   Developed designs for various clients across diverse industries.
*   Designed logos and brand identities.
*   Created outdoor advertising materials, including billboards, citylights, and car branding.
*   Produced realistic product visualizations in Photoshop.
*   Designed a wide array of print materials, such as calendars, business cards, postcards, and stickers.
*   Designed multi-page catalogs and brochures.
*   Created a 16-page brochure, from concept to print, within a single workday.

**Education**

Beetroot Academy | UI/UX Course | Completed
"
16980,"**Depositphotos | Content Researcher**

*   Researched and created content, including collections and PowerPoints, for clients' advertising or content distribution via email and website publications.
*   Collaborated with content managers, analyzing their development and metrics.
*   Managed advertising campaigns for influencers and clients, including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
*   Utilized Jira and CRM systems.
*   Managed localized content, ensuring alignment with brand voice and product style.

**Depositphotos | Contributor Relations Manager**

*   Researched and identified potential photographers in EMEA and North America.
*   Collaborated with contributors to develop their portfolios on cloud services.
*   Led training seminars for new employees.

**Teacher of English Language**

*   Mentored special needs students with physical or psychological needs.
*   Developed personalized techniques and lectures for individual students.
*   Restructured the educational process to accommodate each child's needs and capabilities, tailoring lectures and work accordingly.
*   Established personal connections with students, fostering knowledge acquisition and curriculum advancement.

**Liberty Power | Door-to-door Sales Agent**

*   Canvassed neighborhoods to merchandise and advertise products or services.
*   Presented product features and benefits, highlighting advantages over competitors.
*   Persuaded clients to purchase products using a script and facilitated agreements.
"
17014,"**[Your Name]**
[Your Contact Information]

**Summary**

Highly motivated English philology student with four years of academic experience in text editing, writing, and translation. Possesses a strong interest in social media platforms and a demonstrated ability to draw inspiration from them. Eager to learn and contribute to the IT-sphere.
"
18230,"**[Your Name]**
[Your Contact Information]

**Summary**

Creative/Art Director, Graphic and UI/UX Designer from Ukraine with over 10 years of experience. Expertise in Branding, Marketing, Advertising, Graphic Design, Web Design, and Mobile App Design. Proven ability to create and implement innovative solutions that drive business growth. Experience working with clients globally.

**Experience**

*   Created more than 20 brands in Ukraine.
*   Collaborated with clients from USA, Canada, Australia, New Zealand, Austria, and Finland.

**Skills**

*   Branding
*   Marketing
*   Advertising
*   Graphic Design
*   Web Design
*   Mobile App Design

**Values**

*   Mutual Respect
*   Honesty
*   Decency
*   Punctuality
"
18348,"**[Your Name]**

**Summary**

A professional website, mobile, and graphic designer with over 6 years of commercial experience across various agencies. Proven ability in UX prototyping, UI design, and motion design for desktop and mobile applications. Contributed to the creation of over 100 website designs, brand, and advertising projects. Seeking to contribute artistic taste and realize potential within a strong team on engaging projects.

**Skills**

*   Graphic Design (Printed Products, Banners, Illustrations, Icons)
*   Web Design (Responsive, Adaptive)
*   Mobile Design (iOS, Android)
*   Wireframes
*   Interactive Prototypes
*   Atomic Design Principles
*   User Personas and User Flows
*   HTML and CSS Fundamentals

**Tools**

*   Figma (Team Libraries, Auto Layout, Component Properties, Branches)
*   Adobe Photoshop (Expert)
*   Adobe Illustrator (Expert)
*   Adobe After Effects (Proficient)
"
26715,"**[Your Name]**

**Summary**

Highly experienced professional with approximately 20 years of expertise in web design, UI/UX, 3D graphics, animation, and the creation of original products. Proven ability to lead and manage teams, with a strong background in both in-house and freelance environments. Seeking opportunities for professional growth.

**Experience**

*   **CTO/Tech Lead, Outsourcing Studio**
    *   Led and developed an outsourcing studio, managing a team that grew to include 25+ in-office developers and over 20 freelancers.
    *   Oversaw art direction and managed design teams.

*   **Co-owner, Mobile Game Studio**
    *   Participated in the full cycle of mobile game development, including concept design, UI/UX, design, animation, Unity VFX, communication, and sound editing.
"
26747,"**[Your Name]**

**Summary**

Results-oriented designer with 6+ years of commercial experience across diverse industries including startups, fintech, organizational management, crypto, insurance, and healthcare. Proven ability to translate concepts into user-centered designs for web, mobile, and dashboard applications. Skilled in all stages of the design process, from research and ideation to implementation and team leadership.

**Experience**

*   **[Project/Company Name - if applicable, otherwise omit]** | *[Dates of Employment - e.g., 2023 - Present]*
    *   Contributed to the development of an Australia-based digital home loan product, from initial concept to MVP, over the past year.
    *   Collaborated with a team of three to build a design system from the ground up.

**Key Achievements**

*   8 Design Awards on Behance.
*   Honorable Mention, San Francisco Design Week.
*   Featured in Ukrainian Design: The Very Best Of.

**Skills**

*   **Design Process:** Hypothesis generation, user research, wireframing (low/high-fidelity), prototyping, usability testing, UI research and design, creating design systems.
*   **Team Leadership:** Leading design teams, mentoring designers, providing feedback, fostering collaboration.
*   **Collaboration & Communication:** Stakeholder communication, collaboration with product managers, presenting design solutions.
*   **Technical Skills:** Web, Mobile, Dashboard, and Web applications.

**Project Stages**

*   Stakeholder and product manager communication.
*   User research and analysis.
*   Functionality mapping and process flow creation.
*   Low and high-fidelity wireframe development.
*   UI research and design implementation.
*   Team leadership (8 people).
"
