,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
6018,"**PROFESSIONAL SUMMARY**

Dedicated Web and UX/UI Designer with a focus on creating user-friendly designs that have a positive impact. Experienced in the full design lifecycle, from user research and wireframing to visual design and responsive implementation. Committed to continuous learning, effective teamwork, and utilizing user feedback to refine the user experience. Seeking to collaborate with professionals on challenging projects to further develop creative potential and technical skills.

**SKILLS**

*   **Design:** UX/UI Design, Web Design, Visual Design, Responsive Design, Brand Identity.
*   **Technical & Process:** Wireframing, User Research, User Flows, Information Architecture, Interactive Elements.
*   **Soft Skills:** Collaboration, Communication, Attention to Detail, Creative Problem Solving.

**PROJECT EXPERIENCE**

**Children's Music School** | Web Designer
*   Led the redesign of the school’s website landing page with the goal of improving visual appeal and ease of navigation.
*   Conducted a comprehensive analysis of the existing website to identify functional strengths and weaknesses.
*   Developed detailed wireframes incorporating key features such as a news block and a prominent Call to Action (CTA).
*   Executed the visual design with a focus on color schemes and typography consistent with the school's brand identity.
*   Applied responsive design principles to ensure seamless accessibility across all devices.

**Pet-Saver-Hub** | UX/UI Designer
*   Designed a web service dedicated to rescuing lost and found animals, focusing on a user-friendly interface.
*   Conducted user research to identify specific pain points users face when searching for pets.
*   Created detailed user flows and wireframes based on research findings to establish an intuitive navigation structure.
*   Implemented interactive elements, including a map feature, to assist users in locating pets in their specific areas."
6021,"**HEAD OF DESIGN**

**PROFESSIONAL SUMMARY**
Accomplished design leader with a diverse portfolio comprising over 50 websites, 30+ logotypes, 4 mobile apps, 3 games, and a social network. Proven track record in UI/UX, branding, and team leadership.

**WORK EXPERIENCE**

**Facility** | Kiev
**Head of Design Department** | Mar 2018 – Present

*   **Team Leadership:** Organize design team processes and optimize design flows across various project types.
*   **Creative Direction:** Develop concepts for websites, brands, and digital products. Execute UI/UX design, animations, logo books, brand guidelines, and brandbooks.
*   **Business Development:** Take a leading role in tenders and manage offline company activities.
*   **Industry Recognition:** 
    *   Served as a Judge for CSSDA and Ukraine Creative Week.
    *   Currently in the final stages of joining the Awwwards jury team.
    *   Guest lecturer at Underhub co-working.
    *   Authored publications on Medium.com, MMR.ua, Cases.media, and VC.ru.

**Stampede Games** | Kiev
**Visual Designer & UI Artist**

*   Developed visual concepts and user interfaces (UI) for mobile games.
*   Created concept art for game sequels.
*   **Key Achievements:** Contributed to games that were featured and reached top-charts, including:
    *   *Evo Explores*
    *   *.projekt*

**KEY PROJECTS**

**Mastercard** | Kiev
*   Created illustrations and limited edition merchandise for the 2018 UEFA Champions League Final in Kiev.
*   Developed the concept for the brand activation program regarding Ukraine Independence Day 2018.

**Kiev Smart City** | Kiev
*   Executed concept development and final product visualization for the Kiev Smart Card.
*   Developed a series of dynamic city advertising concepts."
6026,"**Senior Product & Brand Designer**

**Professional Summary**
Accomplished Designer with over 12 years of experience and a portfolio of more than 300 completed projects. Expertise spans creating products from scratch, mobile applications, and corporate identities. Proven leadership experience founding and managing a design studio with 20 employees, establishing processes for sales, management, and hiring. Committed to understanding the full product lifecycle, with additional training in frontend and backend technologies to facilitate better design-development collaboration. Currently pursuing an MBA.

**Key Achievements**
*   **Project Volume:** Successfully delivered more than 300 projects, including 30+ products built from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate styles.
*   **Leadership:** Founded and managed a design studio with a team of 20 people.
*   **Education & Speaking:** Taught UI/UX and Brand Design to more than 150 students; speaker at Dribbble and other industry conferences.
*   **Global Reach:** Executed designs for clients in the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.

**Professional Experience**

**2022 — Present | Confidential Project (NDA)**
*   Current work is subject to a nondisclosure agreement. Portfolio available for select works where permitted.

**2021 | Bank BVR**
*   UX Designer

**2020 | Hillel IT School**
*   UI/UX Design Teacher
*   Instructed over 150 students in design principles and application.

**2020 | Innovation Box**
*   Lead Product Designer

**2019 | Ardas**
*   UI/UX & Brand Designer

**2017 | M2E pro**
*   UI/UX & Brand Designer

**2016 | Forforce**
*   UI/UX & Brand Designer

**2015 | Art. Lebedev Studio**
*   UI/UX & Brand Designer

**2014 | Own Design Studio**
*   CEO & Designer
*   Managed a team of 20 employees.
*   Developed and implemented processes for sales, management, hiring, and project creation.

**2013 | Poster**
*   UI/UX & Brand Designer

**2012 | le Weekend**
*   UI/UX & Brand Designer

**2011 | November Design Bureau**
*   UI/UX & Brand Designer

**2006 | Freelance**
*   Graphic Designer

**Education**

*   **Master of Business Administration (MBA)** | Currently Enrolled
*   **Master's Degree in Engineering Design**

**Technical Proficiency**
*   **Frontend (Coursework):** HTML5, CSS3, TypeScript, Vue.js
*   **Backend (Coursework):** Python, Swift
*   *Note: Technical courses undertaken to enhance collaboration with development teams and understand design implementation constraints.*

**Industry Experience**
eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance."
9479,"[Name]
[Phone Number] | [Email Address] | [Portfolio Link] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**

Versatile Graphic and UI/UX Designer with a strong background in branding, digital marketing, and print production. Experienced in leading global redesign initiatives and managing junior design teams. Proficient in creating comprehensive brand identities, key visuals, and multi-page layouts. Combines technical expertise in the Adobe Creative Suite and Figma with emerging skills in 3D modeling to deliver high-impact visual solutions.

**TECHNICAL SKILLS**

*   **Expert:** Adobe Photoshop, Adobe Illustrator
*   **Proficient:** Adobe InDesign, Figma
*   **Basic:** Blender, Adobe After Effects
*   **Core Competencies:** Brand Identity, UI/UX Design, Key Visuals, SMM Design, Prepress/DTP, Team Management, Outdoor Advertising.

**PROFESSIONAL EXPERIENCE**

**QA Madness** | Graphic Designer & UI/UX Designer
*November 2022 – Present*

*   Played a pivotal role in the company’s global redesign, significantly influencing the final visual strategy and outcome.
*   Redesigned the corporate website to reflect the company’s updated vision and stylistic direction.
*   Spearheaded the creation and implementation of a new visual style for corporate presentations.
*   Completely overhauled social media marketing (SMM) materials for LinkedIn and Instagram, and established the company page for DOU.
*   **Key Achievement:** Integrated custom-created 3D assets into design projects to enhance visual engagement.

**Kronas** | Graphic Designer
*August 2020 – February 2022*

*   Designed logos, brand identities, and collateral print materials for new company brands.
*   Developed 3–6 advertising key visuals monthly for use across the website, social networks, and print media.
*   Introduced and implemented a cohesive visual style for the company's Instagram profile.
*   Produced multi-page product catalogs and brochures utilizing Adobe InDesign.
*   Revitalized the company’s YouTube channel visuals and designed engaging video covers.
*   **Key Achievements:**
    *   Conceptualized and illustrated a custom sticker pack for Telegram and Viber.
    *   Developed the environmental branding, stand design, and navigation for a new trade hall.

**Design Studio ToTop** | Graphic Designer
*October 2019 – August 2020*

*   Delivered comprehensive design solutions for clients across diverse industries.
*   Created logos and corporate identities to establish brand presence.
*   Designed large-scale outdoor advertising, including roadside billboards, citylights, and vehicle branding.
*   Created realistic product visualizations using Adobe Photoshop.
*   Managed high-volume print design projects, including calendars, business cards, postcards, and stickers.
*   **Key Achievement:** Successfully executed a rapid turnaround project by conceptualizing, obtaining client approval, designing, and launching a 16-page brochure into print within a single working day.

**EDUCATION**

**Beetroot Academy**
UI/UX Design Course
*   Focus: User-centered design and user experience principles.

**ADDITIONAL EXPERIENCE**

*   **Leadership:** Experience managing a small team of two junior designers.
*   **Production:** Background working as a Prepress Operator and DTP Designer."
16980,"**Depositphotos | Content Researcher**

*   Researched and curated content collections and PowerPoint presentations for client advertisements, email marketing campaigns, and official website publication.
*   Coordinated advertising initiatives for influencers and major enterprise clients, including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
*   Collaborated with content managers to analyze development progress and performance metrics.
*   Managed localized content to ensure alignment with the brand’s tone of voice and overarching product style.
*   Utilized Jira and CRM systems to manage workflows and client data.

**Depositphotos | Contributor Relations Manager**

*   Identified and recruited potential and prominent photographers across the EMEA and North American markets.
*   Partnered with contributors to develop and optimize their portfolios on cloud services.
*   Organized and led training seminars for new employees.

**Teacher of English Language**

*   Mentored and instructed students with diverse physical and psychological needs.
*   Developed personalized learning techniques and customized lectures tailored to each student's individual requirements.
*   Restructured educational processes to accommodate specific student capabilities, ensuring coursework varied appropriately for every learner.
*   Established strong rapport with students to facilitate engagement, resulting in significant curriculum advancement and academic breakthroughs previously unachieved.

**Liberty Power | Door-to-door Sales Agent**

*   Executed direct marketing strategies by traveling to various neighborhoods to merchandise and advertise services to the general public.
*   Delivered presentations on product features, clarifying competitive advantages over rival providers.
*   Utilized sales scripts to secure client purchases and executed service agreements between customers and Liberty Power."
17014,"[Your Name]
[Your Phone Number] | [Your Email Address]
[City, State/Country]

**PROFESSIONAL SUMMARY**

Motivated English Philology specialist with four years of academic experience in text editing, writing, and translation. Passionate about social media trends and digital platforms. Eager to leverage linguistic skills and research abilities to launch a career within the IT sector. Committed to continuous learning and professional development.

**EDUCATION**

**English Philology**
[Name of University] | [Dates of Study]
*   Completed four years of comprehensive study in English Philology.
*   Developed extensive experience in editing, writing, and translation through academic coursework.

**SKILLS**

*   **Linguistic Skills:** Text Editing, Copywriting, Translation.
*   **Digital Skills:** Social Media Research, Platform Analysis, Content Inspiration.
*   **Soft Skills:** High Motivation, Adaptability, Eagerness to Learn.

**AREAS OF INTEREST**

*   IT Industry and Technology
*   Social Media Trends
*   Digital Content Strategy"
18230,"**Creative & Art Director | Graphic & UI/UX Designer**

**PROFESSIONAL SUMMARY**
Accomplished Creative Director and Multi-disciplinary Designer with over 10 years of experience delivering comprehensive design solutions in Branding, Marketing, Advertising, Graphic Design, Web Design, and Mobile App Design. Expert in creating and implementing unique, innovative concepts that effectively drive business development. 

Possesses a strong international portfolio with a proven track record of successful collaboration with clients across the USA, Canada, Australia, New Zealand, Austria, and Finland. Committed to professional excellence through mutual respect, honesty, decency, and punctuality.

**CORE COMPETENCIES**
*   **Design Leadership:** Creative & Art Direction, Branding Strategy.
*   **Digital Design:** UI/UX Design, Web Design, Mobile Application Design.
*   **Marketing & Communications:** Advertising Design, Graphic Design, Business Development Solutions.

**PROFESSIONAL EXPERIENCE & ACHIEVEMENTS**

*   **International Client Management:** Successfully delivered projects for a diverse global client base spanning North America (USA, Canada), Europe (Austria, Finland), and Oceania (Australia, New Zealand).
*   **Brand Creation:** Successfully developed and launched over 20 distinct brands within the Ukrainian market.
*   **Strategic Design:** Dedicated to providing bright, innovative ideas and functional design solutions tailored to develop and expand client businesses."
18348,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Link to Portfolio]

**PROFESSIONAL SUMMARY**

Professional Website, Mobile, and Graphic Designer with over 6 years of commercial experience in agency environments. Extensive expertise in UX prototyping, UI design, and motion design for desktop and mobile applications. Successfully contributed to the creation of more than 100 website designs, branding, and advertising projects. Dedicated to applying artistic vision and contemporary design principles within a collaborative team setting.

**PROFESSIONAL EXPERIENCE**

**Designer** | [Various Agencies] | [Dates of Employment]

*   Leveraged 6+ years of commercial experience to deliver high-quality design solutions.
*   Executed over 100 projects ranging from website designs to comprehensive branding and advertising initiatives.
*   Specialized in User Experience (UX) prototyping and User Interface (UI) design for diverse desktop and mobile applications.
*   Implemented motion design elements to enhance user engagement.

**TECHNICAL SKILLS**

**UI/UX & Web Design:**
*   Web Design (Responsive, Adaptive)
*   Mobile Design (iOS, Android)
*   Wireframing & Interactive Prototyping
*   Atomic Design Principles
*   User Personas & User Flows
*   Basic HTML & CSS

**Graphic Design:**
*   Print Products
*   Banners
*   Illustrations
*   Iconography

**SOFTWARE & TOOLS**

*   **Figma:** Advanced proficiency (Team Libraries, Auto Layout, Component Properties, Branches)
*   **Adobe Photoshop:** Expert proficiency
*   **Adobe Illustrator:** Expert proficiency
*   **Adobe After Effects:** Proficient"
26715,"**PROFESSIONAL SUMMARY**

Senior Design and Technology Leader with approximately 20 years of experience in web design, UI/UX, 3D graphics, animation, and product creation. Proven track record of establishing studios, acting as a CTO and Tech Lead, and managing large-scale teams of in-house and freelance developers. Expert in full-cycle development for mobile games and digital products. Seeking new growth opportunities to leverage extensive technical and creative expertise.

**PROFESSIONAL EXPERIENCE**

**Outsource Studio** | *Founder, CTO & Tech Lead*
*   Established and developed an independent outsourcing studio.
*   Scaled operations and grew the workforce to include 25 in-office developers and over 20 freelancers.
*   Provided high-level Art Direction and managed the design team.
*   Oversaw technical leadership and team development.

**Mobile Game Studio** | *Co-Owner*
*   Managed the full cycle of game development for a small studio environment.
*   Directed game concepts, UI/UX, visual design, and animation.
*   Executed technical implementation including Unity VFX and sound editing.
*   Managed internal and external communications regarding project development.

**CORE SKILLS & EXPERTISE**

*   **Leadership:** CTO/Tech Lead Functions, Team Scaling & Management, Art Direction, Outsourcing Management.
*   **Design & Creative:** Web Design, UI/UX Design, 3D Graphics, Animation, Game Concepts.
*   **Technical:** Product Creation, Unity VFX, Sound Editing."
26747,"**PROFESSIONAL SUMMARY**

Senior Product Designer with over 6 years of commercial experience across Startup, Fintech, Organization Management, Crypto, Insurance, and Healthcare environments. Proven track record in delivering Web, Mobile, Dashboard, and Web applications from concept to launch. Expert in aligning design strategies with business needs, creating design systems from scratch, and leading design teams.

**CORE COMPETENCIES**

*   **Design & Strategy:** UI/UX Design, Hypothesis Generation, User Research, Wireframing (Low/High Fidelity), Prototyping, Usability Testing, Functionality Mapping, Process Flows.
*   **Leadership:** Team Management (up to 8 people), Stakeholder Communication, Mentorship, Performance Reviews (1-on-1s).
*   **Platforms:** Web, Mobile, Dashboards, Digital Applications.

**PROFESSIONAL EXPERIENCE**

**Digital Home Loan Product (Australia-based)** | *Product Designer*
*   Contributed to the end-to-end product lifecycle for a digital home loan platform, moving from initial idea to Minimum Viable Product (MVP) within one year.
*   Collaborated within a lean team of three to build a comprehensive design system from scratch to ensure product scalability and consistency.

**General Scope of Work & Responsibilities**
*   **Design Leadership:** Lead a design team of 8 people, managing workflows and deliverables.
*   **Stakeholder Management:** Collaborate directly with Product Managers and stakeholders to define requirements and align design output with business goals.
*   **Research & Development:** Conduct user research and UI analysis to generate hypotheses; create functionality maps and process flows.
*   **Execution:** Produce low and high-fidelity wireframes, prototypes, and final UI designs. Conduct usability testing to validate and refine solutions.
*   **Team Development:** Provide mentorship to junior designers, conduct 1-on-1 meetings to identify areas for improvement, and offer structured feedback and support.
*   **Business Impact:** Analyze business needs to provide best-practice design advice that improves overall product outcomes.

**AWARDS & RECOGNITION**

*   **8 Design Awards** | Behance
*   **Honorable Mention** | San Francisco Design Week
*   **Winner/Feature** | Ukrainian Design: The Very Best Of"
