,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
6018,"# PROFESSIONAL RESUME

## Web Designer & UX/UI Designer

---

### PROFESSIONAL SUMMARY

Web and UX/UI Designer skilled in wireframing, visual design, user research, and responsive design. Committed to developing user-friendly designs that meet client and user needs. Values communication, teamwork, creativity, and attention to detail.

---

### PROFESSIONAL EXPERIENCE

**Web Designer & UX/UI Designer**

**Children's Music School — Website Redesign**
- Conducted comprehensive analysis of existing website to identify strengths and weaknesses
- Created detailed wireframe for new landing page featuring news block and prominent call to action
- Developed visual design aligned with school's brand identity, including color scheme and typography
- Implemented responsive design principles for optimal display across all devices
- Ensured intuitive navigation and accessibility of key information

**Pet-Saver-Hub — Web Service for Lost and Found Animals**
- Conducted user research to identify pain points in lost/found pet search processes
- Developed detailed user flow and wireframe with intuitive interface
- Incorporated interactive elements including map feature for location-based pet searches
- Designed user-friendly interface enabling easy search functionality

---

### SKILLS

- Wireframing
- Visual Design
- User Research
- Responsive Design
- UX/UI Design
- User Flow Development

---

### PROFESSIONAL OBJECTIVES

- Contribute to meaningful projects that impact people's lives
- Collaborate with professionals to continue growth and learning
- Engage in challenging projects to develop creative potential
- Stay current with latest design technologies and trends
- Actively collect user feedback to improve user experience"
6021,"# [NAME]
## Head of Design Department

---

### Portfolio

- 50+ Websites
- 30+ Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

---

### Experience

**Facility, Kyiv — Head of Design Department**
*March 2018 – Present*

Leading and optimizing design team processes across diverse project types. Developing concepts for websites, brands, and digital products. Delivering UI/UX design, animations, logo books, brand guidelines, and comprehensive brandbooks. Spearheading tender participation and representing the company at offline events.

**Kiev Smart City, Kyiv**

Conceptualized and delivered final product visualization for Kiev Smart Card. Developed dynamic city advertising concepts.

**Mastercard, Kyiv**

Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kyiv. Developed brand activation concept for Ukraine Independence Day 2018.

**Stampede Games, Kyiv**

Developed visual concepts and UI for mobile games. Created concept art for game sequel. Contributed to top-charting, featured titles:
- Evo Explores
- .projekt

---

### Recognition

- Published on medium.com, mmr.ua, cases.media, vc.ru
- Judge at CSSDA, Ukraine Creative Week; Awwwards judge candidate
- Guest lecturer at Underhub co-working"
6026,"# PROFESSIONAL SUMMARY

Design is my life. I enjoy every pixel I create, every user delight and ah-ha moment. My dream is that design is taught in schools. If you need someone who will take your project apart, find the weak points, and improve it to perfection—that's me.

I built and led my own studio with 20 employees, establishing processes for sales, management, hiring, and project creation. I closed it to return to what I love most: creating designs hands-on.

To better understand how design translates to development, I completed courses in frontend (HTML5/CSS3/TypeScript/Vue.js) and backend (Python, Swift).

# EXPERIENCE

**12+ Years in Design**

- 300+ projects completed
- 30+ products designed from scratch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identities
- 150+ students taught in UI/UX and brand design
- Speaker at Dribbble and other design conferences

# WORK HISTORY

- 2022 — NDA
- 2021 — UX Designer, Bank BVR
- 2020 — UI/UX Design Teacher, Hillel IT School
- 2020 — Lead Product Designer, Innovation Box
- 2019 — UI/UX & Brand Designer, Ardas
- 2017 — UI/UX & Brand Designer, M2E Pro
- 2016 — UI/UX & Brand Designer, Forforce
- 2015 — UI/UX & Brand Designer, Art. Lebedev Studio
- 2014 — CEO & Designer, Own Design Studio
- 2013 — UI/UX & Brand Designer, Poster
- 2012 — UI/UX & Brand Designer, le Weekend
- 2011 — UI/UX & Brand Designer, November Design Bureau
- 2006 — Graphic Designer, Freelance

# EDUCATION

- Master's Degree in Engineering Design
- MBA (in progress)

# INDUSTRIES

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Software Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Services, Music, Dance, MMA, Medicine, Space, Adult, Sports, Technology, Defense, Insurance

# INTERNATIONAL CLIENTS

USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine

# PORTFOLIO NOTE

Select work available upon request due to nondisclosure agreements."
9479,"# GRAPHIC DESIGNER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Graphic Designer and UI/UX Designer with experience as Lead Graphic Designer and Prepress Operator/DTP Designer. Extensive experience designing key visuals, social media marketing materials, and print collateral. Proven ability to create logos and brand identities, manage design teams, and integrate original 3D elements into design work. Completed UI/UX course at Beetroot Academy with focus on user-centered design and user experience.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Contributed significantly to company-wide global redesign initiative
- Redesigned website to reflect updated vision and visual style
- Introduced and implemented fresh visual style for presentations
- Redesigned all social media marketing materials for LinkedIn and Instagram
- Created company page for DOU
- Integrated original 3D elements created in Blender into design work

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Designed logos, brand identities, and related print materials for new company brands
- Developed 3-6 advertising key visuals monthly for web, social media, and print
- Introduced and implemented new visual style for Instagram profile
- Created multi-page catalogs and brochures in InDesign
- Updated YouTube channel design and video covers
- Designed custom sticker pack for Telegram and Viber
- Developed trade hall design including branding stands and navigation

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Developed designs for clients across multiple industries
- Created logos and brand identities
- Designed outdoor advertising including roadside billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Created print materials including calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures
- Managed a small team of two junior designers"
16980,"**DEPOSITPHOTOS**
**Content Researcher**

- Researched and developed content including collections and presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website
- Collaborated with content managers to analyze performance metrics and support ongoing development
- Coordinated advertising initiatives with influencers and high-profile clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy
- Managed projects and workflows using Jira and CRM systems
- Localized content to ensure alignment with brand voice and product style guidelines

**DEPOSITPHOTOS**
**Contributor Relations Manager**

- Identified and recruited prominent photographers across EMEA and North America
- Partnered with contributors to develop and enhance their portfolios on cloud-based platforms
- Led training seminars for new employees

**ENGLISH LANGUAGE TEACHER**

- Mentored students with physical and psychological needs through individualized instruction
- Designed personalized teaching techniques and lesson plans tailored to each student's abilities
- Adapted educational processes to accommodate individual learning requirements
- Built meaningful rapport with students, enabling significant curriculum advancement

**LIBERTY POWER**
**Door-to-Door Sales Agent**

- Conducted neighborhood outreach to promote products and services to prospective customers
- Delivered product presentations highlighting features and competitive advantages
- Negotiated and secured customer agreements on behalf of Liberty Power"
17014,"# RESUME

## Education

**English Philology** | 4 Years of Study

## Skills

- Text editing
- Writing
- Translation
- Social media proficiency
- Cross-platform content research

## Professional Profile

Detail-oriented English Philology student with four years of academic training in text editing, writing, and translation. Passionate about social media with extensive knowledge of multiple platforms and current trends. Highly motivated professional eager to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Core Strengths

- Strong written communication
- Analytical approach to content
- Quick learner
- Driven and adaptable"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Creative and Art Director with over 10 years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design. Proven track record of developing and launching more than 20 brands in Ukraine while serving an international clientele. Committed to delivering unique, innovative solutions that drive business growth, grounded in mutual respect, honesty, integrity, and punctuality.

## Expertise

- Brand Development & Strategy
- Marketing & Advertising
- Graphic Design
- UI/UX Design
- Web Design
- Mobile App Design

## Experience Highlights

- Created and launched over 20 brands in Ukraine
- Delivered creative solutions for clients across six countries: USA, Canada, Australia, New Zealand, Austria, and Finland
- Developed and implemented innovative design concepts that effectively support business development

## Location

Ukraine"
18348,"# Professional Summary

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising projects. Specialized in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# Skills

**Design Disciplines**
- Graphic Design: Printed Products, Banners, Illustrations, Icons
- Web Design: Responsive and Adaptive Layouts
- Mobile Design: iOS and Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing and Interactive Prototyping
- Atomic Design Principles
- User Personas and User Flow Development
- HTML and CSS Fundamentals

---

# Tools & Software

- **Figma:** Team Libraries, Auto Layout, Component Properties, Branches
- **Adobe Photoshop & Illustrator:** Excellent Proficiency
- **Adobe After Effects:** Confident Proficiency

---

# Objective

Seeking to join a strong team where I can realize my potential through engaging projects and contribute meaningful artistic vision to contemporary design."
26715,"# Senior Creative Director & CTO

## Professional Summary

Versatile creative and technical leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Proven ability to build and scale creative teams while maintaining hands-on expertise across the full development lifecycle.

---

## Core Competencies

- Web Design & UI/UX
- 3D Graphics & Animation
- Art Direction
- Product Development
- Team Leadership & Scaling
- Unity VFX
- Sound Editing

---

## Professional Experience

**Co-Owner & Creative Lead**
*Mobile Game Studio*

- Managed full-cycle game development from concept through completion
- Directed UI/UX design, visual design, and animation
- Created Unity VFX and managed sound editing
- Led cross-functional communication and project coordination

**CTO & Technical Lead**
*Outsource Studio (Founder)*

- Founded and scaled development studio from inception
- Grew internal team to 25 office-based developers
- Managed extended network of 20+ freelance contributors
- Provided art direction and design team management

---

## Objective

Seeking growth opportunities to leverage extensive creative and technical leadership experience."
26747,"# Senior Product Designer

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design: The Very Best Of

## Professional Summary

Product designer with over 6 years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Skilled in Web, Mobile, Dashboard, and Web application design. Capable of generating hypotheses, conducting research, creating wireframes and prototypes, performing usability tests, building design systems from scratch, and leading design teams. Committed to aligning design solutions with business needs while delivering best-practice recommendations.

## Key Accomplishments
- Contributed to an Australia-based digital home loan product from concept to MVP over one year
- Built a comprehensive design system from scratch within a three-person team
- Led a design team of 8 people

## Core Competencies

**Design Process**
- Stakeholder and product manager communication
- User and market research
- Functionality mapping and process flow development
- Low and high fidelity wireframing
- UI research and design
- Prototyping and usability testing

**Leadership & Collaboration**
- Design team leadership
- Mentorship of junior designers
- Conducting one-on-one meetings to identify challenges and define growth areas
- Providing feedback and support to teammates"
29788,"# [NAME]
## Digital 2D Artist & UI/UX Designer
Kyiv, Ukraine

---

## SKILLS

- UI/UX Design & Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design
- Graphic Design
- English: Upper-Intermediate
- Effective Verbal and Written Communication
- Time and Self-Management

## TOOLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 – Present

**UI/UX Designer / Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

## AWARDS

**Red Dot Award** – Brands & Communication Design
August 2022

## PROFILE

Self-educated Digital 2D Artist and UI/UX Designer with strong technical understanding and knowledge of current design and technology trends. Experienced in delivering full-stack design solutions including UI/UX, illustration, and graphic design."
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive experience in marketing, specializing in creating visually compelling designs that help brands grow. Proficient in Photoshop, Illustrator, and Figma, with advanced skills in Webflow including animation and CMS. Experienced in both freelance and in-house environments, having collaborated with more than 5 companies across different countries, including work as a freelance designer for an American company. Seeking a long-term partnership with opportunities for growth in product design.

## Skills

**Design**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- UI/UX Design

**Digital Marketing**
- Web Ads & Social Media Ads
- Digital Design & Imagery
- Digital Analytics
- E-blast Campaigns

**Technical**
- Adobe Photoshop
- Adobe Illustrator
- Figma (Advanced)
- Webflow (Animation, CMS)
- HTML/CSS

**Professional**
- Independent and collaborative work
- Direct client communication
- Creative problem-solving

## Education & Certifications

- Product Design — Dare IT
- Basic Web Design — Hillel IT School
- Figma — Cases Media (90)
- Graphic Design: Composition — Cases Media (91)"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma: Design systems, UI kit creation, Auto Layout, interactive components, interactive prototyping, plugins

**UX Capabilities**
- UX Research
- Competitor Analysis
- Sketching and Prototyping

**Design Knowledge**
- Composition principles
- Typography
- Color theory
- Current design principles and trends

**Professional Skills**
- Team collaboration
- Project presentation
- Google Workspace (Docs, Forms)

## Education

**Beetroot Academy** — UX/UI Design Mentorship Program"
