,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
6018,"# WEB & UX/UI DESIGNER

## Professional Summary

Web and UX/UI designer with experience in website redesign, user research, wireframing, visual design, and responsive design. Committed to creating user-friendly designs that meet client objectives and user needs. Strong communicator who values teamwork and collaboration.

## Skills

- Wireframing & Prototyping
- Visual Design
- User Research
- Responsive Design
- UX/UI Design
- User Flow Development

## Project Experience

### Children's Music School — Website Redesign

- Conducted comprehensive analysis of existing website to identify strengths and weaknesses
- Created detailed wireframes for new landing page featuring news block and prominent call to action
- Developed visual design with consistent color scheme and typography aligned with brand identity
- Implemented responsive design principles for optimal display across all devices
- Designed intuitive navigation ensuring important information remained easily accessible

### Pet-Saver-Hub — Web Service for Lost & Found Animals

- Conducted user research to identify key pain points in the lost/found pet search process
- Developed detailed user flows and wireframes for intuitive interface
- Incorporated interactive elements including map feature for location-based pet searches
- Designed user-friendly interface enabling easy search functionality

## Professional Goals

- Contribute to meaningful projects that impact people's lives
- Collaborate with professionals to continue skill development
- Stay current with latest design technologies and trends
- Actively gather user feedback to improve user experience
- Deliver high-quality work through creativity and attention to detail"
6021,"# PROFESSIONAL EXPERIENCE

**Head of Design Department**
Facility, Kiev | March 2018 - Present

Leading and optimizing design team processes across diverse project types. Developing strategic concepts for websites, brands, and digital products. Delivering UI/UX design, animations, logo books, brand guidelines, and comprehensive brandbooks. Driving creative direction for tenders and offline company initiatives.

**Designer**
Kiev Smart City, Kiev

Conceptualized and visualized the Kiev Smart Card product. Developed dynamic city advertising concepts.

**Designer**
Mastercard, Kiev

Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev. Developed brand activation concept for Ukraine Independence Day 2018.

**Game Designer**
Stampede Games, Kiev

Developed visual concepts and UI for mobile games. Created concept art for game sequel. Contributed to featured, top-charting titles including Evo Explores and .projekt.

# PORTFOLIO

- 50+ Websites
- 30+ Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

# INDUSTRY RECOGNITION

- Published on medium.com, mmr.ua, cases.media, vc.ru
- Judge at CSSDA and Ukraine Creative Week
- Awwwards judge candidate
- Guest lecturer at Underhub co-working

# SEEKING

Career advancement, financial growth, engaging projects, strong management collaboration"
6026,"**DESIGN PROFESSIONAL**

---

Design is my life. I enjoy every pixel I create, every user delight and ah-ha moment. My dream is that design is taught in schools. If you need someone who will take your project apart, find the weak points, and improve it to perfection—that's me.

---

**SUMMARY**

- 12+ years of design experience
- 300+ completed projects
- Founded and managed a 20-person design studio with established processes for sales, management, hiring, and project delivery
- 150+ students trained in UI/UX and brand design
- Conference speaker (Dribbble and others)
- International client base across USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine

**PROJECT PORTFOLIO**

- 30+ products built from scratch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identities

**INDUSTRY EXPERIENCE**

eCommerce · Finance · Banking · Investments · Marketing · Social Media · Legal · Education · Software Development · NFT · Art · Automotive · Gaming · Construction · Agriculture · Food & Beverage · Fashion · Beauty · Music · Dance · MMA · Medicine · Aerospace · Sports · Technology · Insurance

**EDUCATION**

- Master's Degree in Engineering Design
- MBA (in progress)
- Frontend Development: HTML5, CSS3, TypeScript, Vue.js
- Backend Development: Python, Swift

**EXPERIENCE**

2022 — NDA
2021 — UX Designer, Bank BVR
2020 — UI/UX Design Teacher, Hillel IT School
2020 — Lead Product Designer, Innovation Box
2019 — UI/UX & Brand Designer, Ardas
2017 — UI/UX & Brand Designer, M2E Pro
2016 — UI/UX & Brand Designer, Forforce
2015 — UI/UX & Brand Designer, Art. Lebedev Studio
2014 — CEO & Designer, Own Design Studio
2013 — UI/UX & Brand Designer, Poster
2012 — UI/UX & Brand Designer, le Weekend
2011 — UI/UX & Brand Designer, November Design Bureau
2006 — Graphic Designer, Freelance

---

*Select portfolio samples available upon request during interview.*"
9479,"# GRAPHIC DESIGNER | LEAD GRAPHIC DESIGNER

## PROFESSIONAL SUMMARY

Experienced Graphic Designer with expertise in visual identity development, key visuals, social media materials, and print design. Proven ability to lead teams, manage complete brand redesigns, and integrate custom 3D elements into design work. Skilled in user-centered design with formal UI/UX training.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator  
**Proficient:** Adobe InDesign, Figma  
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Contributed significantly to company-wide global redesign initiative
- Redesigned website to reflect updated vision and visual style
- Introduced and implemented fresh visual style for presentations
- Redesigned all social media materials for LinkedIn and Instagram
- Developed company page for DOU
- Integrated original 3D elements into design work

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Designed logos, identities, and print materials for new company brands
- Developed 3–6 advertising key visuals monthly for web, social media, and print
- Introduced and implemented new visual style for Instagram profile
- Created multi-page catalogs and brochures in InDesign
- Updated YouTube channel branding and designed video covers
- Created custom sticker pack for Telegram and Viber
- Developed trade hall design including branding stands and navigation

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Designed logos and identities for clients across various industries
- Created outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Designed print materials including calendars, business cards, postcards, and stickers
- Developed multi-page catalogs and brochures

## EDUCATION

UI/UX Course | Beetroot Academy"
16980,"PROFESSIONAL EXPERIENCE

Depositphotos | Content Researcher

Researched and developed diverse content, including curated collections and PowerPoint presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website.

Collaborated directly with content managers to analyze performance metrics and support ongoing development initiatives.

Coordinated advertising partnerships with influencers and major global brands, including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.

Managed projects and client relationships through Jira and CRM platforms.

Ensured localized content maintained consistency with brand tone of voice and product style guidelines.

Depositphotos | Contributor Relations Manager

Identified and recruited talented photographers across EMEA and North America markets.

Partnered with contributors to optimize and expand their portfolios on cloud-based platforms.

Designed and led training seminars for onboarding new team members.

Teacher of English Language

Provided specialized instruction to students with physical and psychological needs.

Developed individualized teaching methodologies and customized lesson plans tailored to each student's unique requirements.

Restructured educational approaches to accommodate diverse learning capabilities, resulting in significant curriculum advancement.

Established meaningful rapport with students, fostering engagement and accelerating academic progress beyond previous benchmarks.

Liberty Power | Door-to-door Sales Agent

Conducted direct sales outreach across various neighborhoods to promote products and services.

Delivered compelling product presentations highlighting competitive advantages and key features.

Negotiated and finalized customer agreements, successfully converting prospects into clients."
17014,"# RESUME

## Education

**English Philology** | 4 Years of Study

## Skills

- Text editing
- Writing
- Translation
- Social media proficiency
- Cross-platform content research

## Professional Profile

Detail-oriented English Philology student with four years of academic training in text editing, writing, and translation. Passionate about social media with extensive knowledge of multiple platforms and current trends. Highly motivated professional seeking to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Core Strengths

- Strong written communication
- Analytical approach to content
- Adaptable and eager to learn
- Self-driven with a growth mindset"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Award-winning Creative/Art Director and Graphic/UI/UX Designer based in Ukraine with over 10 years of experience delivering strategic branding, marketing, advertising, and digital design solutions for clients worldwide.

## Core Expertise

- Brand Strategy & Identity Development
- Graphic Design
- UI/UX Design
- Web Design
- Mobile App Design
- Marketing & Advertising Campaigns

## Key Achievements

- Created and launched more than 20 successful brands in Ukraine
- Delivered projects for international clients across the USA, Canada, Australia, New Zealand, Austria, and Finland

## Approach

I develop and execute unique, innovative creative solutions that drive measurable business growth. My work is grounded in mutual respect, honesty, integrity, and punctuality—ensuring seamless collaboration and reliable delivery."
18348,"# PROFESSIONAL SUMMARY

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising campaigns. Specializing in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# SKILLS

**Design Disciplines**
- Graphic Design: Print Collateral, Banners, Illustrations, Icons
- Web Design: Responsive & Adaptive Layouts
- Mobile Design: iOS & Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing & Interactive Prototyping
- Atomic Design Methodology
- User Personas & User Flow Development

**Technical Knowledge**
- HTML & CSS Fundamentals

---

# TOOLS

**Primary**
- Figma: Team Libraries, Auto Layout, Component Properties, Branches

**Adobe Creative Suite**
- Photoshop: Expert
- Illustrator: Expert
- After Effects: Proficient

---

# OBJECTIVE

Seeking to join a dynamic team where I can apply my artistic vision and contribute meaningfully to innovative design projects."
26715,"# Senior Creative Director & Digital Design Leader

## Professional Summary

Versatile creative professional with 20 years of expertise spanning web design, UI/UX, 3D graphics, animation, and product development. Proven entrepreneurial leader with demonstrated success building and scaling creative teams. Seeking opportunities for continued professional growth.

---

## Core Competencies

- Web Design & Development
- UI/UX Design
- 3D Graphics & Animation
- Art Direction
- Team Leadership & Management
- Product Development

---

## Professional Experience

**Co-Founder & Creative Lead**
*Mobile Game Studio*

- Managed full-cycle game development from concept through release
- Led UI/UX design, visual design, and animation production
- Created Unity VFX assets and directed sound editing
- Oversaw cross-functional communication and project coordination

**CTO & Technical Lead**
*Outsource Studio (Founder)*

- Founded and scaled creative outsource studio from inception
- Grew internal team to 25 office-based developers
- Managed extended network of 20+ freelance collaborators
- Provided art direction and design team leadership

---

## Areas of Expertise

Web Design | UI/UX | 3D Graphics | Animation | Unity VFX | Product Creation | Team Building | Art Direction | Sound Editing

---

*Open to growth opportunities*"
26747,"# Senior Product Designer

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design: The Very Best Of

## Professional Summary
Product designer with over 6 years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Skilled in web, mobile, dashboard, and web application design. Experienced in hypothesis generation, research, wireframing, prototyping, usability testing, design system creation, and design team leadership. Committed to aligning design solutions with business objectives.

## Key Experience
- Led development of an Australia-based digital home loan product from concept to MVP over one year
- Built a comprehensive design system from scratch within a three-person team
- Led a design team of 8 people

## Design Process
- Stakeholder and product manager communication
- User and market research
- Functionality mapping and process flow development
- Low and high-fidelity wireframe creation
- UI research and design

## Leadership & Collaboration
- Mentorship of junior designers
- Conducting 1:1 meetings to identify challenges and define areas for professional growth
- Providing feedback and support to teammates"
