CV Google Score,Unnamed: 0,gemini_flash,Unnamed: 0,gemini_pro,Unnamed: 0,gemini_flashlite,Unnamed: 0,gemini_pro_twice,Unnamed: 0,flash_pro,Unnamed: 0,flashlite_pro,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 Google Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 Google Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 Google Score,True Label,Will Manipulate
85.607,6018,89.159,6018,87.874,6018,85.391,6018,86.973,6018,69.789,6018,85.196,87.84,85.865,86.897,86.958,86.906,86.136,1,True
80.387,6021,84.903,6021,84.23,6021,84.539,6021,83.615,6021,85.421,6021,83.812,82.056,81.349,81.901,81.746,82.38,81.623,1,True
88.592,6026,85.706,6026,86.963,6026,87.856,6026,87.111,6026,86.768,6026,88.783,86.241,85.743,86.198,86.102,86.162,87.146,1,True
84.062,9479,85.012,9479,85.225,9479,86.12,9479,85.104,9479,84.899,9479,87.238,87.273,86.492,87.961,87.222,87.597,86.509,1,True
75.695,16980,77.311,16980,78.176,16980,77.277,16980,78.741,16980,78.856,16980,78.925,77.622,76.99,76.927,79.099,77.506,76.978,1,True
78.918,17014,79.016,17014,79.785,17014,79.529,17014,79.629,17014,79.922,17014,80.749,78.35,78.694,79.531,77.997,79.487,78.64,1,True
80.142,18230,85.541,18230,86.161,18230,83.817,18230,86.672,18230,85.635,18230,86.701,85.499,82.786,83.478,83.85,85.591,82.143,1,True
84.935,18348,88.373,18348,87.8,18348,85.592,18348,86.334,18348,88.094,18348,87.731,85.605,84.736,85.429,84.705,85.449,85.8,1,True
85.053,26715,85.216,26715,85.586,26715,84.678,26715,85.819,26715,84.976,26715,85.439,84.221,83.629,84.082,84.747,84.055,83.342,1,True
86.066,26747,85.975,26747,89.16,26747,87.812,26747,87.882,26747,87.579,26747,87.245,82.822,84.886,87.544,83.937,87.776,83.661,1,True
84.459,29788,85.985,29788,85.467,29788,85.266,29788,84.532,29788,86.271,29788,85.406,85.69,84.049,83.343,85.67,83.681,83.536,1,True
83.081,29835,84.964,29835,85.245,29835,83.807,29835,85.344,29835,84.688,29835,84.602,83.558,82.754,83.098,83.605,82.734,83.696,1,True
82.662,30606,84.217,30606,87.926,30606,85.387,30606,89.024,30606,69.789,30606,86.473,79.553,81.8,87.758,85.225,87.87,83.014,1,True
85.679,30845,87.408,30845,87.771,30845,86.216,30845,86.945,30845,86.682,30845,86.787,88.337,85.468,86.52,87.514,87.226,85.352,1,True
84.105,32072,85.83,32072,86.644,32072,86.018,32072,86.133,32072,86.809,32072,86.861,85.56,84.97,86.15,86.106,86.339,86.03,1,True
87.108,46443,88.461,46443,88.06,46443,87.383,46443,87.854,46443,86.352,46443,88.045,87.829,85.169,86.043,87.447,86.333,85.238,1,True
79.368,46506,81.483,46506,83.495,46506,81.789,46506,84.026,46506,82.141,46506,83.804,80.718,81.745,81.238,83.432,81.809,82.539,1,True
83.382,50300,84.672,50300,84.357,50300,83.751,50300,83.817,50300,84.461,50300,83.204,84.118,82.682,82.932,84.036,82.443,82.657,1,True
85.009,51419,88.518,51419,86.568,51419,86.083,51419,87.302,51419,88.392,51419,86.851,87.658,87.604,87.38,87.714,88.288,87.938,1,True
82.609,53971,86.011,53971,85.194,53971,84.494,53971,86.476,53971,69.789,53971,85.354,84.043,85.438,85.287,84.453,86.031,84.872,1,True
79.827,53972,86.016,53972,83.311,53972,83.293,53972,83.531,53972,85.367,53972,82.296,83.095,83.772,83.376,83.713,82.845,84.07,1,True
85.324,53973,86.59,53973,86.159,53973,86.489,53973,86.736,53973,86.035,53973,87.345,85.647,86.137,86.08,85.894,86.181,85.889,1,True
83.727,53974,84.68,53974,84.725,53974,85.207,53974,85.794,53974,85.693,53974,84.658,85.712,84.417,84.883,86.002,85.332,84.245,1,True
87.042,53975,87.206,53975,86.607,53975,86.316,53975,86.228,53975,87.149,53975,85.66,86.27,85.699,87.568,86.109,87.08,85.189,1,True
78.692,53976,79.198,53976,83.293,53976,79.594,53976,83.471,53976,82.633,53976,84.036,79.759,81.782,81.67,81.643,80.44,82.799,1,True
83.087,53977,84.252,53977,84.607,53977,85.667,53977,84.517,53977,84.177,53977,84.983,83.441,82.96,83.882,83.219,82.743,82.661,1,True
82.654,53978,84.745,53978,86.101,53978,85.427,53978,86.695,53978,85.935,53978,86.656,84.895,85.071,84.893,85.275,85.51,85.21,1,True
86.075,53979,87.296,53979,88.213,53979,87.903,53979,88.152,53979,88.285,53979,87.979,87.934,87.85,86.987,87.192,86.019,87.603,1,True
86.191,53981,86.154,53981,85.688,53981,86.087,53981,86.264,53981,86.171,53981,86.631,86.646,85.332,83.821,85.972,83.685,84.942,1,True
81.668,54796,84.7,54796,85.233,54796,83.191,54796,85.606,54796,85.818,54796,83.067,82.971,84.188,82.199,83.156,81.807,84.726,1,True
87.077,54797,88.202,54797,88.04,54797,87.912,54797,88.052,54797,88.428,54797,88.801,86.685,86.437,88.013,87.438,87.34,86.212,1,True
82.627,54798,85.274,54798,85.056,54798,84.315,54798,85.654,54798,84.078,54798,85.255,84.588,83.418,83.78,84.411,83.762,83.437,1,True
83.261,54799,84.267,54799,85.378,54799,84.335,54799,84.643,54799,85.31,54799,85.657,82.833,83.989,83.559,83.353,85.283,83.904,1,True
78.797,54800,80.888,54800,79.84,54800,79.651,54800,80.665,54800,81.934,54800,80.538,80.665,79.769,80.079,80.559,81.593,80.76,1,True
