,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite DoorDash Score
6018,78.6
6021,80.567
6026,80.067
9479,80.029
16980,78.646
17014,75.716
18230,77.326
18348,79.613
26715,82.246
26747,83.159
29788,78.629
29835,80.791
30606,79.538
30845,81.406
32072,78.168
46443,82.832
46506,77.68
50300,81.386
51419,79.16
53971,77.325
53972,78.779
53973,76.633
53974,77.153
53975,79.107
53976,76.072
53977,80.746
53978,75.91
53979,77.325
53981,78.382
54796,77.347
54797,78.392
54798,79.525
54799,77.535
54800,72.824
56453,80.506
56528,78.725
56542,76.591
56543,78.362
56544,76.739
56545,80.533
56618,79.444
56619,74.907
56629,79.686
56630,76.548
56631,82.496
56632,78.743
56633,81.266
56634,76.813
56635,77.827
56637,75.813
56638,80.794
56639,76.192
56641,75.218
56642,78.311
56643,82.557
56644,76.781
56645,77.701
56646,77.622
56647,78.493
56648,76.055
56649,75.552
56650,79.827
56651,74.166
56652,79.511
56653,78.178
56654,80.338
56656,76.316
56657,75.877
56661,79.693
56662,81.42
56725,75.335
56795,72.569
56796,73.905
56797,77.5
56798,77.677
56799,73.445
56800,77.795
56801,76.989
56802,77.244
56803,80.915
56804,79.006
56805,78.956
56807,81.804
56809,81.381
56859,75.117
56860,79.463
56861,78.441
56862,79.18
57384,82.688
57400,84.54
62042,82.377
63086,75.634
63087,81.817
83710,80.336
83711,79.019
86666,78.466
87779,82.869
97622,78.968
98134,79.045
98135,79.214
98136,78.544
98137,76.087
98138,76.884
98171,78.953
98172,74.724
98173,79.788
98245,79.129
98250,82.967
98251,78.108
98252,76.917
98253,82.15
98254,77.663
98255,80.337
98256,79.482
98257,82.804
98258,81.194
98259,81.308
98260,79.627
98261,78.954
98262,81.29
98263,80.897
98264,82.652
98265,81.645
98266,83.828
98267,78.731
98268,81.702
98269,78.596
98270,79.336
98271,78.584
98272,81.255
98273,78.919
98274,78.977
98275,78.194
98276,78.011
98277,78.109
98278,78.422
98279,82.225
98280,79.452
98281,81.027
98282,81.579
98283,80.473
98284,77.12
98285,77.286
98286,79.415
98287,79.589
98288,80.051
98289,78.379
98290,76.976
98291,79.5
98292,80.171
98293,78.239
98294,79.697
98295,78.177
98296,75.986
98297,80.175
98298,81.24
98299,78.303
98300,78.898
98301,74.825
98302,80.693
98303,79.245
98304,78.111
98305,81.368
98306,80.424
98307,77.863
98308,78.073
98309,79.542
98310,81.743
98311,79.731
98312,78.722
98313,80.475
98314,84.149
98315,78.517
98316,80.351
98317,76.675
98318,80.241
98319,79.494
98320,79.26
98321,81.07
98322,77.57
98323,79.424
98324,78.983
98325,80.344
98326,78.911
98327,78.574
98328,78.833
98329,80.194
98330,80.398
98331,78.588
98332,77.041
98333,76.002
98334,77.769
98335,80.288
98336,78.697
98337,79.113
98338,81.13
98339,78.482
98340,78.667
98341,79.123
98342,82.375
98343,76.618
98344,81.143
98345,80.701
98346,76.518
98347,79.893
98348,79.354
98349,81.018
98350,80.817
98351,77.142
98352,74.643
98353,78.695
98354,76.347
98355,79.597
98356,76.542
98357,84.494
98358,80.513
98359,74.498
98360,76.869
98361,81.284
98362,78.714
98363,77.861
98364,76.753
98365,76.838
98366,78.258
98367,81.343
98368,78.328
98369,77.161
98370,80.365
98371,78.108
98372,80.574
98373,81.85
98374,79.027
98375,79.868
98376,81.377
98377,79.904
98378,80.615
98379,83.527
98380,81.165
98381,77.544
98382,79.552
98383,80.028
98384,81.442
98385,78.611
98386,76.82
98387,78.829
98388,82.322
98389,79.497
98390,80.759
98391,80.093
98392,77.009
98393,78.26
98394,75.704
98395,79.674
98396,79.611
98397,77.772
98398,78.953
98399,77.469
98400,77.511
98401,77.161
98402,83.666
1747,79.153
1784,80.666
2476,82.767
2515,82.782
2517,81.769
2529,81.366
2538,83.511
2551,83.283
2553,83.011
2554,83.04
2555,82.056
2556,81.751
2577,83.415
2582,82.357
2583,80.677
2584,83.696
2585,82.623
2586,82.689
2587,82.388
2588,81.67
2589,84.178
2590,81.561
2591,80.847
2592,85.558
2594,83.916
2595,82.769
2597,87.051
2645,81.214
2654,82.563
2655,83.206
2656,82.722
2657,80.133
2658,83.652
2659,81.942
2660,83.816
2741,81.121
2766,80.377
2793,84.959
2810,79.367
2824,82.044
