,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 DoorDash Score
6018,78.845
6021,78.111
6026,79.36
9479,78.828
16980,79.173
17014,75.071
18230,77.617
18348,79.681
26715,80.513
26747,79.782
29788,78.02
29835,80.125
30606,75.559
30845,81.123
32072,79.448
46443,82.713
46506,77.844
50300,81.314
51419,77.982
53971,78.538
53972,77.481
53973,76.807
53974,76.618
53975,78.814
53976,74.761
53977,80.791
53978,75.957
53979,78.567
53981,77.569
54796,76.635
54797,77.972
54798,78.322
54799,77.212
54800,74.425
56453,81.266
56528,78.292
56542,77.547
56543,78.138
56544,75.227
56545,78.928
56618,79.229
56619,77.678
56629,78.891
56630,75.799
56631,80.212
56632,78.439
56633,80.991
56634,74.575
56635,78.648
56637,76.493
56638,79.725
56639,77.588
56641,77.928
56642,78.15
56643,82.979
56644,78.583
56645,77.024
56646,77.475
56647,79.34
56648,78.257
56649,74.018
56650,78.767
56651,77.354
56652,79.099
56653,79.051
56654,79.049
56656,76.833
56657,77.09
56661,78.034
56662,76.772
56725,79.848
56795,75.623
56796,76.157
56797,77.175
56798,76.054
56799,75.531
56800,78.552
56801,77.98
56802,76.714
56803,81.908
56804,78.051
56805,79.939
56807,81.344
56809,80.497
56859,75.893
56860,78.511
56861,77.914
56862,77.499
57384,82.988
57400,83.486
62042,80.711
63086,75.518
63087,83.84
83710,78.601
83711,76.738
86666,79.719
87779,80.682
97622,77.632
98134,80.929
98135,78.616
98136,78.892
98137,75.675
98138,77.75
98171,77.94
98172,75.774
98173,81.341
98245,76.915
98250,81.922
98251,77.275
98252,80.578
98253,79.185
98254,76.577
98255,79.658
98256,77.718
98257,78.516
98258,79.627
98259,79.912
98260,80.851
98261,82.005
98262,77.953
98263,80.03
98264,81.397
98265,83.694
98266,82.97
98267,78.922
98268,78.128
98269,77.516
98270,79.348
98271,78.968
98272,78.853
98273,77.766
98274,77.971
98275,80.001
98276,78.224
98277,77.151
98278,77.155
98279,79.703
98280,79.606
98281,79.57
98282,78.265
98283,82.872
98284,75.479
98285,78.459
98286,80.769
98287,80.536
98288,76.696
98289,76.969
98290,75.338
98291,80.484
98292,78.552
98293,77.28
98294,78.221
98295,79.245
98296,78.523
98297,81.674
98298,78.481
98299,77.906
98300,77.597
98301,76.61
98302,80.02
98303,78.98
98304,79.455
98305,84.462
98306,78.551
98307,78.701
98308,77.878
98309,79.09
98310,81.777
98311,80.046
98312,77.97
98313,77.503
98314,82.306
98315,78.935
98316,82.757
98317,77.877
98318,78.704
98319,78.364
98320,78.929
98321,80.256
98322,78.198
98323,79.112
98324,78.88
98325,80.163
98326,77.926
98327,77.666
98328,79.829
98329,80.713
98330,79.458
98331,78.256
98332,78.164
98333,78.34
98334,79.631
98335,81.322
98336,78.242
98337,80.105
98338,81.552
98339,75.18
98340,76.049
98341,80.355
98342,81.203
98343,75.437
98344,79.135
98345,79.511
98346,76.921
98347,79.698
98348,76.346
98349,79.63
98350,79.44
98351,78.269
98352,76.607
98353,77.644
98354,77.719
98355,79.985
98356,79.886
98357,79.734
98358,80.007
98359,77.636
98360,77.297
98361,80.806
98362,77.667
98363,77.417
98364,76.727
98365,76.322
98366,76.585
98367,81.049
98368,77.527
98369,75.815
98370,81.651
98371,79.602
98372,78.847
98373,80.524
98374,80.276
98375,78.33
98376,78.365
98377,78.408
98378,80.738
98379,82.136
98380,80.249
98381,76.301
98382,78.496
98383,80.137
98384,79.515
98385,78.106
98386,76.837
98387,81.133
98388,82.086
98389,79.707
98390,82.172
98391,79.085
98392,75.615
98393,75.894
98394,75.109
98395,78.462
98396,77.597
98397,77.35
98398,80.128
98399,75.787
98400,78.38
98401,79.044
98402,84.637
1747,78.667
1784,79.247
2476,83.173
2515,81.852
2517,80.889
2529,81.452
2538,82.551
2551,82.362
2553,83.131
2554,84.002
2555,80.786
2556,81.494
2577,81.671
2582,82.39
2583,80.966
2584,82.626
2585,83.001
2586,81.906
2587,81.705
2588,81.517
2589,83.025
2590,83.674
2591,81.325
2592,85.259
2594,83.327
2595,81.724
2597,87.276
2645,82.607
2654,82.222
2655,81.116
2656,82.641
2657,78.18
2658,82.321
2659,82.009
2660,83.209
2741,79.579
2766,80.298
2793,82.322
2810,79.383
2824,82.375
3002,82.354
3021,83.217
3093,82.761
3105,82.147
3113,79.245
3118,81.97
3120,82.06
3122,81.435
3123,80.441
3133,84.052
3134,83.113
3135,85.242
3136,81.399
3137,84.018
3138,81.413
3139,79.89
3140,80.299
3141,80.905
3142,82.897
3143,81.242
3144,78.779
3145,80.284
3146,79.187
3147,82.337
3148,80.59
3149,82.519
3150,83.303
3153,81.04
3155,78.806
3156,82.038
3157,80.159
3158,81.876
3159,81.914
3160,80.85
3161,83.294
3162,81.523
3186,82.542
3225,83.589
3315,80.146
3321,82.81
3332,78.962
5877,79.225
5981,84.339
6043,83.589
6078,80.662
6081,83.094
6082,81.794
6090,82.547
6127,86.697
6211,81.86
6213,85.025
6214,81.09
6231,80.672
6232,81.566
6233,81.592
6239,78.403
6240,81.264
6254,82.008
6255,80.131
6342,81.705
7630,79.174
7654,80.199
8890,78.869
8916,76.378
9028,80.065
9066,80.81
9445,82.129
9542,81.331
9546,83.747
9547,80.883
9583,80.852
9587,78.091
12037,82.009
12116,79.436
12122,82.192
12124,83.123
12141,79.967
12143,80.274
12149,81.591
12161,74.709
12252,82.751
12408,78.675
12409,81.671
12410,83.82
12418,81.553
12422,82.059
12435,81.292
12436,80.252
12437,79.96
12447,84.35
12448,84.157
12449,79.501
12450,80.592
12451,82.774
12452,80.07
12453,82.205
12454,80.15
12455,84.177
12456,82.351
12457,80.703
12458,83.291
12459,81.774
12460,85.609
12461,84.312
12462,80.07
12463,77.561
12464,86.11
12465,82.371
12466,79.453
12467,82.422
12468,78.074
12469,75.777
12470,86.907
12471,82.723
12472,81.12
12473,82.089
12474,78.044
12475,82.816
12476,81.353
12477,79.421
12478,82.822
12479,78.156
12480,82.067
12481,76.195
12482,82.961
12483,79.594
12484,81.583
12485,81.376
12486,83.448
12487,84.853
12488,79.589
12489,79.139
12490,79.212
12491,83.803
12492,81.193
12493,82.378
12494,80.165
12495,84.022
12496,80.409
12497,84.069
12498,82.486
12499,81.253
12500,80.646
12501,77.628
12502,81.519
12503,78.074
12504,81.135
12505,76.899
12506,81.872
12507,79.674
12508,82.158
12509,79.909
12510,81.272
12511,79.616
12512,80.141
12513,80.646
12514,85.969
12515,81.707
12516,83.139
12518,81.943
12519,80.676
12520,84.664
12521,82.486
12523,84.714
12525,86.697
12526,83.336
12527,82.997
12528,78.788
12529,83.334
12530,80.128
12531,79.817
12532,80.308
12533,81.944
12565,83.826
12656,80.969
12674,83.083
12687,79.224
12736,83.167
13078,80.822
13080,83.395
13146,81.268
13147,81.923
13148,83.669
13149,80.504
13150,82.215
13196,85.619
13382,82.489
13461,80.37
13475,84.04
13477,81.223
13537,83.263
13893,80.854
13897,80.933
14744,81.727
14862,82.104
14882,83.363
14890,79.473
14906,80.536
14907,82.681
14914,79.99
14916,80.175
14930,82.963
14932,77.707
14939,80.347
14947,80.734
15180,80.737
15240,81.782
15339,80.703
15419,80.61
15425,83.905
15426,82.472
15474,83.193
15519,82.34
15524,82.039
15589,79.615
15679,75.507
15743,76.209
16036,83.555
16039,81.37
16064,86.083
