,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 DoorDash Score
6018,77.356
6021,77.666
6026,79.585
9479,79.851
16980,78.795
17014,76.381
18230,76.714
18348,79.538
26715,81.969
26747,84.443
29788,77.56
29835,80.971
30606,79.027
30845,81.758
32072,80.175
46443,83.475
46506,77.078
50300,81.686
51419,78.607
53971,78.215
53972,77.883
53973,77.274
53974,76.466
53975,78.707
53976,77.427
53977,81.938
53978,76.819
53979,78.171
53981,77.094
54796,76.861
54797,78.822
54798,79.463
54799,77.319
54800,75.011
56453,80.634
56528,78.693
56542,76.948
56543,74.454
56544,76.05
56545,78.01
56618,80.146
56619,74.404
56629,79.666
56630,77.256
56631,82.114
56632,77.786
56633,80.093
56634,77.025
56635,78.317
56637,76.856
56638,78.321
56639,76.046
56641,77.186
56642,77.638
56643,82.47
56644,78.429
56645,77.472
56646,76.573
56647,80.308
56648,78.542
56649,76.171
56650,78.047
56651,77.529
56652,78.674
56653,78.754
56654,79.165
56656,76.488
56657,76.62
56661,79.06
56662,79.558
56725,76.398
56795,74.82
56796,75.759
56797,76.987
56798,79.208
56799,76.445
56800,77.798
56801,77.299
56802,75.514
56803,82.287
56804,79.161
56805,79.357
56807,82.193
56809,79.685
56859,76.86
56860,78.527
56861,76.25
56862,79.235
57384,81.59
57400,83.023
62042,79.633
63086,76.799
63087,83.424
83710,78.84
83711,74.576
86666,80.497
87779,80.34
97622,77.574
98134,80.178
98135,78.033
98136,78.227
98137,75.381
98138,76.795
98171,78.864
98172,75.604
98173,80.306
98245,77.621
98250,82.302
98251,77.421
98252,79.658
98253,79.365
98254,77.444
98255,80.119
98256,76.371
98257,81.14
98258,80.273
98259,81.427
98260,78.975
98261,81.811
98262,79.443
98263,78.192
98264,78.987
98265,80.952
98266,82.241
98267,78.746
98268,78.247
98269,78.051
98270,79.799
98271,78.746
98272,79.475
98273,78.583
98274,79.099
98275,80.064
98276,77.542
98277,78.101
98278,77.716
98279,81.029
98280,79.809
98281,80.65
98282,78.806
98283,79.174
98284,76.306
98285,78.011
98286,79.821
98287,81.354
98288,76.124
98289,77.535
98290,77.839
98291,79.231
98292,79.376
98293,77.678
98294,78.98
98295,78.438
98296,77.384
98297,81.099
98298,80.282
98299,79.065
98300,76.907
98301,75.325
98302,80.816
98303,79.546
98304,78.865
98305,82.312
98306,78.984
98307,78.748
98308,77.977
98309,79.844
98310,82.495
98311,78.765
98312,80.095
98313,77.243
98314,81.717
98315,79.145
98316,84.078
98317,79.023
98318,79.373
98319,78.123
98320,78.48
98321,80.068
98322,77.426
98323,79.14
98324,78.91
98325,79.569
98326,77.912
98327,77.187
98328,79.466
98329,80.073
98330,77.945
98331,78.033
98332,77.337
98333,78.005
98334,79.708
98335,80.46
98336,77.388
98337,76.39
98338,81.28
98339,74.555
98340,77.11
98341,79.929
98342,81.091
98343,74.682
98344,79.92
98345,80.638
98346,78.106
98347,79.715
98348,77.884
98349,78.947
98350,80.418
98351,77.681
98352,76.623
98353,76.984
98354,76.94
98355,79.093
98356,78.306
98357,81.35
98358,78.91
98359,78.508
98360,77.152
98361,79.123
98362,78.449
98363,75.784
98364,75.979
98365,76.848
98366,78.54
98367,79.945
98368,76.67
98369,76.937
98370,80.192
98371,78.966
98372,79.648
98373,83.397
98374,79.613
98375,79.065
98376,79.619
98377,78.588
98378,80.449
98379,80.158
98380,80.514
98381,75.196
98382,79.012
98383,77.804
98384,81.177
98385,77.69
98386,79.171
98387,80.347
98388,82.014
98389,79.61
98390,81.087
98391,78.399
98392,76.86
98393,76.761
98394,74.819
98395,77.745
