,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite Google Score
6018,85.391
6021,84.539
6026,87.856
9479,86.12
16980,77.277
17014,79.529
18230,83.817
18348,85.592
26715,84.678
26747,87.812
29788,85.266
29835,83.807
30606,85.387
30845,86.216
32072,86.018
46443,87.383
46506,81.789
50300,83.751
51419,86.083
53971,84.494
53972,83.293
53973,86.489
53974,85.207
53975,86.316
53976,79.594
53977,85.667
53978,85.427
53979,87.903
53981,86.087
54796,83.191
54797,87.912
54798,84.315
54799,84.335
54800,79.651
56453,84.394
56528,82.372
56542,83.312
56543,84.541
56544,84.92
56545,83.506
56618,86.025
56619,81.882
56629,87.993
56630,83.117
56631,86.257
56632,86.369
56633,85.36
56634,82.43
56635,85.378
56637,84.823
56638,87.123
56639,85.072
56641,80.714
56642,84.194
56643,83.799
56644,80.126
56645,85.049
56646,82.442
56647,83.033
56648,75.835
56649,82.748
56650,82.972
56651,80.257
56652,84.348
56653,80.213
56654,84.682
56656,83.629
56657,86.056
56661,84.55
56662,84.868
56725,80.694
56795,78.878
56796,85.654
56797,83.892
56798,81.98
56799,81.124
56800,82.096
56801,84.349
56802,81.367
56803,89.595
56804,87.965
56805,82.441
56807,88.569
56809,87.374
56859,80.557
56860,86.44
56861,85.145
56862,87.228
57384,89.036
57400,89.944
62042,82.587
63086,82.076
63087,83.225
83710,85.824
83711,81.047
86666,86.523
87779,81.294
97622,86.953
98134,86.918
98135,87.697
98136,85.717
98137,85.488
98138,81.648
98171,85.995
98172,82.801
98173,83.451
98245,86.728
98250,82.628
98251,85.487
98252,74.5
98253,84.086
98254,85.049
98255,84.43
98256,82.189
98257,86.588
98258,83.568
98259,84.44
98260,81.175
98261,83.476
98262,85.918
98263,85.478
98264,83.689
98265,81.874
98266,85.161
98267,81.219
98268,84.289
98269,86.994
98270,83.545
98271,84.146
98272,92.334
98273,86.51
98274,87.728
98275,84.939
98276,85.304
98277,86.661
98278,86.478
98279,87.862
98280,84.163
98281,87.327
98282,87.223
98283,86.974
98284,84.804
98285,82.127
98286,85.26
98287,86.664
98288,82.246
98289,84.059
98290,79.829
98291,86.777
98292,88.969
98293,86.588
98294,82.669
98295,86.751
98296,83.546
98297,85.47
98298,87.24
98299,85.684
98300,87.739
98301,84.357
98302,84.618
98303,87.106
98304,85.478
98305,87.392
98306,87.64
98307,85.972
98308,85.037
98309,82.558
98310,84.619
98311,85.725
98312,84.491
98313,89.07
98314,88.038
98315,84.176
98316,85.422
98317,82.265
98318,85.127
98319,86.136
98320,88.58
98321,86.28
98322,89.146
98323,88.213
98324,85.915
98325,88.485
98326,85.373
98327,83.582
98328,84.408
98329,83.745
98330,84.35
98331,80.971
98332,82.171
98333,83.294
98334,79.446
98335,82.378
98336,82.197
98337,85.022
98338,83.58
98339,87.568
98340,87.538
98341,84.89
98342,86.172
98343,85.318
98344,87.622
98345,82.896
98346,84.69
98347,83.381
98348,81.505
98349,88.462
98350,88.543
98351,83.474
98352,84.19
98353,83.764
98354,78.413
98355,81.671
98356,81.515
98357,80.959
98358,84.607
98359,79.225
98360,75.831
98361,86.524
98362,87.008
98363,83.292
98364,82.348
98365,82.876
98366,81.53
98367,83.405
98368,83.781
98369,89.347
98370,87.847
98371,84.685
98372,87.775
98373,82.676
98374,83.813
98375,87.225
98376,83.449
98377,85.363
98378,88.162
98379,88.882
98380,85.095
98381,83.456
98382,88.467
98383,86.535
98384,83.565
98385,86.238
98386,81.109
98387,85.548
98388,87.186
98389,83.035
98390,85.379
98391,86.227
98392,81.4
98393,85.438
98394,88.445
98395,89.998
98396,85.881
98397,85.148
98398,83.821
98399,81.991
98400,81.455
98401,83.922
98402,85.515
1747,81.647
1784,81.685
2476,81.388
2515,80.688
2517,78.975
2529,79.867
2538,80.023
2551,82.955
2553,77.735
2554,84.51
2555,80.224
2556,80.822
2577,81.333
2582,81.936
2583,78.018
2584,80.23
2585,79.353
2586,80.28
2587,78.636
2588,77.004
2589,81.319
2590,77.8
2591,78.597
2592,81.157
2594,79.859
2595,80.436
2597,82.834
2645,80.297
2654,79.18
2655,81.679
2656,79.291
2657,82.566
2658,79.544
2659,80.984
2660,79.53
2741,77.975
2766,81.329
2793,81.655
2810,76.743
2824,80.229
3002,78.949
3021,79.608
3093,81.265
3105,79.506
3113,80.454
3118,84.622
3120,80.149
3122,80.144
3123,80.602
3133,79.966
3134,79.446
3135,79.736
3136,83.675
3137,80.805
3138,79.719
3139,80.983
3140,80.641
3141,82.247
3142,82.089
3143,79.56
3144,79.969
3145,76.159
3146,79.04
3147,80.145
3148,80.824
3149,80.296
3150,80.38
3153,79.701
3155,76.447
3156,80.162
3157,81.597
3158,79.738
3159,77.838
3160,80.804
3161,81.936
3162,80.622
3186,80.819
3225,80.013
3315,79.619
3321,79.539
3332,81.292
5877,80.216
5981,81.506
6043,80.449
6078,81.793
6081,82.373
6082,83.52
6090,80.059
6127,82.578
6211,79.339
6213,80.628
6214,80.48
6231,78.626
6232,83.381
6233,78.793
6239,78.935
6240,78.058
6254,83.188
6255,78.845
6342,76.058
7630,81.486
7654,77.872
8890,82.857
8916,77.592
9028,79.518
9066,78.505
9445,79.985
9542,81.83
9546,80.142
9547,79.027
9583,77.571
9587,79.224
12037,81.404
12116,78.732
12122,81.269
12124,79.17
12141,78.636
12143,81.569
12149,81.15
12161,81.163
12252,82.986
12408,78.356
12409,79.311
12410,81.137
12418,82.26
12422,78.019
12435,78.369
12436,78.593
12437,78.808
12447,81.757
12448,81.569
12449,79.844
12450,79.737
12451,79.894
12452,82.568
12453,81.642
12454,80.623
12455,79.865
12456,79.236
12457,82.817
12458,83.847
12459,77.049
12460,81.388
12461,80.758
12462,81.005
12463,83.63
12464,80.834
12465,78.797
12466,81.134
12467,82.206
12468,79.052
12469,77.131
