,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview DoorDash Score
6018,80.123
6021,79.393
6026,80.628
9479,79.74
16980,79.227
17014,76.109
18230,77.523
18348,79.472
26715,81.821
26747,83.41
29788,77.979
29835,80.47
30606,77.906
30845,80.885
32072,77.426
46443,83.563
46506,77.445
50300,82.078
51419,79.435
53971,77.669
53972,78.543
53973,76.613
53974,77.446
53975,78.964
53976,76.366
53977,82.044
53978,77.885
53979,77.471
53981,79.688
54796,77.082
54797,78.044
54798,79.812
54799,78.77
54800,75.093
56453,78.334
56528,78.17
56542,75.32
56543,77.334
56544,77.391
56545,79.12
56618,79.879
56619,75.736
56629,80.273
56630,77.518
56631,80.522
56632,79.822
56633,77.92
56634,77.392
56635,78.141
56637,77.088
56638,80.895
56639,76.711
56641,78.369
56642,77.74
56643,82.816
56644,76.699
56645,78.187
56646,77.725
56647,80.339
56648,79.243
56649,76.627
56650,79.759
56651,78.471
56652,79.186
56653,78.656
56654,79.732
56656,76.074
56657,77.193
56661,79.11
56662,79.146
56725,77.116
56795,75.934
56796,75.132
56797,78.144
56798,76.506
56799,75.569
56800,77.199
56801,79.22
56802,73.764
56803,81.294
56804,78.524
56805,78.932
56807,79.578
56809,79.233
56859,77.546
56860,80.067
56861,76.369
56862,80.115
57384,82.623
57400,83.632
62042,80.49
63086,75.385
63087,82.28
83710,79.269
83711,74.452
86666,80.335
87779,79.066
97622,79.881
98134,78.717
98135,79.23
98136,77.94
98137,76.336
98138,78.238
98171,77.953
98172,77.467
98173,80.267
98245,77.552
98250,83.237
98251,77.367
98252,76.928
98253,80.534
98254,78.914
98255,81.215
98256,80.639
98257,82.185
98258,80.054
98259,80.636
98260,81.251
98261,80.778
98262,80.73
98263,81.384
98264,83.454
98265,81.771
98266,82.893
98267,77.552
98268,79.95
98269,79.109
98270,80.685
98271,78.347
98272,80.837
98273,78.612
98274,78.848
98275,78.941
98276,77.591
98277,79.149
98278,79.716
98279,81.352
98280,80.797
98281,82.552
98282,80.581
98283,80.762
98284,77.288
98285,77.503
98286,81.089
98287,80.318
98288,77.646
98289,78.284
98290,78.655
98291,79.186
98292,78.913
98293,79.483
98294,80.496
98295,77.232
98296,78.328
98297,79.679
98298,80.379
98299,79.158
98300,78.971
98301,76.161
98302,79.424
98303,79.66
98304,78.966
98305,80.996
98306,77.206
98307,78.93
98308,77.637
98309,78.249
98310,80.979
98311,79.413
98312,79.645
98313,79.238
98314,83.077
98315,80.058
98316,83.736
98317,81.073
98318,80.928
98319,79.414
98320,80.035
98321,81.6
98322,78.543
98323,79.654
98324,79.186
98325,79.914
98326,76.804
98327,81.243
98328,80.048
98329,79.637
98330,81.269
98331,78.179
98332,78.178
98333,78.353
98334,80.183
98335,80.328
98336,76.219
98337,77.754
98338,79.912
98339,77.613
98340,79.375
98341,80.398
98342,82.078
98343,74.747
98344,81.036
98345,81.105
98346,77.94
98347,78.935
98348,78.954
98349,79.344
98350,80.99
98351,77.917
98352,75.875
98353,78.815
98354,77.616
98355,80.088
98356,80.045
98357,81.553
98358,79.644
98359,74.799
98360,78.317
98361,80.76
98362,79.184
98363,77.982
98364,76.089
98365,76.157
98366,79.66
98367,80.244
98368,78.688
98369,78.213
98370,80.336
98371,79.383
98372,80.264
98373,81.987
98374,80.63
98375,77.98
98376,78.684
98377,79.025
98378,81.267
98379,79.792
98380,81.39
98381,77.895
98382,79.115
98383,81.127
98384,82.045
98385,80.045
98386,80.948
98387,79.113
98388,82.018
98389,81.606
98390,81.285
98391,78.267
98392,77.719
98393,78.862
98394,77.291
98395,80.572
98396,79.636
98397,78.472
98398,79.013
98399,78.184
98400,77.25
98401,78.748
98402,82.889
1747,81.484
1784,80.503
2476,82.424
2515,81.687
2517,81.552
2529,80.687
2538,83.619
2551,80.958
2553,82.77
2554,83.053
2555,82.005
2556,82.435
2577,83.745
2582,81.906
2583,81.406
2584,83.841
2585,83.391
2586,82.019
2587,82.33
2588,78.985
2589,83.951
2590,83.228
2591,82.144
2592,84.115
2594,83.874
2595,82.058
2597,86.507
2645,83.217
2654,82.927
2655,84.038
2656,82.556
2657,81.412
2658,81.755
2659,81.638
2660,83.582
2741,79.73
2766,80.438
2793,82.976
2810,79.854
2824,82.876
3002,83.059
3021,83.093
3093,83.305
3105,83.641
3113,78.16
3118,82.53
3120,80.0
3122,84.264
3123,82.327
3133,82.254
3134,83.601
3135,84.446
3136,82.436
3137,83.539
3138,82.421
3139,81.22
3140,80.448
3141,83.156
3142,83.197
3143,81.552
3144,79.51
3145,80.758
3146,80.147
3147,81.165
3148,81.167
3149,83.297
3150,82.482
3153,80.102
3155,79.975
3156,81.407
3157,80.504
3158,80.475
3159,81.917
3160,80.193
3161,83.428
3162,81.989
3186,80.113
3225,80.885
3315,80.882
3321,82.728
3332,78.44
5877,80.305
5981,84.75
6043,83.704
6078,82.06
6081,84.423
6082,82.052
6090,81.911
6127,85.953
6211,83.307
6213,81.191
6214,82.314
6231,79.063
6232,82.296
6233,82.567
6239,82.097
6240,81.567
6254,81.352
6255,81.163
6342,81.506
7630,83.193
7654,80.499
8890,81.071
8916,77.858
9028,80.727
9066,79.044
9445,81.401
9542,82.536
9546,83.332
9547,82.911
9583,81.747
9587,79.714
12037,81.656
12116,79.285
12122,83.117
12124,82.061
12141,80.956
12143,80.749
12149,81.849
12161,78.646
12252,85.385
12408,79.903
12409,83.343
12410,82.465
12418,82.384
12422,81.638
12435,81.93
12436,80.226
12437,80.912
12447,84.805
12448,83.818
12449,83.998
12450,81.037
12451,82.952
12452,80.899
12453,82.573
12454,82.293
12455,84.282
12456,83.777
12457,81.482
12458,79.058
12459,80.837
12460,82.493
12461,83.531
12462,81.066
12463,79.316
12464,84.838
12465,81.44
12466,81.826
12467,82.897
12468,81.138
12469,74.785
12470,84.86
12471,83.759
12472,82.725
12473,82.492
12474,78.175
12475,83.598
12476,81.12
12477,86.301
12478,84.901
12479,78.663
12480,82.829
12481,78.612
12482,83.16
12483,81.214
12484,79.364
12485,81.387
12486,83.269
12487,82.587
12488,80.929
12489,79.689
12490,81.649
12491,82.877
12492,81.264
12493,79.745
12494,80.022
12495,84.058
12496,81.766
12497,86.136
12498,85.264
12499,81.707
12500,81.687
12501,79.072
12502,82.099
12503,80.947
12504,82.661
12505,76.386
12506,82.111
12507,79.969
12508,82.916
12509,82.436
12510,79.763
12511,81.256
12512,78.229
12513,80.442
12514,85.535
12515,83.704
12516,83.547
12518,83.431
12519,81.047
12520,85.433
12521,83.07
12523,84.431
12525,85.858
12526,85.074
12527,83.06
12528,79.551
12529,85.548
12530,80.58
12531,80.8
12532,82.312
12533,81.377
12565,83.213
12656,82.215
12674,83.502
12687,81.465
12736,82.856
13078,82.416
13080,83.706
13146,81.421
13147,82.172
13148,83.283
13149,82.249
13150,82.028
13196,84.281
13382,82.358
13461,81.005
13475,84.005
13477,81.064
13537,83.873
13893,82.886
13897,81.227
14744,83.671
14862,82.59
14882,85.039
14890,82.919
14906,81.672
14907,80.746
14914,81.779
14916,79.837
14930,83.831
14932,79.188
14939,82.193
14947,83.949
15180,80.723
15240,80.308
15339,84.786
15419,81.527
15425,83.613
15426,82.531
15474,84.999
15519,67.578
15524,67.578
15589,82.042
15679,75.17
15743,78.49
16036,83.805
16039,80.328
16064,85.42
