,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview DoorDash Score
6018,78.039
6021,79.392
6026,82.157
9479,80.809
16980,79.962
17014,76.156
18230,77.625
18348,81.11
26715,82.052
26747,85.701
29788,77.661
29835,81.888
30606,81.09
30845,81.733
32072,80.396
46443,82.893
46506,78.47
50300,81.019
51419,78.447
53971,77.717
53972,78.98
53973,77.413
53974,77.872
53975,79.585
53976,80.372
53977,81.494
53978,78.505
53979,78.731
53981,79.298
54796,77.73
54797,79.093
54798,78.695
54799,77.509
54800,74.072
56453,81.748
56528,78.906
56542,77.323
56543,76.953
56544,76.251
56545,78.604
56618,79.391
56619,76.095
56629,80.157
56630,78.268
56631,80.469
56632,80.092
56633,80.758
56634,77.619
56635,77.956
56637,76.647
56638,80.748
56639,76.195
56641,79.35
56642,79.059
56643,83.435
56644,76.942
56645,77.571
56646,77.484
56647,79.033
56648,78.981
56649,76.355
56650,78.072
56651,77.083
56652,79.893
56653,78.168
56654,81.336
56656,77.314
56657,76.95
56661,78.882
56662,80.581
56725,78.515
56795,75.02
56796,75.468
56797,78.83
56798,76.149
56799,74.832
56800,78.463
56801,79.061
56802,76.324
56803,82.384
56804,78.388
56805,77.908
56807,79.31
56809,79.792
56859,75.884
56860,82.175
56861,78.399
56862,79.691
57384,82.981
57400,83.735
62042,80.698
63086,76.402
63087,81.894
83710,80.035
83711,78.211
86666,79.587
87779,80.289
97622,78.835
98134,78.861
98135,79.989
98136,80.044
98137,76.352
98138,78.517
98171,78.966
98172,77.682
98173,81.025
98245,78.112
98250,83.086
98251,77.985
98252,77.696
98253,81.017
98254,79.811
98255,81.397
98256,79.876
98257,82.708
98258,79.929
98259,80.399
98260,81.09
98261,82.688
98262,80.819
98263,80.194
98264,82.909
98265,83.338
98266,83.192
98267,77.885
98268,77.208
98269,77.925
98270,81.375
98271,77.502
98272,80.415
98273,79.342
98274,78.523
98275,80.005
98276,78.843
98277,80.059
98278,80.465
98279,82.314
98280,79.75
98281,81.556
98282,80.171
98283,79.425
98284,78.041
98285,77.953
98286,81.267
98287,80.916
98288,77.187
98289,79.63
98290,78.126
98291,80.314
98292,79.835
98293,79.167
98294,79.88
98295,78.525
98296,78.401
98297,79.962
98298,80.504
98299,78.793
98300,79.745
98301,75.215
98302,79.56
98303,79.674
98304,80.926
98305,80.883
98306,79.297
98307,79.24
98308,78.364
98309,82.762
98310,82.555
98311,78.761
98312,78.688
98313,80.597
98314,83.14
98315,79.554
98316,83.865
98317,79.995
98318,82.473
98319,80.323
98320,79.56
98321,80.681
98322,77.792
98323,78.517
98324,80.409
98325,80.253
98326,79.592
98327,81.572
98328,79.768
98329,79.335
98330,80.499
98331,79.933
98332,78.236
98333,79.221
98334,81.674
98335,81.46
98336,77.566
98337,79.124
98338,78.629
98339,78.55
98340,80.288
98341,81.404
98342,82.1
98343,75.682
98344,81.896
98345,81.794
98346,77.974
98347,79.129
98348,78.083
98349,79.744
98350,79.258
98351,78.146
98352,75.899
98353,76.107
98354,76.409
98355,78.866
98356,78.422
98357,83.223
98358,80.216
98359,78.719
98360,79.112
98361,81.195
98362,79.591
98363,78.835
98364,74.649
98365,76.921
98366,79.536
98367,79.984
98368,78.286
98369,78.004
98370,79.952
98371,82.269
98372,80.322
98373,81.838
98374,80.021
98375,81.99
98376,80.717
98377,78.894
98378,80.348
98379,79.858
98380,81.076
98381,78.283
98382,80.211
98383,80.184
98384,83.24
98385,80.211
98386,81.046
98387,79.64
98388,81.972
98389,80.579
98390,81.767
98391,78.847
98392,77.739
98393,80.737
98394,76.401
98395,80.292
98396,77.879
98397,79.428
98398,80.406
98399,77.536
98400,76.782
98401,79.657
98402,83.692
1747,80.21
1784,79.932
2476,83.447
2515,83.035
2517,79.306
2529,81.694
2538,84.684
2551,82.524
2553,83.572
2554,83.465
2555,82.457
2556,81.729
2577,83.82
2582,81.934
2583,83.137
2584,84.142
2585,82.867
2586,81.622
2587,81.511
2588,82.059
2589,83.291
2590,84.149
2591,82.043
2592,85.229
2594,84.447
2595,80.81
2597,86.001
2645,83.385
2654,82.15
2655,84.141
2656,83.455
2657,80.209
2658,82.821
2659,83.373
2660,83.842
2741,81.165
2766,80.1
2793,82.902
2810,79.682
2824,83.741
3002,82.736
3021,83.522
3093,81.665
3105,83.802
3113,79.001
3118,82.008
3120,78.562
3122,84.14
3123,81.574
3133,82.701
3134,84.005
3135,83.799
3136,83.017
3137,84.415
3138,82.295
3139,82.477
3140,80.615
3141,82.439
3142,82.893
3143,81.512
3144,81.941
3145,80.68
3146,80.055
3147,82.149
3148,81.692
3149,82.08
3150,84.172
3153,80.665
3155,79.509
3156,82.232
3157,80.961
3158,81.326
3159,80.785
3160,81.127
3161,84.395
3162,82.895
3186,82.773
3225,83.429
3315,82.909
3321,82.435
3332,80.733
5877,80.683
5981,83.977
6043,83.626
6078,82.298
6081,84.316
6082,83.548
6090,81.121
6127,85.67
6211,84.136
6213,84.905
6214,82.679
6231,81.358
6232,82.105
6233,83.022
6239,83.678
6240,82.039
6254,81.572
6255,80.98
6342,80.972
7630,82.622
7654,82.185
8890,79.898
8916,77.872
9028,80.481
9066,79.975
9445,80.757
9542,82.351
9546,82.4
9547,82.482
9583,83.122
9587,80.557
12037,82.137
12116,79.648
12122,83.759
12124,82.747
12141,82.373
12143,79.972
12149,82.185
12161,78.635
12252,85.964
12408,79.994
12409,82.727
12410,82.358
12418,83.914
12422,82.57
12435,81.466
12436,79.621
12437,80.545
12447,83.145
12448,84.128
12449,83.511
12450,81.838
12451,81.748
12452,82.53
12453,82.649
12454,83.125
12455,85.196
12456,83.84
12457,80.714
12458,80.598
12459,81.199
12460,83.59
12461,82.051
12462,81.196
12463,77.459
12464,84.368
12465,81.642
12466,81.527
12467,82.693
12468,80.73
12469,77.841
12470,86.029
12471,83.622
12472,83.088
12473,82.675
12474,79.606
12475,82.63
12476,81.645
12477,85.783
12478,83.335
12479,81.192
12480,82.454
12481,80.252
12482,83.471
12483,81.713
12484,79.805
12485,82.857
12486,82.866
12487,83.188
12488,80.305
12489,79.655
12490,81.209
12491,82.707
12492,81.447
12493,79.221
12494,80.673
12495,83.871
12496,81.904
12497,86.555
12498,84.23
12499,81.45
12500,81.297
12501,78.658
12502,81.706
12503,78.812
12504,81.346
12505,76.532
12506,83.011
12507,81.038
12508,81.351
12509,81.471
12510,82.354
12511,82.053
12512,80.503
12513,80.316
12514,85.684
12515,83.466
12516,81.507
12518,82.473
12519,81.675
12520,85.028
12521,83.039
12523,83.962
12525,84.919
12526,84.515
12527,82.564
12528,80.042
12529,86.233
12530,80.465
12531,79.97
12532,82.78
12533,82.567
12565,82.928
12656,82.956
12674,83.695
12687,79.715
12736,82.932
13078,81.79
13080,83.479
13146,83.216
13147,82.689
13148,83.103
13149,81.251
13150,82.624
13196,84.483
13382,82.085
13461,81.164
13475,84.421
13477,82.066
13537,84.121
13893,83.736
13897,81.439
14744,84.476
14862,82.462
14882,84.912
14890,83.131
14906,81.552
14907,83.177
14914,81.723
14916,81.049
14930,83.507
14932,79.557
14939,82.699
14947,80.661
15180,81.229
15240,82.56
15339,82.752
15419,83.125
15425,84.534
15426,83.074
15474,85.192
15519,80.797
15524,83.379
15589,79.708
15679,77.468
15743,79.39
16036,83.96
16039,80.373
16064,85.658
