index,CV DoorDash Score
1,77.359
2,76.957
3,78.456
4,78.834
5,77.141
6,77.237
7,75.989
8,78.917
9,79.694
10,80.852
11,78.953
12,79.948
13,76.332
14,80.344
15,78.465
16,82.198
17,75.488
18,81.352
19,79.169
20,74.711
21,77.173
22,76.43
23,77.267
24,79.808
25,75.827
26,81.101
27,76.586
28,77.557
29,79.713
30,76.356
31,76.764
32,79.209
33,76.467
34,72.283
35,80.597
36,76.399
37,76.652
38,75.785
39,74.694
40,75.462
41,78.883
42,73.858
43,79.632
44,75.11
45,79.128
46,77.946
47,82.506
48,72.819
49,77.42
50,76.808
51,77.201
52,75.957
53,76.011
54,78.507
55,81.646
56,76.768
57,78.242
58,76.798
59,78.899
60,77.546
61,75.992
62,79.052
63,74.71
64,78.297
65,75.895
66,78.432
67,77.962
68,73.741
69,78.375
70,75.993
71,75.809
72,75.511
73,75.926
74,76.937
75,75.36
76,74.378
77,78.206
78,75.463
79,71.36
80,82.419
81,77.906
82,78.13
83,81.529
84,78.706
85,76.593
86,80.598
87,77.416
88,77.833
89,82.265
90,83.063
91,78.342
92,73.924
93,80.053
94,79.315
95,73.625
96,77.242
97,80.134
98,78.58
99,79.325
100,78.06
101,79.131
102,75.016
103,78.248
104,77.291
105,74.379
106,77.869
107,75.013
108,81.731
109,76.195
110,76.396
111,79.332
112,75.904
113,80.908
114,77.506
115,81.031
116,78.106
117,79.045
118,77.723
119,78.412
120,78.653
121,77.748
122,80.937
123,80.786
124,82.737
125,76.138
126,76.766
127,77.463
128,77.622
129,76.141
130,80.152
131,78.203
132,78.065
133,78.649
134,78.466
135,77.925
136,78.303
137,82.023
138,79.168
139,78.575
140,79.362
141,83.116
142,74.147
143,77.765
144,80.179
145,81.508
146,77.517
147,76.038
148,75.701
149,77.424
150,80.611
151,77.568
152,77.539
153,78.971
154,78.982
155,80.659
156,81.461
157,78.629
158,77.878
159,74.19
160,79.438
161,79.498
162,79.643
163,81.933
164,76.646
165,76.417
166,78.557
167,80.006
168,78.286
169,79.733
170,78.156
171,79.9
172,83.101
173,80.481
174,85.276
175,77.873
176,78.138
177,79.223
178,79.388
179,79.715
180,76.962
181,79.101
182,77.363
183,78.917
184,77.435
185,76.629
186,79.198
187,79.445
188,80.149
189,75.304
190,78.333
191,76.082
192,75.334
193,79.085
194,78.047
195,78.386
196,79.253
197,76.062
198,75.39
199,79.782
200,81.774
