,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview DoorDash Score
6018,77.976
6021,81.529
6026,80.703
9479,80.475
16980,79.814
17014,76.913
18230,79.66
18348,80.577
26715,81.916
26747,82.609
29788,77.353
29835,80.743
30606,78.889
30845,82.581
32072,78.982
46443,83.201
46506,78.851
50300,80.878
51419,77.858
53971,77.17
53972,78.469
53973,77.46
53974,77.822
53975,78.73
53976,78.574
53977,81.656
53978,78.834
53979,78.484
53981,78.898
54796,77.679
54797,79.288
54798,77.918
54799,78.997
54800,74.359
56453,79.306
56528,78.202
56542,76.932
56543,79.272
56544,77.165
56545,80.557
56618,79.813
56619,76.43
56629,79.575
56630,77.541
56631,81.937
56632,79.753
56633,80.666
56634,77.226
56635,79.595
56637,76.805
56638,80.843
56639,76.782
56641,75.781
56642,79.106
56643,83.656
56644,78.052
56645,78.797
56646,77.121
56647,78.701
56648,79.028
56649,76.097
56650,79.473
56651,74.231
56652,80.596
56653,79.047
56654,79.882
56656,77.554
56657,77.249
56661,80.193
56662,80.931
56725,77.181
56795,76.752
56796,74.997
56797,78.991
56798,78.632
56799,75.016
56800,79.982
56801,79.605
56802,77.1
56803,82.763
56804,79.375
56805,80.509
56807,81.14
56809,81.356
56859,75.82
56860,79.486
56861,78.728
56862,80.025
57384,83.971
57400,85.177
62042,83.729
63086,76.551
63087,83.259
83710,80.333
83711,79.059
86666,79.3
87779,82.352
97622,80.771
98134,79.022
98135,80.616
98136,81.767
98137,77.275
98138,77.394
98171,80.002
98172,78.27
98173,79.61
98245,78.698
98250,82.939
98251,78.594
98252,79.428
98253,82.926
98254,79.743
98255,81.525
98256,81.024
98257,83.902
98258,80.08
98259,81.984
98260,80.347
98261,82.406
98262,81.109
98263,81.797
98264,82.151
98265,83.213
98266,83.847
98267,80.08
98268,80.881
98269,80.074
98270,78.977
98271,79.531
98272,81.024
98273,80.314
98274,80.772
98275,79.132
98276,77.864
98277,79.725
98278,80.114
98279,82.397
98280,80.436
98281,81.286
98282,81.957
98283,81.177
98284,77.653
98285,79.436
98286,79.817
98287,80.197
98288,81.024
98289,79.952
98290,79.737
98291,79.301
98292,79.352
98293,78.134
98294,80.025
98295,80.832
98296,77.788
98297,79.945
98298,80.451
98299,79.849
98300,79.211
98301,75.52
98302,80.692
98303,78.999
98304,79.768
98305,81.922
98306,79.643
98307,78.787
98308,78.903
98309,80.387
98310,81.814
98311,79.75
98312,79.846
98313,81.51
98314,82.109
98315,79.26
98316,80.839
98317,77.572
98318,80.593
98319,79.986
98320,78.813
98321,80.492
98322,78.539
98323,79.315
98324,80.452
98325,80.14
98326,78.685
98327,80.197
98328,78.5
98329,81.026
98330,80.752
98331,80.677
98332,78.7
98333,76.756
98334,81.487
98335,81.436
98336,79.97
98337,80.239
98338,81.433
98339,80.127
98340,77.881
98341,80.414
98342,81.277
98343,75.278
98344,81.075
98345,81.549
98346,77.741
98347,80.113
98348,79.178
98349,81.56
98350,79.428
98351,78.783
98352,77.395
98353,78.546
98354,77.289
98355,80.78
98356,79.99
98357,83.124
98358,80.556
98359,78.697
98360,80.677
98361,80.645
98362,79.671
98363,79.865
98364,76.22
98365,78.191
98366,80.199
98367,80.277
98368,78.383
98369,77.957
98370,80.939
98371,78.421
98372,81.331
98373,82.455
98374,80.86
98375,79.062
98376,81.132
98377,81.036
98378,80.314
98379,81.566
98380,80.497
98381,77.823
98382,78.937
98383,80.01
98384,82.814
98385,79.042
98386,79.421
98387,78.855
98388,82.32
98389,82.121
98390,79.641
98391,79.997
98392,77.773
98393,79.15
98394,75.494
98395,79.233
98396,79.897
98397,79.383
98398,80.171
98399,78.028
98400,79.704
98401,78.002
98402,85.677
1747,82.389
1784,79.167
2476,83.289
2515,82.863
2517,83.242
2529,81.201
2538,83.218
2551,81.735
2553,83.297
2554,84.13
2555,82.094
2556,82.354
2577,84.036
2582,81.904
2583,82.65
2584,84.456
2585,82.964
2586,82.289
2587,82.97
2588,81.229
2589,84.691
2590,82.338
2591,81.684
2592,84.423
2594,84.24
2595,83.55
2597,87.24
2645,82.27
2654,83.4
2655,82.967
2656,83.198
2657,80.257
2658,82.734
2659,83.209
2660,83.958
2741,79.624
2766,80.812
2793,83.756
2810,80.421
2824,82.936
3002,83.203
3021,83.51
3093,81.208
3105,83.088
3113,79.57
3118,83.407
3120,83.14
3122,81.783
3123,82.212
3133,83.257
3134,83.6
3135,83.786
3136,83.514
3137,82.763
3138,83.208
3139,81.933
3140,82.578
3141,84.096
3142,81.933
3143,81.571
3144,82.627
3145,81.571
3146,82.131
3147,82.634
3148,81.069
3149,82.486
3150,82.496
3153,81.175
3155,79.211
3156,82.332
3157,79.885
3158,81.071
3159,80.537
3160,82.51
3161,83.929
3162,82.993
3186,82.453
3225,85.44
3315,81.018
3321,82.709
3332,79.716
5877,79.896
5981,84.855
6043,82.868
6078,83.122
6081,84.169
6082,82.947
6090,81.098
6127,85.001
6211,81.385
6213,81.891
6214,83.119
6231,81.531
6232,81.578
6233,83.576
6239,81.078
6240,80.526
6254,82.733
6255,81.023
6342,82.116
7630,80.989
7654,80.352
8890,79.819
8916,77.96
9028,80.992
9066,81.457
9445,82.32
9542,82.566
9546,83.293
9547,83.539
9583,82.66
9587,80.763
12037,82.149
12116,79.411
12122,83.614
12124,82.725
12141,83.016
12143,80.284
12149,82.856
12161,80.069
12252,84.453
12408,80.557
12409,83.233
12410,83.448
12418,81.763
12422,83.486
12435,83.255
12436,80.289
12437,80.971
12447,82.567
12448,84.093
12449,83.436
12450,82.741
12451,82.736
12452,83.333
12453,82.348
12454,82.12
12455,84.04
12456,84.773
12457,82.309
12458,83.223
12459,82.238
12460,83.16
12461,81.387
12462,81.461
12463,80.163
12464,84.614
12465,82.764
12466,81.542
12467,84.496
12468,82.2
12469,78.279
12470,82.951
12471,83.569
12472,81.852
12473,82.713
12474,78.849
12475,82.848
12476,82.128
12477,86.88
12478,83.137
12479,81.095
12480,82.046
12481,80.951
12482,83.236
12483,81.726
12484,79.933
12485,83.748
12486,83.028
12487,82.13
12488,81.939
12489,80.67
12490,81.488
12491,83.377
12492,80.161
12493,81.667
12494,80.402
12495,84.771
12496,83.364
12497,85.962
12498,83.964
12499,82.203
12500,81.398
12501,78.558
12502,83.828
12503,79.942
12504,81.626
12505,76.043
12506,83.482
12507,81.235
12508,79.205
12509,81.258
12510,81.554
12511,82.639
12512,81.142
12513,79.788
12514,85.144
12515,82.738
12516,84.263
12518,83.6
12519,81.453
12520,84.252
12521,82.822
12523,83.429
12525,85.8
12526,84.696
12527,82.286
12528,80.341
12529,85.129
12530,81.792
12531,80.185
12532,81.399
12533,82.448
12565,84.267
12656,82.467
12674,82.274
12687,78.911
12736,82.269
13078,81.328
13080,82.993
13146,83.021
13147,82.427
13148,82.783
13149,81.469
13150,81.408
13196,84.208
13382,81.561
13461,80.802
13475,84.866
13477,83.566
13537,83.92
13893,82.726
13897,79.468
14744,82.739
14862,81.866
14882,84.571
14890,83.135
14906,81.205
14907,83.166
14914,82.834
14916,80.834
14930,83.528
14932,78.944
14939,80.437
14947,83.808
15180,81.22
15240,81.545
15339,84.705
15419,82.285
15425,84.858
15426,82.433
15474,83.743
15519,82.612
15524,83.204
15589,81.186
15679,77.403
15743,78.816
16036,84.66
16039,79.963
16064,85.794
