,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview DoorDash Score
6018,67.578
6021,79.729
6026,80.128
9479,79.806
16980,80.525
17014,76.749
18230,78.212
18348,79.46
26715,81.59
26747,84.399
29788,77.779
29835,80.92
30606,67.578
30845,81.562
32072,78.264
46443,84.215
46506,78.155
50300,81.371
51419,80.015
53971,67.578
53972,78.316
53973,76.57
53974,78.392
53975,78.399
53976,78.691
53977,82.458
53978,78.251
53979,78.461
53981,79.054
54796,77.761
54797,79.057
54798,79.278
54799,78.145
54800,76.709
56453,79.133
56528,78.582
56542,67.578
56543,78.27
56544,78.921
56545,79.818
56618,80.714
56619,77.239
56629,80.558
56630,77.71
56631,67.578
56632,67.578
56633,80.916
56634,78.453
56635,78.644
56637,77.348
56638,80.316
56639,77.299
56641,78.382
56642,67.578
56643,83.61
56644,78.613
56645,67.578
56646,77.018
56647,80.158
56648,80.836
56649,67.578
56650,80.198
56651,79.682
56652,67.578
56653,79.63
56654,79.691
56656,76.816
56657,78.38
56661,79.587
56662,80.273
56725,78.619
56795,76.18
56796,67.578
56797,78.595
56798,77.417
56799,76.105
56800,77.757
56801,80.3
56802,67.578
56803,81.694
56804,79.889
56805,79.946
56807,80.683
56809,79.992
56859,78.485
56860,67.578
56861,76.641
56862,80.455
57384,83.087
57400,84.493
62042,80.95
63086,76.821
63087,67.578
83710,79.366
83711,76.768
86666,80.824
87779,79.356
97622,80.383
98134,79.615
98135,79.705
98136,80.57
98137,77.481
98138,79.139
98171,80.718
98172,78.492
98173,80.802
98245,78.022
98250,83.235
98251,78.316
98252,77.483
98253,81.942
98254,67.578
98255,81.388
98256,80.308
98257,82.517
98258,67.578
98259,67.578
98260,67.578
98261,67.578
98262,81.491
98263,81.09
98264,83.23
98265,82.591
98266,82.781
98267,78.245
98268,80.068
98269,79.78
98270,67.578
98271,79.835
98272,81.054
98273,80.464
98274,67.578
98275,79.344
98276,78.936
98277,80.615
98278,79.409
98279,82.105
98280,81.22
98281,82.796
98282,80.181
98283,67.578
98284,77.455
98285,78.146
98286,67.578
98287,81.157
98288,77.691
98289,79.63
98290,78.794
98291,67.578
98292,67.578
98293,79.876
98294,80.136
98295,67.578
98296,78.6
98297,80.593
98298,80.703
98299,78.813
98300,79.436
98301,67.578
98302,67.578
98303,79.515
98304,80.077
98305,82.319
98306,78.562
98307,79.148
98308,78.543
98309,81.261
98310,67.578
98311,79.052
98312,79.847
98313,80.002
98314,83.553
98315,79.967
98316,83.437
98317,80.448
98318,80.921
98319,79.86
98320,81.075
98321,67.578
98322,79.497
98323,78.664
98324,79.419
98325,79.904
98326,78.25
98327,82.08
98328,79.724
98329,78.239
98330,67.578
98331,67.578
98332,67.578
98333,78.912
98334,81.636
98335,67.578
98336,77.742
98337,79.941
98338,80.181
98339,81.085
98340,78.676
98341,82.376
98342,67.578
98343,75.817
98344,80.579
98345,81.406
98346,78.593
98347,78.698
98348,77.915
98349,79.321
98350,81.067
98351,78.666
98352,76.271
98353,79.567
98354,78.224
98355,80.821
98356,80.061
98357,81.464
98358,79.557
98359,78.763
98360,78.744
98361,80.588
98362,78.487
98363,77.586
98364,75.248
98365,77.001
98366,67.578
98367,82.044
98368,78.245
98369,67.578
98370,80.827
98371,67.578
98372,80.378
98373,81.467
98374,81.582
98375,78.94
98376,81.388
98377,79.885
98378,80.412
98379,80.504
98380,81.642
98381,67.578
98382,67.578
98383,80.925
98384,81.455
98385,80.664
98386,81.623
98387,79.541
98388,67.578
98389,80.693
98390,79.703
98391,78.964
98392,78.636
98393,79.55
98394,67.578
98395,80.17
98396,80.149
98397,79.309
98398,80.13
98399,77.592
98400,78.516
98401,78.918
98402,82.752
1747,82.074
1784,79.847
2476,82.661
2515,82.595
2517,82.048
2529,81.339
2538,83.795
2551,67.578
2553,67.578
2554,83.389
2555,81.929
2556,82.322
2577,83.983
2582,82.105
2583,82.084
2584,84.169
2585,82.888
2586,82.407
2587,82.359
2588,79.726
2589,82.82
2590,84.089
2591,83.293
2592,83.92
2594,67.578
2595,82.114
2597,86.943
2645,67.578
2654,82.644
2655,84.672
2656,83.472
2657,80.636
2658,81.407
2659,67.578
2660,84.282
2741,80.601
2766,80.361
2793,84.364
2810,79.947
2824,67.578
3002,83.191
3021,67.578
3093,83.581
3105,83.62
3113,78.855
3118,82.556
3120,80.653
3122,83.343
3123,82.335
3133,83.679
3134,84.18
3135,84.671
3136,83.456
3137,83.644
3138,82.973
3139,82.22
3140,80.577
3141,83.248
3142,67.578
3143,82.075
3144,80.504
3145,79.194
3146,80.552
3147,82.244
3148,81.891
3149,82.394
3150,67.578
3153,80.439
3155,67.578
3156,82.091
3157,80.561
3158,80.1
3159,81.717
3160,82.714
3161,83.833
3162,82.243
3186,83.116
3225,81.145
3315,82.728
3321,83.23
3332,79.728
5877,79.968
5981,85.617
6043,83.87
6078,83.098
6081,84.25
6082,83.27
6090,81.655
6127,85.634
6211,82.391
6213,83.78
6214,82.24
6231,67.578
6232,67.578
6233,82.296
6239,80.896
6240,81.703
6254,67.578
6255,81.443
6342,67.578
7630,83.082
7654,80.569
8890,82.103
8916,78.248
9028,67.578
9066,80.282
9445,67.578
9542,67.578
9546,82.098
9547,83.052
9583,82.258
9587,80.71
12037,80.399
12116,79.313
12122,83.449
12124,82.385
12141,82.341
12143,81.283
12149,80.144
12161,81.278
12252,85.936
12408,67.578
12409,83.319
12410,82.922
12418,81.289
12422,82.48
12435,67.578
12436,81.816
12437,67.578
12447,84.237
12448,84.248
12449,83.899
12450,81.359
12451,83.267
12452,67.578
12453,82.861
12454,81.565
12455,67.578
12456,84.339
12457,82.251
12458,81.556
12459,81.383
12460,82.957
12461,83.483
12462,81.325
12463,79.502
12464,85.451
12465,82.448
12466,81.346
12467,83.374
12468,81.047
12469,78.251
12470,86.092
12471,84.147
12472,83.273
12473,82.814
12474,67.578
12475,67.578
12476,82.009
12477,87.64
12478,83.872
12479,81.047
12480,82.957
12481,77.911
12482,83.923
12483,67.578
12484,79.195
12485,82.389
12486,83.234
12487,82.539
12488,81.092
12489,80.109
12490,82.219
12491,67.578
12492,80.839
12493,79.534
12494,80.761
12495,85.256
12496,67.578
12497,85.942
12498,84.622
12499,82.124
12500,82.169
12501,77.333
12502,82.399
12503,80.728
12504,83.078
12505,76.89
12506,82.064
12507,80.368
12508,81.417
12509,83.013
12510,81.316
12511,82.013
12512,79.907
12513,81.244
12514,85.529
12515,83.365
12516,84.146
12518,83.505
12519,81.897
12520,84.557
12521,83.655
12523,67.578
12525,86.047
12526,84.17
12527,84.371
12528,67.578
12529,86.542
12530,81.188
12531,80.472
12532,67.578
12533,81.48
12565,67.578
12656,83.512
12674,84.764
12687,80.993
12736,83.531
13078,81.625
13080,83.99
13146,80.767
13147,82.496
13148,83.133
13149,82.438
13150,82.726
13196,84.255
13382,82.16
13461,81.044
13475,67.578
13477,82.299
13537,83.188
13893,84.155
13897,83.367
14744,83.587
14862,83.278
14882,84.858
14890,83.29
14906,82.673
14907,81.053
14914,82.464
14916,80.816
14930,83.154
14932,80.191
14939,82.582
14947,84.125
15180,81.324
15240,80.81
15339,85.336
15419,82.269
15425,83.645
15426,83.482
15474,84.329
15519,76.803
15524,67.17
15589,81.952
15679,77.063
15743,79.438
16036,84.637
16039,81.42
16064,86.019
