,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview DoorDash Score
6018,79.016
6021,80.101
6026,81.997
9479,80.039
16980,80.002
17014,75.702
18230,78.593
18348,80.014
26715,82.071
26747,84.424
29788,77.523
29835,81.145
30606,82.426
30845,81.936
32072,79.684
46443,83.265
46506,79.124
50300,80.882
51419,78.908
53971,77.993
53972,79.07
53973,78.2
53974,78.124
53975,78.562
53976,79.653
53977,82.233
53978,78.41
53979,78.655
53981,79.496
54796,78.447
54797,78.713
54798,78.921
54799,77.537
54800,74.189
56453,79.915
56528,78.99
56542,77.451
56543,78.0
56544,76.778
56545,79.14
56618,79.454
56619,77.572
56629,79.73
56630,78.101
56631,79.412
56632,80.234
56633,81.912
56634,78.897
56635,77.48
56637,77.631
56638,81.252
56639,78.075
56641,78.798
56642,78.288
56643,83.207
56644,78.717
56645,77.725
56646,76.318
56647,78.945
56648,79.346
56649,76.422
56650,78.765
56651,76.928
56652,80.564
56653,79.158
56654,79.809
56656,77.586
56657,78.383
56661,79.684
56662,80.859
56725,78.054
56795,75.413
56796,75.324
56797,80.055
56798,76.559
56799,74.996
56800,79.877
56801,79.033
56802,77.171
56803,82.984
56804,79.298
56805,78.866
56807,79.433
56809,80.446
56859,77.584
56860,81.251
56861,79.504
56862,80.716
57384,83.95
57400,84.414
62042,81.028
63086,77.859
63087,80.288
83710,79.813
83711,79.159
86666,80.97
87779,80.719
97622,79.749
98134,78.223
98135,79.457
98136,81.381
98137,75.74
98138,78.183
98171,79.59
98172,79.133
98173,81.203
98245,78.887
98250,82.78
98251,78.528
98252,77.866
98253,81.737
98254,80.168
98255,81.949
98256,79.901
98257,80.755
98258,80.031
98259,81.545
98260,81.615
98261,82.803
98262,81.381
98263,80.203
98264,83.556
98265,83.968
98266,83.743
98267,78.577
98268,77.688
98269,79.387
98270,81.328
98271,78.016
98272,80.661
98273,80.492
98274,80.033
98275,80.222
98276,79.158
98277,80.286
98278,80.963
98279,82.537
98280,80.954
98281,80.808
98282,79.708
98283,79.525
98284,77.462
98285,78.673
98286,81.529
98287,79.528
98288,77.534
98289,80.258
98290,77.729
98291,78.386
98292,80.333
98293,80.409
98294,80.969
98295,79.222
98296,78.296
98297,80.37
98298,80.907
98299,78.423
98300,80.256
98301,76.473
98302,81.031
98303,80.016
98304,80.274
98305,81.236
98306,80.504
98307,79.588
98308,78.709
98309,80.636
98310,83.398
98311,79.456
98312,79.46
98313,80.627
98314,82.311
98315,79.454
98316,83.01
98317,80.645
98318,82.236
98319,81.568
98320,79.473
98321,80.678
98322,77.966
98323,78.706
98324,80.076
98325,79.308
98326,79.941
98327,81.525
98328,79.714
98329,79.554
98330,81.695
98331,81.128
98332,79.138
98333,78.764
98334,82.243
98335,81.863
98336,77.725
98337,80.487
98338,78.842
98339,79.238
98340,79.084
98341,82.395
98342,82.064
98343,76.355
98344,81.373
98345,83.78
98346,78.009
98347,78.387
98348,78.566
98349,80.213
98350,78.957
98351,78.3
98352,76.087
98353,77.983
98354,78.801
98355,79.404
98356,79.649
98357,81.76
98358,80.489
98359,78.577
98360,79.648
98361,80.412
98362,79.328
98363,78.799
98364,74.88
98365,77.542
98366,79.164
98367,80.838
98368,78.651
98369,78.082
98370,80.82
98371,81.237
98372,79.604
98373,81.776
98374,81.339
98375,82.32
98376,81.497
98377,78.606
98378,80.349
98379,79.6
98380,81.585
98381,78.741
98382,80.237
98383,79.733
98384,83.855
98385,80.394
98386,80.844
98387,79.82
98388,82.176
98389,80.757
98390,80.612
98391,78.489
98392,78.706
98393,80.272
98394,77.45
98395,80.455
98396,79.508
98397,80.296
98398,80.358
98399,77.931
98400,77.685
98401,80.182
98402,82.646
1747,81.899
1784,79.594
2476,82.395
2515,83.983
2517,79.285
2529,81.935
2538,82.994
2551,83.238
2553,83.814
2554,82.102
2555,83.909
2556,81.891
2577,84.039
2582,81.713
2583,84.052
2584,84.316
2585,82.214
2586,81.901
2587,81.79
2588,82.576
2589,84.111
2590,83.177
2591,84.579
2592,84.754
2594,83.954
2595,82.013
2597,86.918
2645,83.718
2654,82.255
2655,84.48
2656,83.513
2657,80.14
2658,83.127
2659,82.929
2660,84.375
2741,80.534
2766,81.365
2793,83.142
2810,80.121
2824,84.489
3002,82.95
3021,83.708
3093,80.841
3105,82.874
3113,79.421
3118,84.005
3120,78.63
3122,83.877
3123,82.644
3133,82.921
3134,83.937
3135,84.055
3136,83.211
3137,84.682
3138,82.197
3139,81.929
3140,82.142
3141,82.279
3142,83.512
3143,81.193
3144,80.969
3145,79.554
3146,80.213
3147,82.105
3148,81.88
3149,81.6
3150,84.343
3153,81.102
3155,79.42
3156,83.556
3157,80.989
3158,81.381
3159,81.966
3160,81.593
3161,85.417
3162,82.747
3186,83.02
3225,83.609
3315,83.062
3321,82.285
3332,80.796
5877,80.357
5981,83.884
6043,84.681
6078,82.573
6081,84.263
6082,83.202
6090,81.493
6127,85.426
6211,84.173
6213,85.02
6214,82.87
6231,80.824
6232,82.463
6233,82.953
6239,82.596
6240,82.378
6254,82.152
6255,80.599
6342,81.155
7630,82.779
7654,80.99
8890,79.735
8916,78.562
9028,79.79
9066,81.44
9445,81.736
9542,82.311
9546,81.937
9547,83.868
9583,83.101
9587,80.965
12037,82.09
12116,80.237
12122,83.861
12124,83.068
12141,83.292
12143,80.391
12149,81.934
12161,82.182
12252,86.02
12408,80.217
12409,82.808
12410,80.683
12418,84.418
12422,81.796
12435,82.128
12436,80.946
12437,80.909
12447,83.326
12448,84.053
12449,83.469
12450,82.248
12451,82.421
12452,83.508
12453,82.661
12454,83.465
12455,85.057
12456,84.562
12457,82.28
12458,81.522
12459,81.709
12460,83.169
12461,82.898
12462,82.292
12463,79.343
12464,84.905
12465,82.286
12466,81.361
12467,83.471
12468,80.89
12469,78.332
12470,84.293
12471,85.186
12472,81.933
12473,83.145
12474,79.794
12475,82.904
12476,81.281
12477,86.265
12478,83.051
12479,81.32
12480,82.53
12481,80.354
12482,84.642
12483,82.485
12484,79.589
12485,83.254
12486,81.256
12487,82.837
12488,81.314
12489,79.726
12490,81.607
12491,82.396
12492,81.564
12493,80.501
12494,80.366
12495,84.553
12496,83.593
12497,86.332
12498,84.654
12499,82.084
12500,81.524
12501,78.891
12502,82.615
12503,79.141
12504,81.849
12505,77.313
12506,83.781
12507,81.168
12508,81.225
12509,81.671
12510,82.205
12511,82.898
