,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 DoorDash Score
6018,78.818
6021,78.563
6026,80.767
9479,79.076
16980,80.461
17014,76.087
18230,77.525
18348,78.809
26715,81.819
26747,80.897
29788,77.948
29835,81.399
30606,78.876
30845,80.863
32072,80.595
46443,81.676
46506,79.869
50300,81.024
51419,78.102
53971,77.747
53972,77.793
53973,76.793
53974,77.439
53975,78.939
53976,75.782
53977,80.846
53978,76.533
53979,78.236
53981,78.534
54796,76.901
54797,78.772
54798,77.17
54799,78.545
54800,74.366
56453,80.994
56528,77.106
56542,77.184
56543,78.661
56544,75.594
56545,81.187
56618,79.038
56619,77.876
56629,77.912
56630,76.207
56631,79.492
56632,78.487
56633,82.151
56634,75.314
56635,78.84
56637,76.938
56638,79.758
56639,78.036
56641,77.536
56642,78.46
56643,83.352
56644,79.151
56645,77.267
56646,77.507
56647,78.611
56648,78.748
56649,73.827
56650,78.636
56651,77.863
56652,80.613
56653,78.285
56654,79.621
56656,77.575
56657,77.894
56661,77.927
56662,78.075
56725,79.61
56795,75.636
56796,76.31
56797,77.681
56798,77.023
56799,76.014
56800,78.917
56801,78.63
56802,76.685
56803,82.735
56804,78.218
56805,79.907
56807,83.115
56809,80.91
56859,77.122
56860,79.093
56861,77.873
56862,77.777
57384,82.387
57400,83.686
62042,81.097
63086,75.552
63087,82.77
83710,79.191
83711,79.97
86666,79.532
87779,82.878
97622,77.224
98134,81.533
98135,79.623
98136,79.395
98137,76.464
98138,78.092
98171,78.473
98172,76.538
98173,80.772
98245,77.383
98250,83.05
98251,77.489
98252,80.953
98253,81.37
98254,77.56
98255,79.447
98256,78.202
98257,80.497
98258,79.705
98259,79.507
98260,80.601
98261,81.85
98262,79.427
98263,80.214
98264,82.086
98265,83.889
98266,82.661
98267,79.458
98268,79.443
98269,78.489
98270,80.167
98271,78.705
98272,80.156
98273,78.021
98274,77.847
98275,78.683
98276,78.509
98277,76.195
98278,77.36
98279,82.067
98280,80.32
98281,79.266
98282,78.075
98283,82.15
98284,78.485
98285,78.647
98286,80.612
98287,80.012
98288,77.655
98289,78.128
98290,74.833
98291,80.054
98292,78.862
98293,78.39
98294,79.135
98295,79.679
98296,78.322
98297,81.13
98298,78.934
98299,77.781
98300,78.522
98301,76.585
98302,80.165
98303,78.552
98304,79.732
98305,84.077
98306,78.298
98307,78.563
98308,76.73
98309,78.471
98310,82.313
98311,79.474
98312,76.769
98313,78.057
98314,81.42
98315,79.475
98316,83.685
98317,78.24
98318,78.934
98319,78.806
98320,78.109
98321,80.303
98322,78.709
98323,79.222
98324,78.188
98325,79.501
98326,78.249
98327,78.026
98328,79.679
98329,80.482
98330,78.996
98331,78.265
98332,78.639
98333,77.106
98334,82.415
98335,80.965
98336,78.144
98337,77.405
98338,81.331
98339,76.818
98340,75.921
98341,81.356
98342,81.884
98343,75.112
98344,79.988
98345,79.426
98346,78.092
98347,80.271
98348,75.765
98349,80.862
98350,78.965
98351,79.066
98352,77.807
98353,77.872
98354,79.194
98355,81.458
98356,80.702
98357,80.078
98358,79.507
98359,77.608
98360,78.825
98361,80.383
98362,78.263
98363,77.258
98364,76.092
98365,76.766
98366,77.332
98367,81.759
98368,77.001
98369,75.96
98370,81.834
98371,78.714
