,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 DoorDash Score
6018,78.658
6021,79.626
6026,81.185
9479,78.381
16980,79.1
17014,76.136
18230,76.082
18348,81.446
26715,81.768
26747,81.302
29788,77.292
29835,80.15
30606,74.909
30845,81.131
32072,78.275
46443,82.074
46506,78.418
50300,81.834
51419,77.777
53971,76.782
53972,78.085
53973,76.927
53974,76.741
53975,77.96
53976,78.394
53977,81.248
53978,76.658
53979,77.926
53981,78.053
54796,77.839
54797,79.165
54798,79.155
54799,77.504
54800,76.351
56453,81.936
56528,76.392
56542,76.146
56543,74.118
56544,77.731
56545,78.095
56618,79.678
56619,76.433
56629,77.286
56630,78.293
56631,80.892
56632,78.749
56633,81.033
56634,75.387
56635,78.53
56637,76.192
56638,78.688
56639,75.757
56641,78.164
56642,78.582
56643,83.482
56644,77.027
56645,78.248
56646,77.18
56647,78.564
56648,77.658
56649,74.957
56650,78.182
56651,76.867
56652,81.944
56653,78.717
56654,78.829
56656,78.02
56657,77.214
56661,80.765
56662,79.121
56725,77.155
56795,76.058
56796,73.063
56797,77.357
56798,75.655
56799,76.623
56800,78.27
56801,78.908
56802,76.151
56803,82.334
56804,78.323
56805,77.574
56807,81.159
56809,79.111
56859,76.659
56860,78.195
56861,77.687
56862,79.053
57384,83.423
57400,80.821
62042,81.067
63086,76.314
63087,80.676
83710,78.923
83711,77.166
86666,80.104
87779,84.876
97622,78.477
98134,81.152
98135,78.763
98136,79.415
98137,75.97
98138,78.334
98171,77.902
98172,75.859
98173,79.547
98245,76.845
98250,81.569
98251,79.231
98252,80.137
98253,81.818
98254,78.916
98255,80.645
98256,79.53
98257,81.712
98258,80.958
98259,79.991
98260,81.516
98261,82.39
98262,80.047
98263,81.169
98264,83.711
98265,84.799
98266,83.664
98267,77.504
98268,78.653
98269,79.302
98270,80.337
98271,79.54
98272,79.749
98273,79.197
98274,80.46
98275,79.778
98276,78.625
98277,78.592
98278,77.891
98279,80.837
98280,79.675
98281,80.917
98282,78.896
98283,81.909
98284,78.329
98285,78.924
98286,80.18
98287,82.334
98288,78.52
98289,78.545
98290,77.688
98291,78.201
98292,78.022
98293,79.034
98294,80.704
98295,79.131
98296,77.043
98297,80.019
98298,79.553
98299,77.997
98300,76.67
98301,75.089
98302,79.806
98303,78.297
98304,77.763
98305,80.904
98306,79.061
98307,77.231
98308,77.637
98309,79.196
98310,82.003
98311,79.596
98312,79.739
98313,80.234
98314,81.329
98315,78.142
98316,84.552
98317,76.699
98318,79.509
98319,79.776
98320,79.095
98321,76.91
98322,77.343
98323,79.256
98324,77.666
98325,77.733
98326,77.991
98327,78.012
98328,79.847
98329,79.842
98330,80.746
98331,80.111
98332,76.986
98333,76.581
98334,83.334
98335,81.516
98336,78.354
98337,79.514
98338,79.583
98339,76.118
98340,79.864
98341,80.493
98342,81.032
98343,75.241
98344,80.433
98345,79.364
98346,77.635
98347,79.337
98348,77.195
98349,80.611
98350,80.663
98351,76.403
98352,77.236
98353,76.952
98354,79.538
98355,81.399
98356,79.651
98357,82.458
98358,80.155
98359,78.266
98360,79.171
98361,78.914
98362,79.22
98363,77.717
98364,76.106
98365,77.957
98366,79.346
98367,78.149
98368,77.082
98369,75.461
98370,79.935
98371,77.386
98372,80.15
98373,82.111
98374,78.89
98375,80.764
98376,80.448
98377,80.076
98378,77.614
98379,79.054
98380,79.722
98381,78.19
98382,78.97
98383,78.85
98384,80.873
98385,77.764
98386,79.323
98387,79.773
98388,82.192
98389,79.996
98390,82.103
98391,79.203
98392,77.178
98393,78.501
98394,75.287
98395,78.85
98396,77.038
98397,78.044
98398,77.679
98399,78.334
98400,77.983
98401,79.015
98402,83.956
1747,80.36
1784,79.407
2476,82.705
2515,82.949
2517,82.556
2529,82.293
2538,82.709
2551,82.546
2553,83.995
2554,82.672
2555,82.074
2556,81.487
2577,82.892
2582,81.42
2583,82.576
2584,82.364
2585,82.776
2586,82.373
2587,82.042
2588,81.278
2589,83.935
2590,83.658
2591,82.135
2592,86.099
2594,83.05
2595,82.664
2597,86.285
2645,83.265
2654,82.871
2655,82.004
2656,83.696
2657,79.054
2658,81.7
2659,81.755
2660,84.523
2741,79.583
2766,79.625
2793,83.421
2810,80.985
2824,82.455
3002,83.64
3021,83.354
3093,81.481
3105,81.15
3113,78.923
3118,82.034
3120,80.871
3122,82.236
3123,81.021
3133,82.894
3134,84.126
3135,84.568
3136,82.987
3137,82.953
3138,82.498
3139,80.92
3140,79.914
3141,82.446
3142,82.977
3143,82.033
3144,78.816
3145,81.223
3146,79.241
3147,80.444
3148,80.939
3149,81.891
3150,82.398
3153,80.834
3155,80.333
3156,80.131
3157,80.688
3158,80.927
3159,82.14
3160,79.982
3161,83.813
3162,80.893
3186,83.298
3225,82.52
3315,78.468
3321,84.102
