,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 DoorDash Score
6018,79.003
6021,78.735
6026,80.497
9479,80.343
16980,79.917
17014,77.011
18230,78.068
18348,79.636
26715,82.161
26747,84.018
29788,78.215
29835,81.328
30606,79.083
30845,81.533
32072,80.499
46443,82.662
46506,77.647
50300,81.681
51419,78.747
53971,77.768
53972,78.32
53973,77.216
53974,76.822
53975,78.865
53976,76.344
53977,81.583
53978,77.527
53979,77.811
53981,77.005
54796,77.152
54797,78.848
54798,78.841
54799,78.493
54800,76.581
56453,75.554
56528,78.224
56542,76.788
56543,74.766
56544,75.95
56545,79.012
56618,80.662
56619,74.564
56629,79.095
56630,77.289
56631,81.725
56632,78.273
56633,80.07
56634,77.327
56635,78.194
56637,76.91
56638,78.072
56639,76.171
56641,77.854
56642,78.542
56643,82.953
56644,78.329
56645,76.903
56646,77.655
56647,79.679
56648,78.437
56649,75.781
56650,77.258
56651,78.103
56652,79.631
56653,78.528
56654,79.279
56656,76.705
56657,78.09
56661,79.362
56662,79.082
56725,76.482
56795,75.076
56796,75.007
56797,78.043
56798,79.0
56799,76.7
56800,77.593
56801,77.987
56802,75.932
56803,81.427
56804,78.991
56805,79.683
56807,82.162
56809,79.966
56859,77.661
56860,78.659
56861,76.78
56862,78.9
57384,81.216
57400,82.584
62042,80.781
63086,77.229
63087,82.173
83710,78.129
83711,76.494
86666,79.644
87779,81.9
97622,77.828
98134,80.518
98135,76.911
98136,79.038
98137,78.624
98138,76.214
98171,78.574
98172,76.089
98173,79.971
98245,78.592
98250,82.35
98251,78.416
98252,80.34
98253,81.377
98254,78.186
98255,81.321
98256,77.138
98257,80.96
98258,80.797
98259,81.357
98260,79.382
98261,82.395
98262,80.011
98263,78.26
98264,79.832
98265,81.928
98266,81.111
98267,78.517
98268,77.724
98269,79.062
98270,79.163
98271,78.871
98272,79.671
98273,78.964
98274,79.312
98275,79.282
98276,78.882
98277,77.398
98278,78.545
98279,81.244
98280,80.399
98281,80.244
98282,79.126
98283,78.647
98284,77.747
98285,77.722
98286,80.495
98287,80.867
98288,76.901
98289,78.626
98290,78.51
98291,80.643
98292,80.566
98293,79.952
98294,80.633
98295,78.363
98296,78.24
98297,80.9
98298,79.174
98299,78.997
98300,77.627
98301,75.416
98302,80.655
98303,78.519
98304,79.169
98305,82.786
98306,78.505
98307,79.22
98308,78.444
98309,80.127
98310,82.749
98311,78.984
98312,80.132
98313,78.263
98314,82.144
98315,79.427
98316,83.751
98317,79.326
98318,79.29
98319,78.717
98320,78.468
98321,80.892
98322,77.215
98323,79.186
98324,78.907
98325,80.143
98326,79.54
98327,80.247
98328,78.75
98329,80.989
98330,77.682
98331,78.372
98332,76.811
98333,78.28
98334,80.864
98335,80.533
98336,76.556
98337,76.11
98338,80.965
98339,75.861
98340,75.845
98341,79.199
98342,82.251
98343,75.966
98344,81.377
98345,79.777
98346,78.107
98347,79.001
98348,77.96
98349,79.359
98350,80.675
98351,78.425
98352,77.619
98353,77.934
98354,77.033
98355,79.466
98356,80.617
98357,82.061
98358,79.246
98359,78.457
98360,78.452
98361,79.072
98362,80.425
98363,77.467
98364,77.356
98365,75.902
98366,78.691
98367,79.967
98368,79.026
98369,76.201
98370,81.043
98371,78.683
98372,81.168
98373,84.152
98374,80.34
98375,79.366
98376,80.704
98377,78.769
98378,78.895
98379,80.067
98380,80.501
98381,75.998
98382,79.131
98383,79.091
98384,82.011
98385,77.62
98386,78.598
98387,80.672
98388,81.098
98389,79.389
98390,80.149
98391,79.019
98392,76.802
98393,78.751
98394,75.761
98395,78.931
98396,76.66
98397,78.661
98398,77.925
98399,78.764
98400,79.818
98401,78.992
98402,83.865
1747,81.987
1784,79.063
2476,82.608
2515,82.079
2517,81.369
2529,81.198
2538,81.897
2551,83.322
2553,84.567
2554,82.054
2555,82.362
2556,81.228
2577,84.471
2582,81.836
2583,82.917
2584,84.006
2585,82.572
2586,82.156
2587,82.755
2588,81.741
2589,84.23
2590,84.083
2591,83.306
2592,85.794
2594,84.368
2595,81.022
2597,87.184
2645,83.147
2654,83.725
2655,83.499
2656,83.564
2657,77.664
2658,82.932
2659,81.607
2660,83.775
2741,78.492
2766,79.577
2793,83.078
2810,81.092
2824,83.438
3002,83.346
3021,83.03
3093,83.002
3105,84.367
3113,77.484
3118,84.055
3120,82.076
3122,80.162
3123,80.831
3133,83.171
3134,82.954
3135,85.573
3136,82.233
3137,83.029
3138,82.76
3139,80.932
3140,80.826
3141,81.613
3142,83.13
3143,81.441
3144,79.881
3145,79.205
3146,78.259
3147,82.094
3148,80.62
3149,82.004
3150,82.805
3153,81.212
3155,80.054
3156,80.249
3157,79.825
3158,79.383
3159,82.398
3160,81.432
3161,85.76
3162,84.461
3186,83.737
3225,83.498
3315,80.345
3321,82.675
3332,79.301
5877,80.675
5981,84.135
6043,82.248
6078,81.424
6081,83.598
6082,82.247
6090,83.182
6127,86.004
6211,81.534
6213,82.478
6214,82.458
6231,80.943
6232,83.062
6233,83.759
6239,81.104
6240,81.829
6254,81.528
6255,80.935
6342,82.127
7630,80.795
7654,80.916
8890,81.868
8916,77.149
9028,78.571
9066,82.685
9445,81.773
9542,83.356
9546,82.974
9547,81.103
9583,82.14
9587,78.525
12037,80.988
12116,79.842
12122,83.676
12124,83.676
12141,82.059
12143,80.529
12149,84.125
12161,75.116
12252,83.2
12408,79.465
12409,82.587
12410,82.101
12418,84.863
12422,81.771
12435,81.987
12436,80.235
12437,78.19
12447,84.317
12448,83.051
12449,82.964
12450,81.619
12451,82.985
12452,83.017
12453,81.248
12454,81.229
12455,85.731
12456,84.514
12457,82.048
12458,84.533
12459,81.131
12460,82.892
12461,81.869
12462,82.039
12463,79.334
12464,85.274
12465,83.42
12466,80.346
12467,83.299
12468,79.843
12469,77.445
12470,83.752
12471,84.619
12472,83.785
12473,82.445
12474,80.408
12475,81.841
12476,81.776
12477,87.605
12478,83.83
12479,80.915
