,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview Google Score
6018,89.159
6021,84.903
6026,85.706
9479,85.012
16980,77.311
17014,79.016
18230,85.541
18348,88.373
26715,85.216
26747,85.975
29788,85.985
29835,84.964
30606,84.217
30845,87.408
32072,85.83
46443,88.461
46506,81.483
50300,84.672
51419,88.518
53971,86.011
53972,86.016
53973,86.59
53974,84.68
53975,87.206
53976,79.198
53977,84.252
53978,84.745
53979,87.296
53981,86.154
54796,84.7
54797,88.202
54798,85.274
54799,84.267
54800,80.888
56453,84.553
56528,80.936
56542,82.513
56543,83.884
56544,85.68
56545,80.692
56618,86.351
56619,82.316
56629,88.1
56630,86.112
56631,84.58
56632,87.399
56633,83.805
56634,83.23
56635,85.122
56637,84.565
56638,88.856
56639,84.713
56641,83.323
56642,82.488
56643,83.713
56644,80.226
56645,85.661
56646,80.45
56647,85.49
56648,78.639
56649,84.105
56650,82.423
56651,85.029
56652,84.317
56653,80.617
56654,84.12
56656,84.649
56657,87.612
56661,85.221
56662,85.471
56725,82.75
56795,82.094
56796,86.128
56797,86.21
56798,80.533
56799,83.296
56800,81.376
56801,85.029
56802,79.963
56803,86.341
56804,89.235
56805,82.124
56807,88.547
56809,85.401
56859,82.725
56860,86.366
56861,84.429
56862,88.472
57384,87.63
57400,89.773
62042,84.24
63086,81.238
63087,83.069
83710,86.431
83711,75.839
86666,87.12
87779,77.733
97622,88.527
98134,85.475
98135,88.512
98136,85.111
98137,84.913
98138,85.964
98171,85.983
98172,83.982
98173,86.25
98245,87.322
98250,81.543
98251,82.227
98252,73.864
98253,82.106
98254,86.889
98255,87.445
98256,83.837
98257,87.4
98258,83.977
98259,82.137
98260,82.825
98261,84.154
98262,87.224
98263,86.03
98264,84.374
98265,88.192
98266,82.859
98267,79.275
98268,81.018
98269,86.439
98270,84.695
98271,84.103
98272,89.417
98273,85.683
98274,88.328
98275,85.917
98276,86.156
98277,89.591
98278,87.806
98279,86.344
98280,86.01
98281,87.839
98282,87.77
98283,87.041
98284,85.642
98285,84.673
98286,85.918
98287,86.996
98288,80.213
98289,82.207
98290,83.019
98291,87.375
98292,87.179
98293,85.704
98294,84.671
98295,86.984
98296,86.215
98297,84.843
98298,88.542
98299,87.838
98300,87.178
98301,85.818
98302,85.946
98303,86.659
98304,86.781
98305,87.737
98306,85.902
98307,87.285
98308,85.921
98309,83.813
98310,84.011
98311,86.109
98312,87.236
98313,88.497
98314,89.002
98315,86.164
98316,88.473
98317,84.054
98318,87.932
98319,86.541
98320,88.536
98321,86.478
98322,88.556
98323,88.365
98324,86.657
98325,88.359
98326,82.573
98327,85.418
98328,86.953
98329,85.975
98330,85.655
98331,81.064
98332,83.406
98333,85.981
98334,80.621
98335,82.324
98336,81.967
98337,84.864
98338,83.888
98339,87.231
98340,87.611
98341,88.513
98342,88.061
98343,84.309
98344,88.402
98345,83.55
98346,85.801
98347,83.539
98348,81.711
98349,88.553
98350,89.324
98351,84.923
98352,84.573
98353,83.097
98354,78.238
98355,83.226
98356,84.409
98357,80.247
98358,84.935
98359,81.295
98360,77.224
98361,88.758
98362,88.369
98363,85.076
98364,82.447
98365,86.322
98366,81.263
98367,83.727
98368,83.165
98369,90.617
98370,88.851
98371,87.192
98372,89.062
98373,85.575
98374,86.295
98375,85.941
98376,84.8
98377,86.994
98378,87.485
98379,88.885
