,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview Google Score
6018,87.874
6021,84.23
6026,86.963
9479,85.225
16980,78.176
17014,79.785
18230,86.161
18348,87.8
26715,85.586
26747,89.16
29788,85.467
29835,85.245
30606,87.926
30845,87.771
32072,86.644
46443,88.06
46506,83.495
50300,84.357
51419,86.568
53971,85.194
53972,83.311
53973,86.159
53974,84.725
53975,86.607
53976,83.293
53977,84.607
53978,86.101
53979,88.213
53981,85.688
54796,85.233
54797,88.04
54798,85.056
54799,85.378
54800,79.84
56453,84.633
56528,80.622
56542,85.356
56543,85.289
56544,85.234
56545,82.834
56618,86.484
56619,82.82
56629,87.974
56630,85.281
56631,84.586
56632,87.979
56633,84.996
56634,82.752
56635,85.232
56637,85.538
56638,88.444
56639,85.75
56641,83.872
56642,82.786
56643,84.636
56644,81.033
56645,86.648
56646,80.36
56647,87.305
56648,78.824
56649,83.777
56650,84.054
56651,85.953
56652,84.37
56653,80.449
56654,85.593
56656,84.785
56657,88.364
56661,84.033
56662,87.354
56725,84.983
56795,81.213
56796,86.419
56797,85.367
56798,80.105
56799,82.24
56800,81.734
56801,85.575
56802,80.475
56803,89.268
56804,88.203
56805,81.844
56807,90.102
56809,85.011
56859,82.384
56860,88.307
56861,84.2
56862,88.808
57384,88.989
57400,88.668
62042,84.069
63086,82.218
63087,82.957
83710,86.873
83711,79.926
86666,88.279
87779,79.614
97622,89.088
98134,87.146
98135,89.096
98136,86.575
98137,86.391
98138,84.827
98171,84.853
98172,84.822
98173,85.629
98245,87.29
98250,81.615
98251,83.873
98252,74.988
98253,81.068
98254,86.532
98255,86.754
98256,83.116
98257,87.914
98258,84.477
98259,81.786
98260,83.187
98261,85.662
98262,88.992
98263,87.956
98264,84.528
98265,82.975
98266,85.61
98267,79.849
98268,80.483
98269,87.351
98270,83.343
98271,84.42
98272,89.521
98273,85.801
98274,88.096
98275,87.08
98276,86.239
98277,90.037
98278,88.111
98279,87.397
98280,84.32
98281,88.486
98282,87.321
98283,87.443
98284,86.623
98285,84.145
98286,84.252
98287,88.403
98288,79.057
98289,83.975
98290,82.968
98291,87.181
98292,88.968
98293,88.081
98294,86.713
98295,87.831
98296,87.198
98297,85.101
98298,88.27
98299,87.324
98300,88.343
98301,85.146
98302,85.704
98303,86.514
98304,87.566
98305,87.337
98306,87.79
98307,87.172
98308,84.922
98309,84.01
98310,84.737
98311,86.74
98312,87.683
98313,89.965
98314,88.368
98315,85.723
98316,87.671
98317,86.946
98318,86.421
98319,86.533
98320,88.738
98321,87.121
98322,88.25
98323,88.09
98324,87.972
98325,89.081
98326,86.66
98327,85.056
98328,88.337
98329,83.642
98330,85.561
98331,84.786
98332,82.795
98333,84.252
98334,82.672
98335,83.785
98336,81.007
98337,86.044
98338,79.263
98339,85.662
98340,88.516
98341,89.108
98342,87.068
98343,84.571
98344,87.509
98345,83.793
98346,84.747
98347,83.323
98348,80.106
98349,88.265
98350,88.483
98351,85.126
98352,82.906
98353,82.766
98354,77.077
98355,82.941
98356,83.679
98357,80.636
98358,85.075
98359,84.458
98360,79.394
98361,88.971
98362,88.56
98363,85.892
